state_id,family,retained_interval_mask,kind,actual_checkpoint,construction_endpoint,removed_cohort_indices,used_in_main,used_in_pilot,used_in_pairs
BASE_MEMIT__01b,BASE_MEMIT,01b,COUNTERFACTUAL,,30,2,True,False,False
BASE_MEMIT__03b,BASE_MEMIT,03b,COUNTERFACTUAL,,40,2,True,False,False
BASE_MEMIT__07b,BASE_MEMIT,07b,COUNTERFACTUAL,,50,2,True,False,False
BASE_MEMIT__0fb,BASE_MEMIT,0fb,COUNTERFACTUAL,,60,2,True,False,False
BASE_MEMIT__1fb,BASE_MEMIT,1fb,COUNTERFACTUAL,,70,2,True,False,False
BASE_MEMIT__3fb,BASE_MEMIT,3fb,COUNTERFACTUAL,,80,2,True,False,False
BASE_MEMIT__7fb,BASE_MEMIT,7fb,COUNTERFACTUAL,,90,2,True,False,False
BASE_MEMIT__ffb,BASE_MEMIT,ffb,COUNTERFACTUAL,,100,2,True,False,False
BASE_MEMIT__017,BASE_MEMIT,017,COUNTERFACTUAL,,30,3,True,True,False
BASE_MEMIT__037,BASE_MEMIT,037,COUNTERFACTUAL,,40,3,True,False,False
BASE_MEMIT__077,BASE_MEMIT,077,COUNTERFACTUAL,,50,3,True,True,False
BASE_MEMIT__0f7,BASE_MEMIT,0f7,COUNTERFACTUAL,,60,3,True,False,False
BASE_MEMIT__1f7,BASE_MEMIT,1f7,COUNTERFACTUAL,,70,3,True,True,False
BASE_MEMIT__3f7,BASE_MEMIT,3f7,COUNTERFACTUAL,,80,3,True,False,False
BASE_MEMIT__7f7,BASE_MEMIT,7f7,COUNTERFACTUAL,,90,3,True,False,False
BASE_MEMIT__ff7,BASE_MEMIT,ff7,COUNTERFACTUAL,,100,3,True,True,True
BASE_MEMIT__02f,BASE_MEMIT,02f,COUNTERFACTUAL,,40,4,True,False,False
BASE_MEMIT__06f,BASE_MEMIT,06f,COUNTERFACTUAL,,50,4,True,False,False
BASE_MEMIT__0ef,BASE_MEMIT,0ef,COUNTERFACTUAL,,60,4,True,False,False
BASE_MEMIT__1ef,BASE_MEMIT,1ef,COUNTERFACTUAL,,70,4,True,False,False
BASE_MEMIT__3ef,BASE_MEMIT,3ef,COUNTERFACTUAL,,80,4,True,False,False
BASE_MEMIT__7ef,BASE_MEMIT,7ef,COUNTERFACTUAL,,90,4,True,False,False
BASE_MEMIT__fef,BASE_MEMIT,fef,COUNTERFACTUAL,,100,4,True,False,True
BASE_MEMIT__05f,BASE_MEMIT,05f,COUNTERFACTUAL,,50,5,True,False,False
BASE_MEMIT__0df,BASE_MEMIT,0df,COUNTERFACTUAL,,60,5,True,False,False
BASE_MEMIT__1df,BASE_MEMIT,1df,COUNTERFACTUAL,,70,5,True,False,False
BASE_MEMIT__3df,BASE_MEMIT,3df,COUNTERFACTUAL,,80,5,True,False,False
BASE_MEMIT__7df,BASE_MEMIT,7df,COUNTERFACTUAL,,90,5,True,False,False
BASE_MEMIT__fdf,BASE_MEMIT,fdf,COUNTERFACTUAL,,100,5,True,False,True
BASE_MEMIT__0bf,BASE_MEMIT,0bf,COUNTERFACTUAL,,60,6,True,True,False
BASE_MEMIT__1bf,BASE_MEMIT,1bf,COUNTERFACTUAL,,70,6,True,True,False
BASE_MEMIT__3bf,BASE_MEMIT,3bf,COUNTERFACTUAL,,80,6,True,False,False
BASE_MEMIT__7bf,BASE_MEMIT,7bf,COUNTERFACTUAL,,90,6,True,True,False
BASE_MEMIT__fbf,BASE_MEMIT,fbf,COUNTERFACTUAL,,100,6,True,True,True
BASE_MEMIT__17f,BASE_MEMIT,17f,COUNTERFACTUAL,,70,7,True,False,False
BASE_MEMIT__37f,BASE_MEMIT,37f,COUNTERFACTUAL,,80,7,True,False,False
BASE_MEMIT__77f,BASE_MEMIT,77f,COUNTERFACTUAL,,90,7,True,False,False
BASE_MEMIT__f7f,BASE_MEMIT,f7f,COUNTERFACTUAL,,100,7,True,False,True
BASE_MEMIT__2ff,BASE_MEMIT,2ff,COUNTERFACTUAL,,80,8,True,False,False
BASE_MEMIT__6ff,BASE_MEMIT,6ff,COUNTERFACTUAL,,90,8,True,False,False
BASE_MEMIT__eff,BASE_MEMIT,eff,COUNTERFACTUAL,,100,8,True,False,True
BASE_MEMIT__5ff,BASE_MEMIT,5ff,COUNTERFACTUAL,,90,9,True,False,False
BASE_MEMIT__dff,BASE_MEMIT,dff,COUNTERFACTUAL,,100,9,True,False,True
