cell_id,family,original_job,cohort_id,cohort_index,update_start,anchor,eval_t,age_from_anchor,post_anchor_requests,request_count,prompts_per_request,is_diagonal,pilot,pilot_request_count,M_t_state,B_t_state,M_b_state,B_b_state
BASE_ALPHAEDIT__U000_001__T001,BASE_ALPHAEDIT,42657,U000_001,0,0,1,1,0,0,100,3,True,True,100,BASE_ALPHAEDIT__001,W0,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T005,BASE_ALPHAEDIT,42657,U000_001,0,0,1,5,4,400,100,3,False,True,100,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__002,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T010,BASE_ALPHAEDIT,42657,U000_001,0,0,1,10,9,900,100,3,False,True,100,BASE_ALPHAEDIT__007,BASE_ALPHAEDIT__006,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T020,BASE_ALPHAEDIT,42657,U000_001,0,0,1,20,19,1900,100,3,False,True,100,BASE_ALPHAEDIT__00f,BASE_ALPHAEDIT__00e,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T030,BASE_ALPHAEDIT,42657,U000_001,0,0,1,30,29,2900,100,3,False,False,0,BASE_ALPHAEDIT__01f,BASE_ALPHAEDIT__01e,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T040,BASE_ALPHAEDIT,42657,U000_001,0,0,1,40,39,3900,100,3,False,False,0,BASE_ALPHAEDIT__03f,BASE_ALPHAEDIT__03e,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T050,BASE_ALPHAEDIT,42657,U000_001,0,0,1,50,49,4900,100,3,False,True,100,BASE_ALPHAEDIT__07f,BASE_ALPHAEDIT__07e,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T060,BASE_ALPHAEDIT,42657,U000_001,0,0,1,60,59,5900,100,3,False,False,0,BASE_ALPHAEDIT__0ff,BASE_ALPHAEDIT__0fe,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T070,BASE_ALPHAEDIT,42657,U000_001,0,0,1,70,69,6900,100,3,False,False,0,BASE_ALPHAEDIT__1ff,BASE_ALPHAEDIT__1fe,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T080,BASE_ALPHAEDIT,42657,U000_001,0,0,1,80,79,7900,100,3,False,False,0,BASE_ALPHAEDIT__3ff,BASE_ALPHAEDIT__3fe,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T090,BASE_ALPHAEDIT,42657,U000_001,0,0,1,90,89,8900,100,3,False,False,0,BASE_ALPHAEDIT__7ff,BASE_ALPHAEDIT__7fe,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U000_001__T100,BASE_ALPHAEDIT,42657,U000_001,0,0,1,100,99,9900,100,3,False,True,100,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__ffe,BASE_ALPHAEDIT__001,W0
BASE_ALPHAEDIT__U001_005__T005,BASE_ALPHAEDIT,42657,U001_005,1,1,5,5,0,0,400,3,True,False,0,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T010,BASE_ALPHAEDIT,42657,U001_005,1,1,5,10,5,500,400,3,False,False,0,BASE_ALPHAEDIT__007,BASE_ALPHAEDIT__005,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T020,BASE_ALPHAEDIT,42657,U001_005,1,1,5,20,15,1500,400,3,False,False,0,BASE_ALPHAEDIT__00f,BASE_ALPHAEDIT__00d,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T030,BASE_ALPHAEDIT,42657,U001_005,1,1,5,30,25,2500,400,3,False,False,0,BASE_ALPHAEDIT__01f,BASE_ALPHAEDIT__01d,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T040,BASE_ALPHAEDIT,42657,U001_005,1,1,5,40,35,3500,400,3,False,False,0,BASE_ALPHAEDIT__03f,BASE_ALPHAEDIT__03d,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T050,BASE_ALPHAEDIT,42657,U001_005,1,1,5,50,45,4500,400,3,False,False,0,BASE_ALPHAEDIT__07f,BASE_ALPHAEDIT__07d,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T060,BASE_ALPHAEDIT,42657,U001_005,1,1,5,60,55,5500,400,3,False,False,0,BASE_ALPHAEDIT__0ff,BASE_ALPHAEDIT__0fd,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T070,BASE_ALPHAEDIT,42657,U001_005,1,1,5,70,65,6500,400,3,False,False,0,BASE_ALPHAEDIT__1ff,BASE_ALPHAEDIT__1fd,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T080,BASE_ALPHAEDIT,42657,U001_005,1,1,5,80,75,7500,400,3,False,False,0,BASE_ALPHAEDIT__3ff,BASE_ALPHAEDIT__3fd,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T090,BASE_ALPHAEDIT,42657,U001_005,1,1,5,90,85,8500,400,3,False,False,0,BASE_ALPHAEDIT__7ff,BASE_ALPHAEDIT__7fd,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U001_005__T100,BASE_ALPHAEDIT,42657,U001_005,1,1,5,100,95,9500,400,3,False,False,0,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__ffd,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__001
BASE_ALPHAEDIT__U005_010__T010,BASE_ALPHAEDIT,42657,U005_010,2,5,10,10,0,0,500,3,True,False,0,BASE_ALPHAEDIT__007,BASE_ALPHAEDIT__003,BASE_ALPHAEDIT__007,BASE_ALPHAEDIT__003
BASE_ALPHAEDIT__U005_010__T020,BASE_ALPHAEDIT,42657,U005_010,2,5,10,20,10,1000,500,3,False,False,0,BASE_ALPHAEDIT__00f,BASE_ALPHAEDIT__00b,BASE_ALPHAEDIT__007,BASE_ALPHAEDIT__003
