case_id,ordinal,birth_batch,cohort_id,cohort_index,update_start,anchor_batch,age_at_anchor,subject_relation_group,subject_sha256,relation_id,target_new_id,target_true_id,target_new_sha256,target_true_sha256,request_sha256,raw_record_sha256,repeated_group,same_batch_conflict,first_later_conflict_batch,active_at_anchor,active_at_100,analysis_group_fold,pilot_selected,pilot_rank_sha256
16186,0,1,U000_001,0,0,1,0,f5211420a1dec6e0652f77c76cccdc3742727c93cfa34e81b19319147a871e13,2607bc84399b2d581f54cda549761f5753070da1e88c6635e89767b71160c154,P463,Q253414,Q35339,59922cc4cad6a8c991e8b9e398278063092a774140a453a3950e3c94ac4e0035,904124161c2fe380980ab597673dfb6a9c3d6dd2ea565f67b82d3dc2a82b95bd,5fd6a12af6ac536a687e55301946256d0cb1cbf6caa48774b0d01bd793e9ac5c,a8722f31c87ff678d498be42f58d6db883169691a588af8ab2382f4b9a6406bc,False,False,,True,True,2,True,af75fe5b70f38eedaa10b83811af412f185c7711d8074787b25f08609c9c7e8d
3743,1,1,U000_001,0,0,1,0,4b53cdc1c475de398bb9e8948d6bec8e7b12b1c2e2dce62bc78e95bcdc349cc7,880012b5907aacd738123c69991bf04df6c76c52a7c3bff1211d54d66a9d3a0b,P20,Q1524,Q71,af8a5ba18d16072b0e0c9b95e5e9bf42a77e0d4d71307cc43c193dd0e1dd88cd,cf2ccf8890030a100eb4b30176f17b01db66a05aa4f4eecd72f5e6d3c9cbc28b,88d9018fe656a0a7e2f584ce730762076514ce594cc693493282994df894f4c3,5cbb00063ac0320bb0109b7e18f4accc2ffbfe4985a5dd04ee0f1accd74e96e2,False,False,,True,True,1,True,a29156397fa1716affa4e9e84ad50a9c48e434c85ac122fa49f8195b632f45c0
1481,2,1,U000_001,0,0,1,0,3ca561431b78ae3045fb0d13d5ae8f915c104ad4234a95ede0ceb035568ccf08,3fe119deb226deb9f4bcc62b5c21477b872ce87b5db5dbd0e7d786e0abd1b93d,P276,Q2096,Q34006,29eb22655e662f2e66856b6d9a6b219da3ed981abdfe46e50b6dc8b23593893b,94faeb3e353d7a1ff2651825b796e252673b4350da1d9b97386d145512ca6c2c,41d4a8384ded7ba9660bb23c2f4a15cf3d10faf1945e57448934b71d3275d805,2cd7595d0da9165db6894967d30b71da29473d5de0038902f1d910ff5da98d94,False,False,,True,True,1,True,ca575b9100002e4e01aaf68e80c22d13ecef385d604093b4ea9cad667be63346
18140,3,1,U000_001,0,0,1,0,c9e4a70da2cd0a5975920b6b1b2c0af013c537aff8866db716c17a5743e135df,5fca961bf0bdf651935fa1ecb4fb2b56d2b04c18397ccf4ad691ac4620bc0667,P190,Q1726,Q1563,e244e124f2c139e98185da2ddf8faa63406dbef58edfbd956e66534cfa81209d,545cb373fac7fb0f91935e89a2b1ced5cbd99dafb98cd40b91be5028da17f780,7b975976ee2fc27f44c25d284064fb48cab5386350f752e94e7cc07399e31cca,9ea2551b9e683356c2b257fe89c9d569dd315c96fb7f49b6d6a441b144e420d3,True,False,69,True,False,0,True,f6341d9a98c778dcb2d73082adcea35e00a021a185edd237c85c0c7c4db327b1
5506,4,1,U000_001,0,0,1,0,e2db328085095458695eb0e1f5ebe4d29b8fecf8bbf27f9e3553e029b609d59c,6b134c122e06d3944995d9d0c09c32a4a6042b6ae237b0e0e159d702ebdaacae,P1412,Q150,Q9035,705d58ae558adc2314a171310c9e68231959a0a87edb62ed88c63a265b509973,08dae8529327af71baae2a63b444d05b9cb58d2247b9ec7e077c6b9eab2db9e8,77de5955038aa906436c004162b15678c37f578b089f3af821170b4160cc820d,e9237347d642580fe294b36770640e909411e8851fe13daddfc2a8d6761f7d0b,False,False,,True,True,4,True,f2077e93edf7f492d0f1b7882a73cd346c194b66f2dff2523f9d9048f7dbc756
14521,5,1,U000_001,0,0,1,0,1873b9ab0098031392b35d31c51f34e594b9a75fc3d470e70e41433a04df43f5,a82800d396a50c1da62ae20aedc6c82c87f41604a799fbaec57ece1d58d78bcb,P276,Q72259,Q36687,3396bbedba49598bd6bd63347cd4f2c811296b7a859e4b34f1a4a98977da110c,a9753f35637f161c7d206fedeabb6b3841b50959b191e155cdb473f14f8fe998,dcf9b04b84870859bed4404f906ead59419fbfb8196dde0283c76945cb700288,e47927c5f10507946b764cfb82cf37ceb5d5ab562c5f232e54bc600daca0779f,False,False,,True,True,3,True,35a8a610d8ebb9e0812f928fd498847d6698feee5ec5a1de34f394503b3e8705
14349,6,1,U000_001,0,0,1,0,6133933e3f5dc341c8b5ea9b943789ebe0e879b89d89ac2fda7aea2da3c3c03d,ee43482119f8973b2946f34608933577aa9c9d075be222930dae78428920a236,P495,Q16,Q29,9d05a4149b75b625d944eec5c41e0ed6888e17676d1ffd1a2f3a01c7068bc32d,74f85bf966f9048e0ecaa6d981cb32871925fdaf9eec0ad9646d5bece60a1db0,1cc97d0cf874c62174a23a9eb79edf7f82519091cc4ca6cd2da113a300687102,b09fd29bc2ce21e0f570d231bb408c02307e0f81105fbc2dff99f0d1d8353920,False,False,,True,True,0,True,e84929bef654a6b9bf326bc5ca42d0196836273157247629dd5f64b65d41ddf1
16334,7,1,U000_001,0,0,1,0,d1f79b24fd5d1deaa392e05c6cee5c5a81c0156ca7d2fe43c6c12bca17e744a3,7dfd3e48939fcca2ada698d34d99718eb22c22c156435cbaeb0d63ab8de97294,P30,Q51,Q46,f9d05a7096ddb408bef2384945e42a1ac6299ebd21444936b0c0ad31fd2ca3f4,ea75d195a75aa107db2e5ce044909c94eabb8fd3513183dc04931414308dffaf,7570e46bb75a56c91f16930a55b46605aa87d3d4f5c00064092803c3088d2406,3abacd54f242fcb07c879b7bcc45fab36802d7b5609c9a531ba8143e4b9fb53d,False,False,,True,True,0,True,26380d9e3ec4bb9c8d2e0e4a01a4a9ad27cf3d87ba204b8f5decb9b942fc1c65
6882,8,1,U000_001,0,0,1,0,681e4c6a8ea666d8cbe62254c707a25bdd7386b85690b3365d0844435f782380,a1d0aaf2b8b07a0e6413c8f17a03aae3f00f6cc1843203cb9c54a3bb5142bc03,P30,Q46,Q51,ea75d195a75aa107db2e5ce044909c94eabb8fd3513183dc04931414308dffaf,f9d05a7096ddb408bef2384945e42a1ac6299ebd21444936b0c0ad31fd2ca3f4,bf46b52770c2fb3cac40d1593d9d5f15ec83323072faf54d2abd7c06ee74db5c,ea9a1debd520f4e62b3609ef0eabcba05b27034b4c5fd6b7101f3d56826aa848,False,False,,True,True,0,True,51a855380010f81c8aa3d4191b4bf6a56d5c78a0e1f46666965b02256f222e1c
6620,9,1,U000_001,0,0,1,0,62e6f576ad1151e8b46b7c164533f4834bbb430d9a5c61347e0a662e929799bb,771c17a9cf22ddd0c2814067e5e403c41057da6cdfffbce44ea2a0a3ba9765dc,P17,Q183,Q419,b5b948ada16e69c95a50d0602c1a947c3e5d92e1e6d7269ef8a1df5ff4248f47,c24fd72160888d2b2facc395963af01b756fa643b2cf53dc11bd952cb163f76e,f3cefe4f1e98e3c84316f680c5a726117aa1598f435caff3c213a286e259ca44,e39cb8512a56ef05560f93826a5586e22209a788f3dc2603304099695764058e,False,False,,True,True,0,True,9cfc0cb65c6b1b6a32b905c6f8c5fc434c6c2f904409284c5a9f453767e34199
