case_id,cohort_id,cohort_index,birth_batch,rank_sha256
5506,U000_001,0,1,0825f9a860c3ae53118e746eebda8d2da6178f97db000a245b477739b73e8fe8
11172,U000_001,0,1,0c7b6b9d4487f758ecac4adeac834590c9767b8dd9331819c09465b978b3d1c2
16855,U000_001,0,1,0cc0977472d6360e9b5b83051f4126ee6fbe3cdb6786cf9722ffa14a0a6430eb
15825,U000_001,0,1,0da9818cd4ea3038251fb2030a6eb97b76fbf5dbd088b13455589cdb53caf140
14349,U000_001,0,1,11e4078b7975eb01d5e4ac3b372d257cfb0e1a8940fecaf465ebb54024b25a90
19911,U000_001,0,1,120acc944a0e5f19238b346db8a755527b06995847e2643251dc4b442c902525
378,U000_001,0,1,132617deaeb7fba76fc14624238dd93ae3575c716b4203a043806fde4bc53bc2
4592,U000_001,0,1,14e915ec6a6b39467fd193ddda2517cb4b1daec1141ac852eb873b01c28a2f24
6540,U000_001,0,1,1926bc36b5d37b37bd9f6712a778cdf338cfdb2b021fd087fde3e3db4e1e3d45
7348,U000_001,0,1,199aafefbb59cd95bbad7c2a1126b81fc5a8fe6a4d8baed127532eec4ddaf2ce
3664,U000_001,0,1,19cb26654296b00f7de9ca44f640d9377817473b7bcddb468738f4d5d49fed53
10106,U000_001,0,1,1b3f562a2c749ccf8750c707f45506fbad340fd5eda9c8899020a687bf1b21e9
21830,U000_001,0,1,1b4cbce92fe382ea9c9c3ff150b6fb2bc29bb4bcede24a9c176a7cf6deef21b8
16762,U000_001,0,1,1b847993a6f13747fe490d39801c0fbe595425818f148a6b76715ca22d106a1f
1888,U000_001,0,1,1eeba594a2dc4109b9df9c3371a99722645bd174adbce0f18739b749a451ff23
13874,U000_001,0,1,2042d942579fb8ddbb1c60c7bb12836e281068be60fb4ac33c5bbee0daf056a9
19585,U001_005,1,4,006152c3af2c8e26142715851d3b637b6900bb46c84eb77b041a8d9812d5f69e
16810,U001_005,1,4,009d1cad37d7316f2e114fd3f437fbe174ddb15af19a8deeb3c04ed1e809db14
656,U001_005,1,5,00eb35c178a178d228aaf45a03c4d9c3a8b95369a9ebedf6147fb82a390e5717
4368,U001_005,1,5,013f84cd9068d669c41bacb4f1a95216ea7dd8efbb8cae0c3d551ee54811715e
6631,U001_005,1,4,02161ee242d4078ad286c53f2d3e1f033c37fa224357a302bc18fb4fc8950a67
9182,U001_005,1,2,046278480744ac21deeadadc0eb4d020e3a6e8f3577fd050e0ca691273005946
2612,U001_005,1,3,050565796ee696f85c906d1b2229cb41ff8dcdec990cea521e7ea62e5d6273b7
6705,U001_005,1,5,066ba3ccd018203e273ed0c21bf237cfec350403fec18e52df00c6cc7ef72ff4
1594,U001_005,1,2,068d79c1803db39de8b9dd458c62d978fa1f77e1520c7cdb969d0575729d37fa
12179,U001_005,1,2,06e411f30607fbd621f063c52c0e98da343efa2a4f9f3a6ead6eeae8093b1d94
19337,U001_005,1,2,06ff490c159ef5a7177538fb45763cd536f472d816fc9659918b6f8e497fd109
4595,U001_005,1,4,073a57fc95ba9617a7c510b78c849d88919486b443136995cf631dcead569994
5798,U001_005,1,5,08f6e870d3d0cb5a36a87c34d27ceea57f87e31be0ac2c599a300da4ca170fa2
9218,U001_005,1,5,0c07e5221d90d11ace9af92a80d589af757324c02869fba9a0cf5809da110dcd
16208,U001_005,1,3,0c4cb01219cea4d04cdf0c59249c02f6ac563d846e1b456ff83332c8b2d1a10f
19533,U001_005,1,5,0ccc60077e6d4b5adc558fbec5045eccbd1ca56e14156dbfe12af463bcfbd6c6
696,U005_010,2,8,00039ddd71127bb8648f790197a23c7112bdeca01399d710808f2f0adcaa9dcb
10883,U005_010,2,6,010af49c5c4a07d7077af899a266d5802a7b88a2aa781eb4140abbdeb4031698
8671,U005_010,2,9,01a8754e3f2143caba2c25ad656b43b08f053fb7477af4a5d5cde0cbd7018c8f
8788,U005_010,2,10,01e48a07312bda783f87db0d3f27b73499276a91f712cb909395459f3fb6edd9
767,U005_010,2,6,021907a22f716104abac363030194dce866eaaefe54fdffcb5cd06ef53835bb5
20498,U005_010,2,8,048ae1f00ff1c5c7c457e9deee2b99fc156297c29ca1d557f1abff27b4ba4f35
21803,U005_010,2,6,04918eed8341f554ad48708bd3a28755fa10e0663ffa32e52f51a9872e9c1b6d
13791,U005_010,2,10,05f95bbcef4c94ad859318a795017dfaf0acb86e71bd691935f0ac1b3364e9ea
4830,U005_010,2,10,06ef9dcaa2d5083240dfffe97edc05c0638de6d64a39f253b3c94a4c2acfa138
17508,U005_010,2,8,07ccb293c0e6c06f1981bcfa9b8469c4a8e3164fd1338bbf27d350eb2ddf2d52
9405,U005_010,2,8,096629612d05bd24cf63f7b6d76a7d531aa4859a1cdca3a56b1b0164f9846920
18722,U005_010,2,10,0a143f926647d1ff962d17e4fe6e627954c9acf5bc4f7d37cb5d3c7ad31471e2
16367,U005_010,2,10,0a50488a1b1237649221cbf121d1063beed4c8b724a8da653407f291ad509b8b
1282,U005_010,2,8,0a8ff826abf51ac01fafdd94b840213cca12707cc339b8178ab6295eacf1a771
13826,U005_010,2,9,0af464deee4d74475def9da35167661a4eb427a1f5308b30e8f578828e583738
1495,U005_010,2,7,0b69e43a7377b2f11c6ba32d39decdab58007eb59a6a5434a38e8340eedc56f5
