Model,P_ratio,capacity_ratio,case,comparison,current_Eff_denominator,current_Gen_denominator,current_Loc_denominator,current_endpoint_denominator,delta_Eff,delta_Eff_NLL,delta_Gen,delta_Loc,delta_W_NLL,delta_gap,delta_z_NLL,energy_ratio,matched,reference_Eff_denominator,reference_Gen_denominator,reference_Loc_denominator,reference_endpoint_denominator
llama3-8b-inst,0.43333806992299373,0.4240427825123339,1,P1R38-Neutral,10,20,100,1,0.0,-0.13900299072265626,-1.0,3.0,-0.19372873872052876,-0.06415338981896636,-0.12957534890156241,0.4630548973660698,True,10,20,100,1
llama3-8b-inst,1.1800010373413499,1.408358702053186,1,P1R36-RS-Neutral,10,20,100,1,0.0,0.041188812255859374,0.0,0.0,0.0031667747418396147,-0.046752562973415485,0.0499193377152551,1.38061339464262,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,1,Official-AlphaEdit,10,20,100,1,0.0,0.06891403198242188,0.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.3338775108721483,0.028572520571912965,2,P1R38-Neutral,10,20,100,1,0.0,-0.4004520416259766,-4.0,1.0,-0.2917711685644463,-0.11401384348282592,-0.17775732508162034,0.032753354276637905,True,10,20,100,1
llama3-8b-inst,1.0250177403978862,16.346879061759,2,P1R36-RS-Neutral,10,20,100,1,0.0,0.0069866180419921875,-1.0,0.0,-0.13851851397193968,0.01965333452681079,-0.1581718484987505,16.294352669173833,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,2,Official-AlphaEdit,10,20,100,1,0.0,0.03536554574966431,-4.0,2.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.42298650369677704,1.2963811622947363,3,P1R38-Neutral,10,20,100,1,0.0,-1.1895519256591798,1.0,0.0,-1.2826952254399657,-0.3047768480784725,-0.9779183773614931,1.4948198848527234,True,10,20,100,1
llama3-8b-inst,1.0129207688520612,1.0304920228477423,3,P1R36-RS-Neutral,10,20,100,1,0.0,-0.003394699096679686,1.0,0.0,-0.004717000457458195,-0.0015083588717970942,-0.0032086415856610994,1.0284413195245656,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,3,Official-AlphaEdit,10,20,100,1,0.0,0.02360372543334961,1.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.32490678429676306,0.09590777896910108,4,P1R38-Neutral,10,20,100,1,0.0,-0.2782999038696289,0.0,10.0,-0.2661770893028006,-0.048654265742516134,-0.21752282356028443,0.11613368783259102,True,10,20,100,1
llama3-8b-inst,0.990386613937525,0.8121805449807749,4,P1R36-RS-Neutral,10,20,100,1,0.0,-0.01344432830810547,0.0,0.0,-0.010062616696814082,-0.005860553507227459,-0.004202063189586625,0.8141893814149306,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,4,Official-AlphaEdit,10,20,100,1,0.0,0.03400652408599853,1.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.33188926994452167,0.2888487999049145,5,P1R38-Neutral,10,20,100,1,0.0,-0.5097221374511719,0.0,9.0,-0.7511805265850854,-0.5371722632553428,-0.21400826332974246,0.34560645886121016,True,10,20,100,1
llama3-8b-inst,1.0233178722442797,0.8819236786110011,5,P1R36-RS-Neutral,10,20,100,1,0.0,-0.06139068603515627,0.0,0.0,-0.030231827450916182,-0.006022951123304671,-0.02420887632761151,0.8821306429218658,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,5,Official-AlphaEdit,10,20,100,1,0.0,0.2477900505065918,1.0,2.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.3706822194818054,0.10191241233062334,6,P1R38-Neutral,10,20,100,1,0.0,-0.24348068237304688,-1.0,2.0,-0.37487371455645185,-0.18335438057547435,-0.19151933398097754,0.11483119848055491,True,10,20,100,1
llama3-8b-inst,1.1013413540887458,6.053544556225653,6,P1R36-RS-Neutral,10,20,100,1,0.0,-0.019189071655273438,0.0,0.0,-0.03390650907531381,0.020825798972509794,-0.05473230804782361,6.032887028395444,True,10,20,100,1
llama3-8b-inst,NOT_RECORDED,NOT_RECORDED,6,Official-AlphaEdit,10,20,100,1,0.0,0.01348707675933838,-2.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,10,20,100,1
llama3-8b-inst,0.33469853562326346,0.19977714628447177,7,P1R38-Neutral,10,20,100,1,0.0,-0.8971099853515625,-1.0,6.0,-0.8112190217361787,-0.13448580341646454,-0.6767332183197141,0.23837031067448777,True,10,20,100,1
