W_sha256,actual_commit_evaluator_count,actual_commit_forward_count,alias,arm,batch,cold_initialization_count,endpoint_M,entry_M,entry_W,fixed_z_request_count,history_append_count,target_sha256
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,0,0,llama3-8b-inst,O_NATIVE,1,1,dcf00d9a6d30eca4425feadd4fd60936912f5bd01f5d6b609142d3148c3151e0,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,100,1,b77e88c4561b906475d6ad9c6fc47323e8490b1cf7c37b4f2fc76c665e33c011
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,0,0,llama3-8b-inst,O_NATIVE,2,0,500958f9082979c380578ab3c6db10ab681df6c98b43a60c72b2bf8f8c47d33c,dcf00d9a6d30eca4425feadd4fd60936912f5bd01f5d6b609142d3148c3151e0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,100,1,86d96d503dbc08eb72ff875a43df20402770b9b7468c26ab1dc34df24a7a992b
062810781662927457e8d745d6ea0b37011e801576c221118ec1585d906d3f62,0,0,llama3-8b-inst,O_NATIVE,3,0,df6dca69b049dd19c6ca71fa20f78d9d3c501dc3fcf1d9dd6e99f1791cc57b95,500958f9082979c380578ab3c6db10ab681df6c98b43a60c72b2bf8f8c47d33c,50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,100,1,efb7fad81ccc8607c1eabfd338fd216bbe3d32bcdcb5f5a4337bc923a9d6b3f2
aa28336cbb12fe67b0782308e6a2438801fa85b4594f024d2c486af12257b9cd,0,0,llama3-8b-inst,O_NATIVE,4,0,899c7f0defd1e96e9ab6fd89bf978b4d80119719ee8c87f4fe2ae72ffd31640d,df6dca69b049dd19c6ca71fa20f78d9d3c501dc3fcf1d9dd6e99f1791cc57b95,062810781662927457e8d745d6ea0b37011e801576c221118ec1585d906d3f62,100,1,5791fb49a5fdcff2741e70357d1225d9199c0d87be6798c3b1b2d5b12e7afffd
d5242c7018dd9fe2ce83be9d079eda59a476b97aba652ba93c0c0602155d544e,0,0,llama3-8b-inst,O_NATIVE,5,0,e43e0880add15d9d45f660a94b61ff48b61e844cba3bce92c30f35b962c83ea2,899c7f0defd1e96e9ab6fd89bf978b4d80119719ee8c87f4fe2ae72ffd31640d,aa28336cbb12fe67b0782308e6a2438801fa85b4594f024d2c486af12257b9cd,100,1,9cc083cbc38db9239757ca7ecc4a76d26d94a974ba485ee1894b2577547254e8
62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,0,0,llama3-8b-inst,O_NATIVE,6,0,a8babf51cd977eddbe5d7157faa174f9d2932a899bcb3048056b27b1ee25822d,e43e0880add15d9d45f660a94b61ff48b61e844cba3bce92c30f35b962c83ea2,d5242c7018dd9fe2ce83be9d079eda59a476b97aba652ba93c0c0602155d544e,100,1,4f95d8e9e1ab86b2af5f317caaf08b2e07b8c69a6d33b392f22a0a35ef6fb26c
d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,0,0,llama3-8b-inst,O_NATIVE,7,0,a97ba44122ae8dedb9d4537423f3c632649f9011206e04edaacf356cd5814fe5,a8babf51cd977eddbe5d7157faa174f9d2932a899bcb3048056b27b1ee25822d,62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,100,1,d5e790f3806380e6fd282389b0f7b14b44495a6aa83f0d1e349785bc5af75644
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,0,0,llama3-8b-inst,O_NATIVE,8,0,2b2457ec76fd7b85311786c4e7069bd1d182fbe87e23be856824bd8c98a6214b,a97ba44122ae8dedb9d4537423f3c632649f9011206e04edaacf356cd5814fe5,d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,100,1,98df01acfdb18db72066187ba43263d90bfce8fdad07703b6632711ed364f5c0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,0,0,llama3-8b-inst,O_NATIVE,9,0,ae9f68d97a1ea957f9de8d1be50f06f2161bd7c02e541520d530c43ab2d6aa00,2b2457ec76fd7b85311786c4e7069bd1d182fbe87e23be856824bd8c98a6214b,8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,100,1,0c701ac8f4918add2fd897923a7e5d8275da8ff61498e95109e129b87282422c
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,0,0,llama3-8b-inst,O_NATIVE,10,0,001a6c3d93b0c2bfce8c297263cf6c6bf9b38da453651b069def28dc6b7ceb4f,ae9f68d97a1ea957f9de8d1be50f06f2161bd7c02e541520d530c43ab2d6aa00,808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,100,1,8072ecdef66cf2f5c1f52ea642082f0fad91a0311cd801b557d18360a1f36186
a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,0,0,qwen2.5-7b-inst,O_NATIVE,1,1,ef146dbe7387ddd10560317bf39f728b576f2271d511971bad633df07e44a1f3,9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,100,1,9bcb922af5de9625ef11be8277d1c976116bba606bebaa78511bbdf66f9b36bd
017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,0,0,qwen2.5-7b-inst,O_NATIVE,2,0,69bffbd69cb174b24d42cf3a566dce7305c3030b4fe572ae26449134ea44a247,ef146dbe7387ddd10560317bf39f728b576f2271d511971bad633df07e44a1f3,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,100,1,0da8aff35e75d20b7e7ccf279691674b9ad6be39ef3be985d43a04a7c38b9722
