denominator,entry,kind,literal_prefix_numerator,member,raw_output_published,semantic_accuracy_claim,unit
20,Middle,rewrite,20,N-generation.json,False,False,native
40,Middle,rephrase,25,N-generation.json,False,False,native
20,Middle,rewrite,20,Continue/generation.json,False,False,C
40,Middle,rephrase,25,Continue/generation.json,False,False,C
20,Middle,rewrite,20,FrozenGlobal/generation.json,False,False,C
40,Middle,rephrase,25,FrozenGlobal/generation.json,False,False,C
20,Middle,rewrite,20,RefreshedGlobal/generation.json,False,False,C
40,Middle,rephrase,25,RefreshedGlobal/generation.json,False,False,C
20,Middle,rewrite,20,RefreshedLocal/generation.json,False,False,C
40,Middle,rephrase,24,RefreshedLocal/generation.json,False,False,C
20,Middle,rewrite,20,SoftGlobal/generation.json,False,False,C
40,Middle,rephrase,25,SoftGlobal/generation.json,False,False,C
