W0_restored,entry,evaluation_sha,job,path,process_total_reference,runtime_sha,scope,source_head,status,terminal_sha,unit
,Late,90aa10374bc22089bf05f63d07bf59ad4763d049dcc313f7557963f38e66706c,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/native-scale-0.75-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.75-curve
,Late,f0a20a7d6543ebdcb5806ea9dfacc887b86d85e0ddbe3a20fe5b30b2bbebacfe,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/native-scale-1.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-1.25-curve
True,Late,,43247,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Late/run-v1,,76478d85bc143d66c8c8c0ce592a2ea2a56b0b38d34c1ab55138b6477d3a5278,PROCESS,bb1c5536d7b53a9b65028ef31119492d95d24947,TERMINAL_VALID,043b290c9c7dbe50106eb5fd51fad103f8e93c1cc78cce03c6cefe961cc1e34f,B
True,Middle,,43145,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,,25f0159f35c47f739eda02f5d27b112fa03081bc621aedaaab18c20455ee287d,PROCESS,cc09402831238549d23884b4026de0b2b15e3e52,TERMINAL_VALID,86815a722310b917c678bec1ca5c3f2d06434c21f31917d46f0e008f68f4ec04,native
,Middle,42d6fb92d01cad52c074a8fe94db2691640020a44ec0c0ff20f3397cece923e6,43145,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/N-full.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,,NATIVE_OR_SCALING_ENDPOINT,cc09402831238549d23884b4026de0b2b15e3e52,MEASURED,,N-full
,Middle,fd4e6052601954e3b29d79fd536dd0d2afb55f1f05e672868cfbc5a5093759ef,43145,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,,NATIVE_OR_SCALING_ENDPOINT,cc09402831238549d23884b4026de0b2b15e3e52,MEASURED,,native-scale-0.25-curve
,Middle,08bc3c4e9f2645add73cfffe8e00c2b6f7a2f2abe20c8974095efe5ff0166355,43145,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.5-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,,NATIVE_OR_SCALING_ENDPOINT,cc09402831238549d23884b4026de0b2b15e3e52,MEASURED,,native-scale-0.5-curve
,Middle,f5b483931114da5780f93309987034fc0c8133d806be7afc69c352e274b6a573,43145,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-0.75-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,,NATIVE_OR_SCALING_ENDPOINT,cc09402831238549d23884b4026de0b2b15e3e52,MEASURED,,native-scale-0.75-curve
,Middle,200be1efef2bbe4a638d22e42b5cc109bd0ee93b0ec45657a3d59eb8b851d030,43145,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1/native-scale-1.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,,NATIVE_OR_SCALING_ENDPOINT,cc09402831238549d23884b4026de0b2b15e3e52,MEASURED,,native-scale-1.25-curve
True,Middle,,43235,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1,,da10019f23ec93c758554068ab4fcd19512fdfb9b77fd29de2b87af66f47958c,PROCESS,bb1c5536d7b53a9b65028ef31119492d95d24947,TERMINAL_VALID,aa4eabe0e9cf4ba50fa488e33c6a6c5d4cb40ec328b0c515d3b699a56c5da50b,B
