entry,batch_raw,arm,bank,reference,denominator,reference_success,success,lost,gained,delta_pp
Middle,100,BF8,BaseAudit,ENTRY,1280,934,932,28,26,-0.15625
Middle,100,BF8,BaseAudit,N,1280,930,932,25,27,0.15625
Middle,100,BF8,BaseAudit,OS,1280,931,932,0,1,0.078125
Middle,100,OS,Base,ENTRY,1280,948,926,38,16,-1.71875
Middle,100,OS,Base,N,1280,941,926,30,15,-1.171875
Middle,100,OS,Base,OS,1280,926,926,0,0,0.0
Middle,100,OS,BaseAudit,ENTRY,1280,934,931,29,26,-0.234375
Middle,100,OS,BaseAudit,N,1280,930,931,26,27,0.078125
Middle,100,OS,BaseAudit,OS,1280,931,931,0,0,0.0
Middle,100,Frozen-BF8,Base,ENTRY,1280,948,925,39,16,-1.796875
Middle,100,Frozen-BF8,Base,N,1280,941,925,31,15,-1.25
Middle,100,Frozen-BF8,Base,OS,1280,926,925,1,0,-0.078125
Middle,100,Frozen-BF8,BaseAudit,ENTRY,1280,934,932,28,26,-0.15625
Middle,100,Frozen-BF8,BaseAudit,N,1280,930,932,25,27,0.15625
Middle,100,Frozen-BF8,BaseAudit,OS,1280,931,932,0,1,0.078125
Middle,100,BF1,Base,ENTRY,1280,948,925,39,16,-1.796875
Middle,100,BF1,Base,N,1280,941,925,31,15,-1.25
Middle,100,BF1,Base,OS,1280,926,925,1,0,-0.078125
Middle,100,BF1,BaseAudit,ENTRY,1280,934,931,29,26,-0.234375
Middle,100,BF1,BaseAudit,N,1280,930,931,26,27,0.078125
Middle,100,BF1,BaseAudit,OS,1280,931,931,0,0,0.0
Middle,100,ENTRY,Base,ENTRY,1280,948,948,0,0,0.0
Middle,100,ENTRY,Base,N,1280,941,948,11,18,0.546875
Middle,100,ENTRY,Base,OS,1280,926,948,16,38,1.71875
Middle,100,ENTRY,BaseAudit,ENTRY,1280,934,934,0,0,0.0
Middle,100,ENTRY,BaseAudit,N,1280,930,934,12,16,0.3125
Middle,100,ENTRY,BaseAudit,OS,1280,931,934,26,29,0.234375
Middle,100,N,Base,ENTRY,1280,948,941,18,11,-0.546875
Middle,100,N,Base,N,1280,941,941,0,0,0.0
Middle,100,N,Base,OS,1280,926,941,15,30,1.171875
Middle,100,N,BaseAudit,ENTRY,1280,934,930,16,12,-0.3125
