entry,batch_raw,arm,correction_frob_norm,correction_relative_to_OS,cumulative_H_action,ridge_part_H_action,ridge_fraction,data_part_H_action
Early,100,BF1,0.0066079695343189155,0.000800298869415923,1.1322911239740336e-11,1.131362796627666e-11,0.9991801336893736,9.283273463676004e-15
Early,100,BF8,0.012163224535534686,0.0014731022583692546,3.836443407398157e-11,3.833215868489062e-11,0.9991587158817797,3.2275389090948726e-14
Middle,100,BF1,0.006462156869892333,0.0007568038240161294,1.0316583035903537e-11,1.030844404872046e-11,0.999211077238001,8.138987183077365e-15
Middle,100,BF8,0.009869125590090016,0.0011558048089290666,2.4062533456445203e-11,2.40433775735381e-11,0.9992039124665831,1.9155882907102005e-14
Middle,100,Frozen-BF8,0.009078289070654156,0.0010631874190806156,2.0360530207538647e-11,2.0344458744644514e-11,0.9992106559735766,1.6071462894132566e-14
Late,100,BF1,0.005552525785520722,0.000665376620467655,7.785285509522686e-12,7.778931539551437e-12,0.9991838488179429,6.353969971248908e-15
Late,100,BF8,0.0098369375599967,0.001178791152395904,2.4435434575898293e-11,2.4415105806133257e-11,0.9991680618692541,2.0328769765035906e-14
Middle,1,BF1,0.0003712629050572234,0.0005028114082072225,4.232809983778537e-14,4.232737942880281e-14,0.999982980360911,7.204089825600063e-19
Middle,7,BF1,0.0019827328457924192,0.0009362587560836491,1.167887378119467e-12,1.1678518707983542e-12,0.9999695969647605,3.550732111276103e-17
