entry,batch_raw,bank,arm,N,OS,value,ratio_to_N,reduction_from_OS_pct,reduction_needed_from_OS_to_equal_N_pct,OS_ten_percent_reduction_target
Early,100,Past,OS,0.030312198014660004,0.036892767676498586,0.036892767676498586,1.2170931206854745,0.0,17.837018137380166,0.03320349090884873
Early,100,Past,BF1,0.030312198014660004,0.036892767676498586,0.033857058246414815,1.1169450077503582,8.228467586663546,17.837018137380166,0.03320349090884873
Early,100,Past,BF8,0.030312198014660004,0.036892767676498586,0.03294255663458444,1.086775581851646,10.707277579585083,17.837018137380166,0.03320349090884873
Early,100,Base,OS,0.11814719770178965,0.20022039265428718,0.20022039265428718,1.6946689938398287,0.0,40.991426429879276,0.18019835338885845
Early,100,Base,BF1,0.11814719770178965,0.20022039265428718,0.1851980405546471,1.5675195362830157,7.502908120642138,40.991426429879276,0.18019835338885845
Early,100,Base,BF8,0.11814719770178965,0.20022039265428718,0.17357433070316114,1.4691362476600822,13.30836564541893,40.991426429879276,0.18019835338885845
Early,100,BaseAudit,OS,0.04101710213929429,0.10429075847252131,0.10429075847252131,2.542616446143595,0.0,60.67043452359056,0.09386168262526919
Early,100,BaseAudit,BF1,0.04101710213929429,0.10429075847252131,0.10403693804120612,2.536428285155205,0.24337768277145067,60.67043452359056,0.09386168262526919
Early,100,BaseAudit,BF8,0.04101710213929429,0.10429075847252131,0.10378405004457815,2.5302628569938213,0.4858612933346995,60.67043452359056,0.09386168262526919
Middle,100,Past,OS,0.017501801081293858,0.036850395353314115,0.036850395353314115,2.105520179446004,0.0,52.505798340858654,0.0331653558179827
Middle,100,Past,BF1,0.017501801081293858,0.036850395353314115,0.03384419165709388,1.933754789000943,8.157860091858883,52.505798340858654,0.0331653558179827
Middle,100,Past,BF8,0.017501801081293858,0.036850395353314115,0.03304747957685814,1.8882330694627594,10.319877819476254,52.505798340858654,0.0331653558179827
Middle,100,Past,Frozen-BF8,0.017501801081293858,0.036850395353314115,0.033085550861384705,1.8904083475584095,10.216564722936738,52.505798340858654,0.0331653558179827
Middle,100,Base,OS,0.05903529695698263,0.19879436193518954,0.19879436193518954,3.367381417256958,0.0,70.30333436909585,0.1789149257416706
