entry,batch_raw,arm,node,dual_relative_error,minimum_dual,minimum_slack,normalized_Q_cosine
Early,100,BF1,0,0.0,1.0804099413511062e-11,0.01294520887072205,0.0027688698316249674
Early,100,BF8,0,0.0,0.0,0.0,0.005160079211828828
Early,100,BF8,1,0.0,0.0,0.0,0.0053400612212492265
Early,100,BF8,2,0.0,0.0,0.0,0.00565150118666726
Early,100,BF8,3,0.0,0.0,0.0,0.005455519122402869
Early,100,BF8,4,0.0,0.0,0.0,0.0047793733441078
Early,100,BF8,5,1.6423046705655224e-18,6.4536145105483156e-12,0.0009665704726126392,0.0038531777621652885
Early,100,BF8,6,3.373363887775536e-18,2.1103951912601603e-11,0.003160780170680606,0.0029420809078733175
Early,100,BF8,7,0.0,4.078881278273843e-11,0.006109020299288107,0.0032145653839017103
Middle,100,BF1,0,6.4549860946682604e-18,1.1802866468984828e-11,0.013051319148262564,0.0010489727693744405
Middle,100,BF8,0,0.0,0.0,0.0,0.0002535746742570561
Middle,100,BF8,1,0.0,0.0,0.0,0.000532131247029655
Middle,100,BF8,2,0.0,0.0,0.0,0.0010202481019763842
Middle,100,BF8,3,0.0,0.0,0.0,0.0012739230613340524
Middle,100,BF8,4,0.0,4.531263316666596e-12,0.0006263199266681724,0.0014615094151980807
Middle,100,BF8,5,3.3969805655722963e-18,1.4547757442060782e-11,0.00201081900069333,0.0017065730072118052
Middle,100,BF8,6,0.0,2.4088651980510363e-11,0.003329579785503883,0.0017024668833452831
Middle,100,BF8,7,0.0,3.4339705055653654e-11,0.004746500048486626,0.00115383944510489
Middle,100,Frozen-BF8,0,0.0,0.0,0.0,0.0010489727693744405
Middle,100,Frozen-BF8,1,0.0,0.0,0.0,0.0010489727693744405
Middle,100,Frozen-BF8,2,0.0,0.0,0.0,0.0010489727693744405
Middle,100,Frozen-BF8,3,0.0,0.0,0.0,0.0010489727693744405
Middle,100,Frozen-BF8,4,0.0,4.185961610495709e-12,0.0005785916610227228,0.0010489727693744405
Middle,100,Frozen-BF8,5,0.0,1.3886088547762643e-11,0.0019193618541110203,0.0010489727693744405
Middle,100,Frozen-BF8,6,5.588124871510905e-18,2.3492619569687997e-11,0.003247195039849168,0.0010489727693744405
Middle,100,Frozen-BF8,7,9.084186304834644e-18,3.38191098540836e-11,0.004674542378917552,0.0010489727693744405
Late,100,BF1,0,0.0,1.2800266867861821e-11,0.013458577340688553,-0.005946831937057404
Late,100,BF8,0,0.0,0.0,0.0,0.001094159289557589
Late,100,BF8,1,0.0,0.0,0.0,0.0013298020713778265
Late,100,BF8,2,0.0,0.0,0.0,0.0008800124497462854
Late,100,BF8,3,0.0,0.0,0.0,-0.0002236725151504469
Late,100,BF8,4,0.0,7.301421797326286e-12,0.0006683145675696627,-0.0020634541877331495
Late,100,BF8,5,6.53671657520653e-18,1.7388904961277164e-11,0.002285400811435625,-0.00427607873640269
Late,100,BF8,6,4.666636080439163e-18,2.64858676415922e-11,0.003481002601053124,-0.005772427888114813
Late,100,BF8,7,0.0,4.2770247673141965e-11,0.00562123715985403,-0.007034361212581531
Middle,1,BF1,0,8.746293854746925e-18,2.693098865718157e-13,0.0027938114879520496,0.0004217262850578866
Middle,7,BF1,0,0.0,2.587191252873662e-12,0.010600402339126007,-0.0008563715498204744
