state,panel,metric,success_n,denominator,success_rate,new_strict_n,true_strict_n,new_token_correct,new_token_denominator,true_token_correct,true_token_denominator,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,margin_mean,margin_median,margin_p90,margin_max
A0,Current100,RS,97,100,0.97,93,1,94,101,4,103,0.2893245359388675,0.026962832547724247,0.3583438098430649,5.684421062469482,12.00646402163431,11.864718437194824,17.44870700836182,23.359302520751953,11.717139485695443,11.739544086158276,17.39566750526428,23.356250299606472
A0,Current100,PS,188,200,0.94,117,3,118,202,9,206,2.0425514281651704,0.7546181082725525,6.045599269866942,12.674215316772461,9.602003724458628,9.760109901428223,14.533980751037598,18.83376121520996,7.559452296293457,7.626187089830637,14.201075357804074,18.806481935083866
A0,Current100,NS,682,1000,0.682,70,95,80,1010,124,1030,8.350999027734622,8.29443359375,14.227285099029542,22.504053115844727,6.044962433810346,5.5314295291900635,11.51605520248413,21.27480697631836,-2.3060365939242766,-2.5658493041992188,5.031512069702149,13.29123330116272
A0,Fixed100,RS,100,100,1.0,95,0,96,101,3,103,0.21674329356916133,0.004126093350350857,0.2187556937336927,5.401012420654297,12.85409775018692,12.830986976623535,18.034535598754882,27.494993209838867,12.637354456617759,12.652603229973465,17.963059334643187,27.4948525527725
A0,Fixed100,PS,193,200,0.965,140,1,142,202,7,206,1.4484430751064792,0.4064653366804123,4.855685567855835,10.845251083374023,9.710147233605385,9.326990604400635,15.294038486480712,21.1487979888916,8.261704158498906,7.874813853297383,14.088336239289491,21.147454092279077
A0,Fixed100,NS,687,1000,0.687,53,78,54,1010,107,1030,8.741071155808866,8.827289581298828,14.145574855804444,23.348447799682617,6.569171051198617,6.223148345947266,11.561370086669921,20.509672164916992,-2.1719001046102493,-2.281385123729706,4.334472817182544,14.23117833584547
A0,Past100,RS,100,100,1.0,100,0,101,101,3,103,0.033140883285886956,0.0018017739639617503,0.024353218451142314,1.9292672872543335,13.862133655548096,13.42844533920288,19.14169597625733,23.684633255004883,13.82899277226221,13.417836725144298,19.141629006838055,23.68434957714635
A0,Past100,PS,195,200,0.975,141,3,143,202,9,206,1.2364494498996645,0.16403941065073013,4.148121833801269,11.803507804870605,10.450046868473292,10.226674556732178,14.824389457702635,20.428054809570312,9.213597418573627,9.330621244385839,14.667852004314772,20.424553332850337
A0,Past100,NS,674,1000,0.674,67,120,77,1010,150,1030,7.833630957606598,7.957675933837891,12.725749969482422,22.366479873657227,5.992606173020787,5.576521635055542,11.111259078979492,20.210067749023438,-1.8410247845858103,-1.9124188423156738,3.9771288819611077,14.231172665953636
We,Current100,RS,30,100,0.3,3,7,4,101,9,103,8.809954380691051,8.733416080474854,14.375811958312989,20.463829040527344,6.173867802880705,5.7654218673706055,11.013453006744388,17.022876739501953,-2.6360865778103473,-2.995746374130249,2.641145372390749,10.466095209121704
We,Current100,PS,53,200,0.265,4,17,5,202,22,206,8.648566141873598,8.551674842834473,12.91084098815918,18.114866256713867,6.087802741080522,6.09207558631897,10.721861362457275,16.30185317993164,-2.5607634007930757,-2.5874356031417847,2.473768520355224,9.036346912384033
We_plus_D4,Current100,RS,93,100,0.93,70,1,71,101,4,103,1.89829067265091,0.6209442317485809,6.415278100967409,18.803489685058594,8.686045609861612,8.738277435302734,13.057111644744873,16.643274307250977,6.787754937210702,7.240347046405077,12.18464623168111,16.634147458709776
We_plus_D4,Current100,PS,168,200,0.84,69,5,70,202,11,206,3.595628766415175,2.9415152072906494,8.437979221343994,14.323921203613281,7.983636231645942,8.328842639923096,11.93716344833374,16.106863021850586,4.388007465230767,5.104137659072876,9.608437582850456,13.864593088626862
We_plus_D8,Current100,RS,74,100,0.74,43,3,44,101,5,103,4.408558163102207,2.371594190597534,11.194663333892823,18.45442771911621,9.902735789716244,9.403558254241943,15.931670284271247,25.51246452331543,5.494177626614037,5.806265652179718,15.628177025076004,25.51212972047506
We_plus_D8,Current100,PS,129,200,0.645,50,9,51,202,14,206,5.220038475132023,4.85978364944458,11.296513748168945,15.168357849121094,8.517411792576313,8.28630542755127,14.069181919097899,23.197710037231445,3.2973733174442894,3.1748420000076294,12.007942949980498,23.195391602814198
