completed_updates,position,current_nll,balance,objective,writer_metric_energy_L4,writer_metric_energy_L8
0,pre_update,9.027144711880632,0.0,9.027144711880632,0.0,0.0
1,pre_update,3.692461501807751,271.79844226110833,30.872305727918587,3175.3770947362673,3241.781755709483
2,pre_update,1.0560277762323198,480.4943349023049,49.10546126646281,5358.4511368350995,6790.931034566231
3,pre_update,0.39113979156628714,528.3956175881128,53.230701550377574,5623.319145395989,8587.100124173414
4,pre_update,0.16238079178328904,490.68079136752607,49.2304599285359,4987.525359293226,8948.3228864562
5,pre_update,0.08834133892186698,415.80698012750264,41.66903935167213,4031.1487288797816,8394.535324289045
6,pre_update,0.2202135689906209,334.06718608071753,33.62693217706238,3087.6361224172942,7372.073156913144
7,pre_update,0.20817590757200372,264.133386516649,26.621514559236903,2344.818222413384,6229.596159893503
8,pre_update,0.7478058987507097,213.03978669563352,22.051784568314062,1855.7174287390903,5172.16354505965
9,pre_update,1.0821851355202556,181.5214198533778,19.234327120858037,1599.1211147226973,4332.374555296997
10,pre_update,0.9995435801791599,168.3556638242654,17.835109962605703,1544.709893774557,3762.2825078375263
11,pre_update,0.7598411950921634,169.281132177358,17.687954412827963,1636.6210953456384,3436.3163702588654
12,pre_update,0.5829637588539357,179.14710744519223,18.497674503373158,1812.0597363964957,3303.9300025735843
13,pre_update,0.659579052320878,192.48841720024694,19.908420772345576,2010.9622191679723,3284.2105073018915
14,pre_update,0.24292532862245325,205.05782798845144,20.748708127467598,2185.623313838406,3318.5448056418677
15,pre_update,0.31266820910675347,214.2849050536937,21.741158714476125,2312.4426684654536,3349.5568778969214
16,pre_update,0.21449121215506534,218.86513979979068,22.101005192134135,2378.3502318413653,3352.6690022560683
17,pre_update,0.1303828311861193,218.62727040672831,21.99310987185895,2383.663726019146,3316.203879838648
18,pre_update,0.15524741780034673,213.95609859332467,21.550857277132813,2334.622312886405,3237.505693113657
19,pre_update,0.08629392868677695,205.6001571667007,20.64630964535685,2241.462029091088,3119.306307288366
20,pre_update,0.2236140831003471,195.28805550383038,19.752419633483388,2126.3442843050216,2974.0520300700728
21,pre_update,0.256528106814788,184.82447534816768,18.738975641631555,2010.7590156084657,2821.579906487878
22,pre_update,0.33114106712462277,175.96684593848846,17.92782566097347,1915.6358386200134,2681.197793103707
23,pre_update,0.20863542603147228,172.20799542267588,17.42943496829906,1877.806606568326,2611.080208213765
24,pre_update,0.2167870324390605,173.1292019633198,17.52970722877104,1892.6584689467516,2605.0735815046964
25,post_update_25,0.2722902968823751,176.60627137351227,17.9329174342336,1935.419101205599,2637.658271326962
