role,contexts,requests,weighted_value,recorded_weighted_value,mean_nll,negative_raw_value_n,value_mean,value_median,value_p90,value_max,native_same_bank_value,A0_to_native_ratio
Base,128,128,0.4031235204965924,0.4031235204965924,5.884034158774739,0,0.4031235204965924,0.1861318200826645,1.0972112655639648,2.324511766433716,0.03489512023043062,11.552432484386303
BaseAudit,128,128,0.3773718929023744,0.3773718929023744,5.809471707732882,0,0.3773718929023744,0.15618053823709488,0.8162653744220733,2.6200790405273438,NOT_RECORDED,N/A
Current,600,100,4727.240508111529,4727.240508111533,0.27229029690083206,0,4727.240508111529,3853.236079055325,10256.40697411169,21058.746898845548,NOT_RECORDED,N/A
Past,256,128,0.033725210291925455,0.03372521029192546,0.5372616213260812,0,0.03372521029192546,0.0,0.004192273141628922,1.6250819720327854,0.010382720766506535,3.248205460819009
PastAudit,256,128,0.03091828839761112,0.030918288397611137,0.5301827756995721,0,0.03091828839761112,0.0,0.00975089082702954,1.307909858226776,NOT_RECORDED,N/A
