metric,quantity,denominator,mean,median,p90,max,positive_n,zero_n,negative_n
RS,e4,100,6.911663708040141,7.064592480659485,11.272048576176168,16.5137939453125,97,0,3
RS,e8,100,4.401396217588845,4.944012442370877,13.158507763314995,19.132436633110046,72,0,28
RS,e48,100,8.520629844752184,8.473675262277538,14.098689899500462,20.460776819381863,100,0,0
RS,interaction,100,-2.792430080876802,-2.54249132797122,4.5761555749923,18.42390012741089,35,0,65
RS,marginal_L4_given_L8,100,4.119233627163339,2.2358582839369774,10.76148574203253,18.210094183683395,81,0,19
RS,marginal_L8_given_L4,100,1.6089661367120425,0.511826884932816,4.6831358743133125,13.119068622589111,98,0,2
PS,e4,200,5.0529373754584235,4.818567276000977,9.417848744988442,13.738965034484863,187,0,13
PS,e8,200,3.4285276667415747,2.6368064880371094,10.395386411994693,17.868485398590565,146,0,54
PS,e48,200,6.6060147137084275,6.403289016336203,11.79727499485016,17.854627780616283,193,0,7
PS,interaction,200,-1.87545032849157,-1.0980003587901592,3.394138979911804,14.208728171885014,73,0,127
PS,marginal_L4_given_L8,200,3.1774870469668532,1.9701978005468845,8.61662653289968,14.530480653047562,152,0,48
PS,marginal_L8_given_L4,200,1.5530773382500047,0.6865525245666504,4.204540867358444,14.260305739939213,173,0,27
