cell_id,model,writer_family,left_arm,right_arm,metric,comparison,descriptive_direction,paired_denominator,delta_mean,delta_median,delta_p90,delta_max,right_better_count,exact_equal_count,right_worse_count
0,llama3-8b-inst,MEMIT,QCL,NQFIX,rewrite_target_new_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-0.69468511475028205,-0.011324405379127711,-0.00087281246524071286,-0.00014920657849870622,100,0,0
0,llama3-8b-inst,MEMIT,QCL,NQFIX,rewrite_target_true_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,4.0341076074913147,3.0330729484558105,7.1262552738189813,16.915083754807711,0,0,100
0,llama3-8b-inst,MEMIT,QCL,NQFIX,rewrite_margin_true_minus_new,RIGHT_MINUS_LEFT,HIGHER_FAVORS_TARGET_NEW,100,4.7287927222415966,3.3113210601040919,9.7675929374876436,31.370967618844588,100,0,0
0,llama3-8b-inst,MEMIT,QCL,NQFIX,rephrase_target_new_nll_mean,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-1.5035813682186563,-0.77251909347251058,-0.011861016027978616,0.52970857918262482,93,0,7
0,llama3-8b-inst,MEMIT,QCL,NQFIX,rephrase_target_new_nll_max,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-1.7995805862196721,-0.95397043228149414,-0.017792335618287324,0.99301999807357788,93,0,7
0,llama3-8b-inst,MEMIT,QCL,NQFIX,rephrase_margin_true_minus_new_mean,RIGHT_MINUS_LEFT,HIGHER_FAVORS_TARGET_NEW,100,3.3685026395726165,2.8317427057772875,6.5611418617190802,12.405315920710564,97,0,3
0,llama3-8b-inst,MEMIT,QCL,NQFIX,locality_prediction_preservation_rate,RIGHT_MINUS_LEFT,HIGHER_IS_HIGHER,100,-0.011000000000000001,0,0,0.20000000000000007,8,76,16
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,rewrite_target_new_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,0.352408364632538,0.001998561026994139,0.15632265354506761,13.597638968101819,1,0,99
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,rewrite_target_true_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-2.3506433175876738,-1.5830516815185547,-0.69374103546142574,0.097163200378417969,99,0,1
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,rewrite_margin_true_minus_new,RIGHT_MINUS_LEFT,HIGHER_FAVORS_TARGET_NEW,100,-2.7030516822202117,-1.7251653235143749,-0.7052058800822123,0.078769137384369969,1,0,99
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,rephrase_target_new_nll_mean,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,1.0355491284617893,0.40336945839226246,3.040555530786516,7.4939469695091248,9,0,91
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,rephrase_target_new_nll_max,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,1.3005425412836484,0.49206419289112091,3.6760533690452588,6.89007568359375,11,0,89
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,rephrase_margin_true_minus_new_mean,RIGHT_MINUS_LEFT,HIGHER_FAVORS_TARGET_NEW,100,-2.2919618299940341,-1.6801888644695282,-0.41680659502744655,0.089825190603733063,3,0,97
0,llama3-8b-inst,MEMIT,NQFIX,ORBFH,locality_prediction_preservation_rate,RIGHT_MINUS_LEFT,HIGHER_IS_HIGHER,100,-0.0009999999999999998,0,0,0.30000000000000004,9,80,11
0,llama3-8b-inst,MEMIT,ORBFH,JAC,rewrite_target_new_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,0.0028757355717243627,-1.6500576748512685e-05,0.0026600648649036927,0.23419857025146484,61,0,39
0,llama3-8b-inst,MEMIT,ORBFH,JAC,rewrite_target_true_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,0.016372386701405048,0.017207622528076172,0.18234415054321293,0.57330799102783203,35,0,65
0,llama3-8b-inst,MEMIT,ORBFH,JAC,rewrite_margin_true_minus_new,RIGHT_MINUS_LEFT,HIGHER_FAVORS_TARGET_NEW,100,0.013496651129680686,0.016207384411245584,0.18763951642904447,0.736506387591362,64,0,36
0,llama3-8b-inst,MEMIT,ORBFH,JAC,rephrase_target_new_nll_mean,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-0.037522435653227146,-0.013181784888729453,0.060239115357399016,0.33037140965461731,71,0,29
0,llama3-8b-inst,MEMIT,ORBFH,JAC,rephrase_target_new_nll_max,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-0.047444528960622845,-0.024417132139205933,0.072223138809204113,0.6709446907043457,70,0,30
0,llama3-8b-inst,MEMIT,ORBFH,JAC,rephrase_margin_true_minus_new_mean,RIGHT_MINUS_LEFT,HIGHER_FAVORS_TARGET_NEW,100,0.089915284904855064,0.064994565211236477,0.31262598931789409,0.7290337085723877,69,0,31
0,llama3-8b-inst,MEMIT,ORBFH,JAC,locality_prediction_preservation_rate,RIGHT_MINUS_LEFT,HIGHER_IS_HIGHER,100,-0.004000000000000001,0,0,0.099999999999999978,3,91,6
1,llama3-8b-inst,AlphaEdit,QCL,NQFIX,rewrite_target_new_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,-0.03077205625042552,-0.00069466970307985321,-5.0838974857470007e-05,0.0062943499069660902,96,0,4
1,llama3-8b-inst,AlphaEdit,QCL,NQFIX,rewrite_target_true_nll,RIGHT_MINUS_LEFT,LOWER_IS_LOWER,100,1.4624474191665648,1.053774356842041,3.2116476058959975,6.9441432952880859,4,0,96
