cell_id,model,writer_family,arm,step_count,semantic_global_hit_step_count,semantic_request_strict_count_terminal,zero_command_step_count,potential_worsened_request_visit_count,coefficient_u_mean,coefficient_u_median,coefficient_u_p90,coefficient_u_max,coefficient_u_recorded_count,applied_update_frobenius_mean,applied_update_frobenius_median,applied_update_frobenius_p90,applied_update_frobenius_max,applied_update_frobenius_recorded_count,residual_norm_mean_before_mean,residual_norm_mean_before_median,residual_norm_mean_before_p90,residual_norm_mean_before_max,residual_norm_mean_before_recorded_count,residual_norm_mean_after_mean,residual_norm_mean_after_median,residual_norm_mean_after_p90,residual_norm_mean_after_max,residual_norm_mean_after_recorded_count,response_norm_mean_mean,response_norm_mean_median,response_norm_mean_p90,response_norm_mean_max,response_norm_mean_recorded_count,potential_before_mean,potential_before_median,potential_before_p90,potential_before_max,potential_before_recorded_count,potential_after_mean,potential_after_median,potential_after_p90,potential_after_max,potential_after_recorded_count,actual_reduction_mean,actual_reduction_median,actual_reduction_p90,actual_reduction_max,actual_reduction_recorded_count,predicted_reduction_mean,predicted_reduction_median,predicted_reduction_p90,predicted_reduction_max,predicted_reduction_recorded_count,realization_error_norm_mean_mean,realization_error_norm_mean_median,realization_error_norm_mean_p90,realization_error_norm_mean_max,realization_error_norm_mean_recorded_count,model_error_norm_mean_mean,model_error_norm_mean_median,model_error_norm_mean_p90,model_error_norm_mean_max,model_error_norm_mean_recorded_count,discretization_defect_mean,discretization_defect_median,discretization_defect_p90,discretization_defect_max,discretization_defect_recorded_count,per_request_q_res_mean_mean,per_request_q_res_mean_median,per_request_q_res_mean_p90,per_request_q_res_mean_max,per_request_q_res_mean_recorded_count,per_request_D_R0_mean_mean,per_request_D_R0_mean_median,per_request_D_R0_mean_p90,per_request_D_R0_mean_max,per_request_D_R0_mean_recorded_count,per_request_D_model_R0_mean_mean,per_request_D_model_R0_mean_median,per_request_D_model_R0_mean_p90,per_request_D_model_R0_mean_max,per_request_D_model_R0_mean_recorded_count
0,llama3-8b-inst,MEMIT,JAC,20,0,88,2,140,0.52968264236597451,0.4639950203038623,1,1,20,0.88748516272045619,0.87116516177406966,1.7794503443810707,2.3797536765057599,20,2.8199892304943184,2.5442318405598021,4.2797731478232066,4.5197796361729097,20,2.6692814026876537,2.3422799653622239,4.0093310456608924,4.4301880926818491,20,2.1588232394223184,1.7493805630346202,3.7173072044216764,5.67709334057772,20,0.21698345127341984,0.16315789372187883,0.44937021682203654,0.50000013736035887,20,0.19489958044637795,0.13780812340334175,0.3955690716080682,0.48074269507736012,20,0.02208387082704194,0.012722446800632517,0.057894192691365795,0.080673978398915047,20,0.02752723336328481,0.012979253163171478,0.073764396573194627,0.1260625291979077,20,0.29578568401062549,0.26618485583931017,0.61344662257544624,0.78401039607210632,20,0.043665523954582848,0.011339927178070969,0.11804887331885852,0.27493816290251571,20,0,0,0,0,20,0.59367887106947781,0.52180779619115192,0.88886085901824496,0.9805317688430405,20,0.0080373681988768139,0.0054084030357046762,0.020567653546282504,0.031135889358903972,18,0.00048516157168773454,1.7622040011602852e-05,0.0012768251203724751,0.0046445301863201728,18
0,llama3-8b-inst,MEMIT,NQFIX,20,0,97,0,368,1,1,1,1,20,1.5774468565301676,1.4401637271729069,2.2966030342461785,3.2747397276583246,20,2.6489912204146893,2.3791785503501197,4.0749627745297721,4.5197796361729097,20,2.4874460271053467,2.2232356306293815,3.7748368672104577,4.2875601773407377,20,,,,,0,0.19677741693827983,0.14439346727849181,0.40991915887265173,0.50000013736035887,20,0.17401363584829538,0.12632709882742121,0.35317140117711904,0.45208598908186004,20,0.022763781089984426,0.017828026577401838,0.058717649351355601,0.071689410464845199,20,,,,,0,0.6181768349133423,0.53290992139555138,1.0166414126569829,1.5586675367766554,20,,,,,0,0.0013041683939857495,0,0.005006181878768683,0.012478388182743688,20,0.55461410342350548,0.49669014260689276,0.83851742740588853,0.95040313944609989,20,0.025831539460518214,0.015206719695863475,0.053036029550037576,0.12611872820358883,20,,,,,0
0,llama3-8b-inst,MEMIT,ORBFH,20,0,88,0,119,0.56712063928765455,0.5065514090918779,1,1,20,0.86973289220247574,0.87055241294720753,1.583999018055672,2.1143831812794942,20,2.7860684640172146,2.4920235320625852,4.286450916761698,4.5197796361729097,20,2.63202846503656,2.3069984941236479,4.0280684610698074,4.4301880926818491,20,2.1405855210444651,1.7372568639850723,3.5089547423255358,5.67709334057772,20,0.21313306757722242,0.15593985517904957,0.45071029437101279,0.50000013736035887,20,0.19078474681308272,0.13316445265595017,0.39902371498456723,0.48074269507736012,20,0.02234832076413976,0.015921389427849007,0.056103949704132822,0.079935323944075654,20,0.022129770021219568,0.015748483958655083,0.05495002053691958,0.079935323833444524,20,0.30560956154038205,0.28253330539609761,0.57375531072249175,0.7150882811104734,20,0.016258525857104793,0.0054509333288196692,0.047640759329177301,0.068937255870150177,20,0,0,0,0,20,0.58513769165592888,0.51363779912079077,0.89282797580217466,0.9805317688430405,20,0.0066578979042332719,0.0041452459978933414,0.016937580746630886,0.025801666741148518,20,4.416546046246977e-05,2.070855434902159e-06,0.00013458074796122136,0.00029080196499640379,20
0,llama3-8b-inst,MEMIT,QCL,20,0,80,0,120,1,1,1,1,20,0.75557410483309428,0.63378581095443509,1.2911660088119696,1.9958922263729868,20,3.0677770202583989,2.8692357636878274,4.3445957097628938,4.5197796361729097,20,2.9287623972176107,2.6564956523704581,4.2003315454028138,4.4381584470185693,20,,,,,0,0.24928725409339653,0.20509594069958628,0.46270446935912435,0.50000013736035887,20,0.22811303739633315,0.17525159597345807,0.43297901944800093,0.48243465766300686,20,0.02117421669706333,0.01393600282511108,0.04761406752221093,0.096639882698676127,20,,,,,0,0.64175521347554321,0.63458445811462627,0.96561325645348084,1.0778181019031166,20,,,,,0,2.6223036074786431e-05,0,0,0.00052446072149572864,20,0.6504626228983138,0.59054336627090831,0.93037549694293109,0.9822595524958162,20,0.023095966644123771,0.020152794454186322,0.045978784515856234,0.057063533984005294,20,,,,,0
1,llama3-8b-inst,AlphaEdit,JAC,20,0,92,3,159,0.39454577361110321,0.28766368695385264,1,1,20,0.75707090563873658,0.5444443633607996,1.8622195680737141,3.0837206959559849,20,2.4653303411067595,2.1361654633884122,4.2797429625569734,4.5197796361729097,20,2.2862092904281521,1.8267335426642837,4.0086500315201539,4.4303469629414698,20,2.8882462710773198,2.4174353392762287,5.6303702298090039,7.8865820710168517,20,0.1799083802865053,0.11625490093707086,0.44920266180492557,0.50000013736035887,20,0.1560228428033727,0.083387083564281858,0.39508186232991055,0.48073311978027106,20,0.023885537483132598,0.0068321109613304273,0.067377415538815391,0.12810570589771406,20,0.031282912687127948,0.0069552055529832554,0.079017352842959965,0.2097450924167937,20,0.18866572730106482,0.097686191914638329,0.4701139680272301,0.64087862524594175,20,0.046822512069363179,0.0079141195349996425,0.16205824074293099,0.30971665895546868,20,0,0,0,0,20,0.50782529684455424,0.40635635627037558,0.88841537953739758,0.98052502005737285,20,0.0046298970577798903,0.0013807074594396819,0.013459283334201004,0.02135069147412557,17,0.00064080756636441161,8.7376708187752596e-06,0.0018323377146121744,0.0059494793253502386,17
1,llama3-8b-inst,AlphaEdit,NQFIX,20,0,99,0,424,1,1,1,1,20,1.5182915641427988,1.1986767535761158,2.7439685560974012,3.6232216515540805,20,2.1527577969937162,1.7273309985406451,4.0605244920059507,4.5197796361729097,20,1.9612789549429308,1.5251781065227334,3.6463309327462383,4.3190496605945183,20,,,,,0,0.15072686824805112,0.080126604852105238,0.4088342262020136,0.50000013736035887,20,0.12648292997402016,0.063840595266775407,0.33146223227561017,0.46015096448855108,20,0.024243938274030947,0.013859436563283256,0.080873456726478776,0.096292295568225716,20,,,,,0,0.54886128658777833,0.43010526194439785,1.0897793210767464,1.9945467077345831,20,,,,,0,0.0016560989283284928,0,0.0056728483485532491,0.013038304300857673,20,0.43756142410301369,0.34134419210119271,0.81079347060485607,0.95806013515314969,20,0.031812041369679349,0.015046315093117577,0.062367883850662824,0.20922884961243493,20,,,,,0
1,llama3-8b-inst,AlphaEdit,ORBFH,20,0,91,0,157,0.43080994361863761,0.3133097545182999,1,1,20,0.72468050622126134,0.59589192461327667,1.6128458969035544,2.4116387896551705,20,2.4348962845209035,2.0752777592668932,4.2864706900018739,4.5197796361729097,20,2.2535696870883668,1.7960879879249119,4.0275892960630779,4.4303469629414698,20,2.8513153282782513,2.3579282826387127,5.1610157415035083,7.8865820710168517,20,0.1768602466137203,0.10863254944926692,0.45055742447553154,0.50000013736035887,20,0.15286199014385007,0.079923768903299025,0.39857312675617462,0.48073311978027106,20,0.023998256469870204,0.010300619629742908,0.060087921072836274,0.12915317447868285,20,0.023816028676196144,0.010324388124253361,0.059952086353348824,0.12915317449402292,20,0.17418555562125304,0.11719998688699235,0.42568729329651583,0.52334959922691882,20,0.014893978366232838,0.002977139968339189,0.048021853165232387,0.081735773093997502,20,0,0,0,0,20,0.50003324702372487,0.39889761756138076,0.89242042345162576,0.98052502005737285,20,0.002950595240448241,0.00073902590784212844,0.0093132475514037302,0.014229007022395468,20,4.5908595548512803e-05,5.8500239847943349e-07,0.00013652095835603678,0.00041947587498206927,20
1,llama3-8b-inst,AlphaEdit,QCL,20,0,93,0,281,1,1,1,1,20,0.76906018312758517,0.61968167067679913,1.4064959267098645,2.5298548945257338,20,2.520160420042878,2.1906105343027278,4.2842918519757287,4.5197796361729097,20,2.3419828027536336,1.8972308992925644,4.0811380087191997,4.4110804562305681,20,,,,,0,0.18606064005880091,0.12092166106563507,0.45012603585189559,0.50000013736035887,20,0.1622122825370472,0.089298022937635085,0.40903171283504308,0.47665284231965871,20,0.0238483575217537,0.010780000789113731,0.063967680051594991,0.14132893734086302,20,,,,,0,0.47923074824245643,0.46852889078587867,0.92482864349708072,1.0789933305077488,20,,,,,0,9.2781971906338509e-05,0,0.00038689606385562805,0.00078284740525798313,20,0.51973282513494912,0.42153839563923712,0.90416688570221426,0.97634547004284622,20,0.01613965814181207,0.011031991763605553,0.042342489502905756,0.057309545828158115,20,,,,,0
2,qwen2.5-7b-inst,MEMIT,JAC,20,0,96,4,87,0.54284693604928858,0.54370195652870912,1,1,20,5.3803148676933601,4.2542287264655245,11.088195489868909,18.724459734338293,20,73.225042260482709,66.417768461737793,119.08411624684642,124.67317739463681,20,68.181883201982828,58.629771636014667,113.0091528821787,121.76710160659303,20,63.259492567166411,51.621604765808087,139.35637123655221,147.00025897079919,20,0.20143026779611878,0.14278812537570776,0.45603475051766346,0.5000001165326512,20,0.17741085681021099,0.11017657309097455,0.41051835813696341,0.47689637266684243,20,0.024019410985907798,0.013047831911265483,0.066667686420537317,0.083272230794408042,20,0.031731680531452415,0.013958537395667239,0.085417487295442018,0.16401977435068202,20,6.2591522068168794,5.8403645555680423,13.245038487186806,15.890870315892689,20,2.5664977229595296,0.63196860009797451,9.2255931281705195,13.515557172872589,20,0,0,0,0,20,0.54421898969037552,0.46618441212327105,0.90566415435119774,0.97659407366129958,20,0.0056549690589492319,0.004602396748171627,0.011757565723349756,0.016836559853170827,16,0.0018259414358259025,9.6308842771982464e-05,0.0062890261584633185,0.011942781754909393,16
2,qwen2.5-7b-inst,MEMIT,NQFIX,20,0,96,0,78,1,1,1,1,20,11.841894598684288,5.9411054712767122,31.572154315368191,70.719643543736183,20,46.284676072560998,30.612697462278355,107.29027212929721,124.67317739463681,20,40.411557846865968,26.586906667361248,91.81708150141263,116.31020838798213,20,,,,,0,0.11632515614052955,0.035382784849683067,0.37621283528355942,0.5000001165326512,20,0.091459081081411653,0.027000608952933443,0.27938897665059859,0.4367595651074957,20,0.024866075059117865,0.010428453879370862,0.068725382580585068,0.10010716023119898,20,,,,,0,8.5009511721300992,4.3212530887790122,20.430827178562044,36.827889380914435,20,,,,,0,6.537071982254065e-05,0,0,0.0013074143964508129,20,0.33349329131711763,0.22453400772245469,0.74399240517539666,0.93430946976248974,20,0.011968259310901647,0.0022074284151333431,0.030936587243218738,0.091550787974270964,20,,,,,0
