arm,provenance,batch,candidate,called,duplicate_of,finite,trust_valid,E,E_minus_RAW,D64,D64_minus_RAW,strict_count,RAW_strict_lost,feasible,selected,actual_correction_norm,reason
CAP1,SEALED_CAP1_REUSE,1,RAW,True,,True,True,0.002287666152260499,0.0,0.0015781786939896847,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,1,C1,True,,True,True,0.002287652181839803,-1.3970420696153563e-08,0.0015741323738325264,-4.046320157158334e-06,100,0,True,True,0.0006551064104241197,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,1,C05,True,,True,True,0.002287680976296542,1.482403604296384e-08,0.0015761504906208756,-2.028203368809045e-06,100,0,False,False,0.0003275575529307783,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
CAP1,SEALED_CAP1_REUSE,1,C025,True,,True,True,0.002287655268009985,-1.0884250514330701e-08,0.001577169790834887,-1.0089031547977356e-06,100,0,True,False,0.00016378736115470985,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,2,RAW,True,,True,True,0.005383443928294583,0.0,0.0036145931771329742,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,2,C1,True,,True,True,0.005383479854499456,3.5926204873006073e-08,0.0036050201345005917,-9.573042632382567e-06,100,0,False,False,0.0010418315634986369,E_EXCEEDS_OWN_RAW_NO_ALLOWANCE
CAP1,SEALED_CAP1_REUSE,2,C05,True,,True,True,0.005383432866365183,-1.1061929399390491e-08,0.003609805245048392,-4.78793208458228e-06,100,0,True,True,0.000520918549525139,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,2,C025,True,,True,True,0.005383424560423009,-1.936787157388875e-08,0.003612195420146236,-2.3977569867383863e-06,100,0,True,False,0.000260464701338507,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,3,RAW,True,,True,True,0.0015892918577446835,0.0,0.005858019608695031,0.0,100,0,True,False,0.0,FINITE_EXACT_QUALITY_FEASIBLE
CAP1,SEALED_CAP1_REUSE,3,C1,True,,True,True,0.001589285595327965,-6.2624167184409385e-09,0.005844112609565855,-1.3906999129176256e-05,100,0,True,True,0.0012853797404913196,FINITE_EXACT_QUALITY_FEASIBLE
