arm,batch,candidate,selected,beta,E,D64,actual_delta_E,actual_delta_D,firstorder_delta_E,firstorder_delta_D,current_NLL_harmed,current_NLL_improved,current_NLL_harm_mean,current_NLL_harm_median,current_NLL_harm_p90,current_NLL_harm_p95,current_NLL_harm_p99,current_NLL_harm_min,current_NLL_harm_max,feasible,strict_lost,called,duplicate_of,correction_native_percent
CAP10,1,RAW,False,0.0,0.002287666152260499,0.0015781786939896847,0.0,0.0,-0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,1,C1,False,1.0,0.0022876678057946265,0.0015387201035537146,1.6535341273299364e-09,-3.945859043597011e-05,-4.853251781641244e-11,-4.058618197508547e-05,69,22,1.6535341273993253e-09,8.899951353669167e-07,5.987519398331643e-06,7.850269321352237e-06,1.5079429140314504e-05,-0.0001770518720149994,2.3404136300086975e-05,False,0,True,,0.08608245411838517
CAP10,1,C05,True,0.5,0.0022876566738705153,0.0015581702535882869,-9.478389983910013e-09,-2.000844040139782e-05,-2.426625890820622e-11,-2.0293090987542737e-05,69,19,-9.47838998399675e-09,4.4563785195350647e-07,2.9596267268061663e-06,3.749993629753586e-06,7.42082134820523e-06,-8.840486407279968e-05,1.1585652828216553e-05,True,0,True,,0.04304123123073871
CAP10,1,C025,False,0.25,0.0022876746933616233,0.0015680976688372539,8.541101124102946e-09,-1.0081025152430811e-05,-1.213312945410311e-11,-1.0146545493771368e-05,60,16,8.54110112413764e-09,2.3783650249242783e-07,1.4382414519786845e-06,1.8260441720485664e-06,3.715624334290637e-06,-4.373118281364441e-05,6.319954991340637e-06,False,0,True,,0.021520623501074528
CAP10,2,RAW,True,0.0,0.006478211247667787,0.0035920093322943103,0.0,0.0,-0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,2,C1,False,1.0,0.006478919012733968,0.003499847706393666,7.077650661813789e-07,-9.216162590064414e-05,-3.707623649776634e-11,-9.428757248823423e-05,70,26,7.077650661813096e-07,1.0114163160324097e-06,5.852361209690573e-06,1.0392337571829554e-05,0.0005740185454487834,-0.0015264302492141724,0.001219768077135086,False,0,True,,0.13378866821513036
CAP10,2,C05,False,0.5,0.006478431519208243,0.003545390221319167,2.202715404563474e-07,-4.6619110975143485e-05,-1.853811824888317e-11,-4.7143786244117114e-05,70,26,2.2027154045645147e-07,4.7645880840718746e-07,3.1046569347381604e-06,5.142635200172661e-06,0.00028426639735698865,-0.0007681399583816528,0.0006026104092597961,False,0,True,,0.06689433802308178
CAP10,2,C025,False,0.25,0.0064783737267134715,0.003568561817189675,1.6247904568479632e-07,-2.3447515104635386e-05,-9.269059124441585e-12,-2.3571893122058557e-05,66,23,1.6247904568444938e-07,2.3821485228836536e-07,1.6653561033308505e-06,2.5207409635186183e-06,0.00014482688158750615,-0.00038000941276550293,0.0002999715507030487,False,0,True,,0.03344717419941328
CAP10,3,RAW,False,0.0,0.0020703572794081994,0.00580363768335701,0.0,0.0,0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,3,C1,False,1.0,0.0020704058144110603,0.005676265796637381,4.853500286091175e-08,-0.0001273718867196294,1.3842382807201628e-09,-0.00013009359234185318,65,29,4.8535002861171963e-08,4.760950105264783e-07,7.102312520146377e-06,1.4008069410920102e-05,3.898423165082933e-05,-0.00020522810518741608,4.2119063436985016e-05,False,0,True,,0.15810889944005063
CAP10,3,C05,True,0.5,0.0020703532515108235,0.005739249313592154,-4.027897375878664e-09,-6.438836976485618e-05,6.921191403600814e-10,-6.504679617092659e-05,60,25,-4.027897375635803e-09,2.3827305994927883e-07,3.5927630960941334e-06,7.235142402350882e-06,1.9725684542208916e-05,-0.00010365806519985199,2.088211476802826e-05,True,0,True,,0.07905445087683831
CAP10,3,C025,False,0.25,0.002070365609433793,0.005771251901535379,8.330025593784873e-09,-3.23857818216311e-05,3.460595701800407e-10,-3.2523398085463296e-05,58,21,8.330025593750178e-09,1.191874616779387e-07,1.903204247355461e-06,3.736303187906732e-06,9.865332394838338e-06,-5.188584327697754e-05,1.0678544640541077e-05,False,0,True,,0.03952722945134894
CAP10,4,RAW,True,0.0,0.0015372313489024237,0.007918550892043186,0.0,0.0,0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,4,C1,False,1.0,0.0015372781472797214,0.007724082326149073,4.679837729772325e-08,-0.00019446856589411254,1.3399181889517838e-08,-0.00020157924394856406,64,33,4.679837729781866e-08,6.546615622937679e-07,5.605118349194527e-06,7.1954913437366455e-06,1.240353565663101e-05,-8.034659549593925e-05,1.557939685881138e-05,False,0,True,,0.19685542324079253
CAP10,4,C05,False,0.5,0.0015372583670432505,0.007819581822957389,2.701814082683128e-08,-9.896906908579695e-05,6.699590944758919e-09,-0.00010078962197428203,65,30,2.7018140826839952e-08,3.573077265173197e-07,2.8565700631588697e-06,3.5978620871901497e-06,6.0835015028715215e-06,-4.046829417347908e-05,7.730210199952126e-06,False,0,True,,0.09842772078542289
CAP10,4,C025,False,0.25,0.0015372515011586073,0.007868590288865107,2.0152256183670475e-08,-4.99606031780786e-05,3.3497954723794595e-09,-5.0394810987141014e-05,65,28,2.0152256183791905e-08,2.382439561188221e-07,1.305312616750598e-06,1.7976155504584306e-06,3.1012389808893245e-06,-2.0470470190048218e-05,3.9245933294296265e-06,False,0,True,,0.04921386801014453
CAP10,5,RAW,True,0.0,0.0015875440182207968,0.009942942852717351,0.0,0.0,0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,5,C1,False,1.0,0.0015876299373121584,0.009680976509571337,8.591909136154013e-08,-0.00026196634314601397,5.0629038887552146e-08,-0.0002723041995365727,55,39,8.591909136157482e-08,3.575260052457452e-07,4.4641317799687435e-06,7.949158316478132e-06,1.840986311435704e-05,-5.8288220316171646e-05,2.7117319405078888e-05,False,0,True,,0.22634880528055631
CAP10,5,C05,False,0.5,0.0015875763080475736,0.009809359635255532,3.228982677679765e-08,-0.000133583217461819,2.5314519443776073e-08,-0.00013615209976828636,53,40,3.228982677683234e-08,2.382439561188221e-07,2.1784217096865207e-06,4.1433493606746195e-06,9.08360118046405e-06,-2.94405035674572e-05,1.3204291462898254e-05,False,0,True,,0.11317439842141258
CAP10,5,C025,False,0.25,0.001587549505456991,0.009875490357103445,5.487236194286552e-09,-6.745249561390665e-05,1.2657259721888037e-08,-6.807604988414318e-05,52,37,5.487236194312572e-09,1.1915108188986778e-07,1.1890078894793987e-06,1.7953047063201659e-06,4.42035961896182e-06,-1.483876258134842e-05,6.248243153095245e-06,False,0,True,,0.056587208400859734
CAP10,6,RAW,False,0.0,0.0018095976301265183,0.011562790848188342,0.0,0.0,0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,6,C1,False,1.0,0.001809663800377166,0.011331229249435637,6.617025064773602e-08,-0.00023156159875270532,2.2367794243234748e-08,-0.00023948237991794341,42,53,6.617025064770133e-08,-1.1919473763555288e-07,3.4746481105685357e-06,1.110089942812918e-05,9.148561628535391e-05,-0.00012574251741170883,9.297765791416168e-05,False,0,True,,0.20713144309737383
CAP10,6,C05,False,0.5,0.0018096004419930977,0.011445012719946135,2.8118665794212017e-09,-0.00011777812824220746,1.1183897121617374e-08,-0.00011974118995897171,44,52,2.8118665795773266e-09,-1.1903466656804085e-07,1.7373240552842678e-06,5.592009983956807e-06,4.498128080740572e-05,-6.357859820127487e-05,4.678219556808472e-05,False,0,True,,0.10356572191020885
CAP10,6,C025,True,0.25,0.0018095895044825739,0.01150342467997234,-8.12564394437644e-09,-5.9366168216001824e-05,5.591948560808687e-09,-5.9870594979485853e-05,38,47,-8.125643944367766e-09,0.0,8.574046660214683e-07,2.905959263443944e-06,2.2138222120702274e-05,-3.15522775053978e-05,2.345070242881775e-05,True,0,True,,0.05178286643216505
CAP10,7,RAW,True,0.0,0.005887215429429489,0.013729532730167193,0.0,0.0,0.0,-0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,True,,0.0
CAP10,7,C1,False,1.0,0.005887449678630219,0.013425317057908615,2.3424920073036176e-07,-0.0003042156722585787,6.026109230867953e-08,-0.00031203575195080024,56,40,2.342492007301189e-07,3.5754055716097355e-07,8.581718429923059e-06,1.6534316819161168e-05,4.441293422132731e-05,-0.00011149048805236816,4.575215280056e-05,False,0,True,,0.23308264858751723
