arm,batch,selected,cap_mode,cap,alpha_norm,alpha_used,cap_active,native_action_norm,C1_norm,C1_native_percent,selected_norm,selected_native_percent,ball_hit,trust_retraction,source,pre_ball_residual_norm,post_ball_mapped_norm,q_CPU,q_recorded,ge_norm,gd_norm,gradient_cos,projection_active,coefficient_CPU,ge_dot_d_CPU,gd_dot_d_CPU,ge_dot_C_CPU,gd_dot_C_CPU,ge_dot_C_recorded,gd_dot_C_recorded,C_norm,M4_norm,W4_norm,selected_reconstruction_CPU_maxabs,selected_reconstruction_CPU_unequal,reconstruction_is_GPU_parity,direction_tensor,B1_native_geometry,native_norm_CPU,selected_increment_norm,correction_native_cos,parallel_signed_norm,orthogonal_norm
CAP1,1,C1,bounded,1,2904.192466510575,1.0,True,7.610187124347208,0.0006551064104241197,0.00860828255232047,0.0006551064104241197,0.008608282552320472,0,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,2,C05,bounded,1,1851.6033246058275,1.0,True,7.71624095917973,0.0010418315634986369,0.013501801836024936,0.000520918549525139,0.006750936787496524,7,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,3,C1,bounded,1,1524.850368753875,1.0,True,7.840122727091323,0.0012853797404913196,0.016394893106069963,0.0012853797404913196,0.016394893106069963,5,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,4,C05,bounded,1,1140.1144740832901,1.0,True,7.802116174237956,0.0017108101112048987,0.021927513933384823,0.0008554073726145597,0.01096378666391889,9,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,5,RAW,bounded,1,1010.4763931757731,1.0,True,7.841175442863769,0.0019399480670622418,0.024740526228472323,0.0,0.0,12,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,6,C1,bounded,1,1164.5876959987984,1.0,True,8.225704485916186,0.0017657641080235321,0.02146641799552637,0.0017657641080235321,0.02146641799552637,19,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,7,C05,bounded,1,1099.030854485541,1.0,True,8.22710936540747,0.0018714203161901072,0.022746996947176475,0.0009357120136639726,0.011373521027912444,15,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,8,C1,bounded,1,1061.592127556691,1.0,True,8.149114993598621,0.0019190610135407207,0.02354931811673049,0.0019190610135407207,0.02354931811673049,16,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,9,C1,bounded,1,1084.5380713947648,1.0,True,8.64112691862957,0.001991877180336763,0.023051127463970433,0.0019918771803367624,0.023051127463970426,10,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP1,10,RAW,bounded,1,943.7571630157728,1.0,True,8.603390473928195,0.0022789972575143064,0.026489524849774092,0.0,0.0,18,1.0,SEALED_CAP1_SCALARS_REUSED_CP_CURRENT_ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP10,1,C05,bounded,10,2904.192466510575,10,True,7.610187124347208,0.006551035839639441,0.08608245411838517,0.0032755182372796385,0.04304123123070523,0,1.0,,0.020146012961827827,0.00655103542090795,-2.1026344278077287e-07,-2.1026344278077292e-07,0.02677068973580187,0.0020146166063791226,-0.003898628029650094,True,-0.00029338955582173317,7.326389997049924e-15,-4.058618381892126e-06,-4.8532517816624197e-11,-4.058618197508547e-05,-4.853251781641244e-11,-4.058618197508547e-05,0.020146012075781518,96.60863729893516,77.78902839996961,0.0,0,False,CPU_DERIVED_FROM_STORED_GRADIENTS_NOT_ORIGINAL_SAVED_D,RECORDED_ACTION_NORM_AND_W0_HASH; no new base-model tensor reload,,,,,
CAP10,2,RAW,bounded,10,1868.6117307699774,10,True,7.716624588635685,0.010323969268296963,0.13378866821513036,0.0,0.0,7,1.0,,0.03070637113602138,0.010323968898984317,-8.4953136252072e-06,-8.4953136252072e-06,0.20447646091731803,0.003070918170107521,-0.01352906716068642,True,-0.00020318553041250953,2.4635192201200306e-13,-9.428812283186214e-06,-3.7076236496072273e-11,-9.428757248823424e-05,-3.707623649776634e-11,-9.428757248823423e-05,0.030706277365146573,157.60813404874676,78.16581093783628,0.0,0,False,CPU_DERIVED_FROM_STORED_GRADIENTS_NOT_ORIGINAL_SAVED_D,,7.716624588663633,7.716624588663633,,0.0,0.0
