arm,provenance,batch,selected,selection_reason,raw_E,selected_E,raw_D64,selected_D64,D64_change,raw_strict,selected_strict,native_delta_norm,correction_norm,alpha,ball_projected_requests,trust_retraction,q,ge_dot_d,ge_dot_correction,gd_dot_correction,selector_arithmetic
CAP1,SEALED_CAP1_REUSE,1,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.002287666152260499,0.002287652181839803,0.0015781786939896847,0.0015741323738325264,-4.046320157158334e-06,100,100,7.610187124347208,0.0006551064104241197,1.0,0,1.0,-2.1026344278077292e-07,7.326390010284814e-15,1.1114909017907618e-11,-4.05861654645089e-06,MATCH
CAP1,SEALED_CAP1_REUSE,2,C05,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.005383443928294583,0.005383432866365183,0.0036145931771329742,0.003609805245048392,-4.78793208458228e-06,100,100,7.71624095917973,0.000520918549525139,1.0,7,1.0,-4.544465771877477e-06,-9.109286499903239e-14,2.8504075092336632e-11,-9.608080544198837e-06,MATCH
CAP1,SEALED_CAP1_REUSE,3,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0015892918577446835,0.001589285595327965,0.005858019608695031,0.005844112609565855,-1.3906999129176256e-05,100,100,7.840122727091323,0.0012853797404913196,1.0,5,1.0,-3.222131662468244e-07,-1.6813963065558159e-15,1.0184675857906382e-10,-1.3953110996159512e-05,MATCH
CAP1,SEALED_CAP1_REUSE,4,C05,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0013064281209153705,0.0013064235025740346,0.008212091013888312,0.0081996533142501,-1.2437699638212507e-05,100,100,7.802116174237956,0.0008554073726145597,1.0,9,1.0,-2.7321060240044765e-07,-2.078049571975243e-15,1.4573488710059545e-09,-2.492868844233008e-05,MATCH
CAP1,SEALED_CAP1_REUSE,5,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0015447625856904778,0.0015447625856904778,0.01030052469968723,0.01030052469968723,0.0,100,100,7.841175442863769,0.0,1.0,12,1.0,-2.2974051838559308e-07,4.847359717958568e-16,2.777843670769371e-09,-3.2422993292960424e-05,MATCH
CAP1,SEALED_CAP1_REUSE,6,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0019356130384403515,0.0019354469796962802,0.01193354528686541,0.011907817015071487,-2.572827179392334e-05,100,100,8.225704485916186,0.0017657641080235321,1.0,19,1.0,1.7034182732878657e-07,-1.7034182732878657e-07,-1.6637206464483506e-07,-2.5790628988372453e-05,MATCH
CAP1,SEALED_CAP1_REUSE,7,C05,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0028046506572900398,0.0028046471961533826,0.01397174706653459,0.013956920851796895,-1.4826214737695409e-05,100,100,8.22710936540747,0.0009357120136639726,1.0,15,1.0,-3.553634026863842e-07,6.843832660168854e-15,3.2954272325263774e-09,-2.976672995042813e-05,MATCH
CAP1,SEALED_CAP1_REUSE,8,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0016197894379729404,0.0016197758766065818,0.01587227978006922,0.015841237879158143,-3.104190091107739e-05,100,100,8.149114993598621,0.0019190610135407207,1.0,16,1.0,-2.8142681153363946e-07,3.763033580877744e-15,3.4120505142509875e-09,-3.1148630260261014e-05,MATCH
CAP1,SEALED_CAP1_REUSE,9,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0023295510291791287,0.0023295452821912475,0.01826888483219591,0.018236215508522946,-3.266932367296249e-05,100,100,8.64112691862957,0.001991877180336763,1.0,10,1.0,-2.487232220064634e-07,8.2084410449297e-15,4.198211076298501e-10,-3.26764970012461e-05,MATCH
CAP1,SEALED_CAP1_REUSE,10,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.005098930185158679,0.005098930185158679,0.02013259260866107,0.02013259260866107,0.0,100,100,8.603390473928195,0.0,1.0,18,1.0,-2.38003657843241e-06,-1.2173770546725039e-14,-8.599150954243282e-10,-4.2518763454895753e-05,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,1,C05,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.002287666152260499,0.0022876566738705153,0.0015781786939896847,0.0015581702535882869,-2.000844040139782e-05,100,100,7.610187124347208,0.003275518237282187,10,0,1.0,-2.1026344278077292e-07,7.326390010284814e-15,-4.853251781641244e-11,-4.058618197508547e-05,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,2,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.006478211247667787,0.006478211247667787,0.0035920093322943103,0.0035920093322943103,0.0,100,100,7.716624588635685,0.0,10,7,1.0,-8.4953136252072e-06,2.4635192211788217e-13,-3.707623649776634e-11,-9.428757248823423e-05,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,3,C05,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0020703572794081994,0.0020703532515108235,0.00580363768335701,0.005739249313592154,-6.438836976485618e-05,100,100,7.839326071609648,0.006197336178355828,10,4,1.0,-3.7224002659924907e-07,-1.4799179659925844e-16,1.3842382807201628e-09,-0.00013009359234185318,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,4,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0015372313489024237,0.0015372313489024237,0.007918550892043186,0.007918550892043186,0.0,100,100,7.8012798324554495,0.0,10,6,1.0,-2.3367752347855673e-07,2.0156621626104217e-15,1.3399181889517838e-08,-0.00020157924394856406,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,5,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0015875440182207968,0.0015875440182207968,0.009942942852717351,0.009942942852717351,0.0,100,100,7.840273070610601,0.0,10,11,1.0,-1.282719396598101e-07,-2.0897943935098895e-16,5.0629038887552146e-08,-0.0002723041995365727,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,6,C025,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.0018095976301265183,0.0018095895044825739,0.011562790848188342,0.01150342467997234,-5.9366168216001824e-05,100,100,8.224697732591954,0.004258984241317399,10,16,1.0,-4.6326298234394466e-07,-2.0877457503592373e-14,2.2367794243234748e-08,-0.00023948237991794341,MATCH
