arm,provenance,batch,selected,selection_reason,raw_E,selected_E,raw_D64,selected_D64,D64_change,raw_strict,selected_strict,native_delta_norm,correction_norm,alpha,ball_projected_requests,trust_retraction,q,ge_dot_d,ge_dot_correction,gd_dot_correction,selector_arithmetic
CAP10,NEW_CHAIN_CPU_REDUCTION,7,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.005887215429429489,0.005887215429429489,0.013729532730167193,0.013729532730167193,0.0,100,100,8.227050411378817,0.0,10,14,1.0,-1.5128183019623926e-06,1.3762511322079026e-14,6.026109230867953e-08,-0.00031203575195080024,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,8,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.00231291647956823,0.00231291647956823,0.015589177108495278,0.015589177108495278,0.0,100,100,8.147697871270475,0.0,10,21,1.0,-1.23126870089682e-06,-1.0060575597497829e-14,9.339290490076566e-08,-0.000331136259179026,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,9,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.01536692868996397,0.01532995969435433,0.017989235709137574,0.01768226380499982,-0.0003069719041377539,100,100,8.639424851558898,0.019451484834973862,10,11,1.0,3.7159666681764178e-06,-3.7159666681764178e-06,-3.7149722936046055e-05,-0.00031236759401637474,MATCH
CAP10,NEW_CHAIN_CPU_REDUCTION,10,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0021848248903188505,0.0021848248903188505,0.019579550061280315,0.019579550061280315,0.0,100,100,8.606133583121808,0.0,10,22,1.0,-8.631230521347212e-07,-6.578629556059289e-15,4.864454194971769e-08,-0.0003781146288323971,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,1,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.002287666152260499,0.002287666152260499,0.0015781786939896847,0.0015781786939896847,0.0,100,100,7.610187124347208,0.0,100,0,1.0,-2.1026344278077292e-07,7.326390010284814e-15,-1.7656098577366927e-11,-0.00040586184151447224,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,2,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.005103430965391453,0.005103430965391453,0.003621180711860461,0.003621180711860461,0.0,100,100,7.716314014228562,0.0,100,8,1.0,-3.708156937598473e-06,1.2231659690016154e-13,3.4071106664264653e-10,-0.0009617330609214686,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,3,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0014238031865170342,0.0014238031865170342,0.005873831461371992,0.005873831461371992,0.0,100,100,7.839900070765486,0.0,100,9,1.0,-2.9059410814214085e-07,-5.244560145155226e-15,2.5264279868727825e-07,-0.0014091715416046308,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,4,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0016058904592682667,0.0016058904592682667,0.008196801443318691,0.008196801443318691,0.0,100,100,7.801651342417564,0.0,100,16,1.0,-2.214034536432561e-07,4.493431739038908e-15,3.048836171423348e-07,-0.0022551633673577537,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,5,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.001877041876250587,0.001877041876250587,0.010280964385401603,0.010280964385401603,0.0,100,100,7.840502776601317,0.0,100,21,1.0,-1.2592218117239596e-07,-3.182279026207214e-15,5.828055530701257e-07,-0.00294450179366161,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,6,C1,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.010846324513622677,0.010554475473763886,0.01198467575545692,0.010236329708959602,-0.0017483460464973177,100,100,8.224868128074677,0.1767455690818569,100,23,1.0,3.241537347138719e-06,-3.241537347138719e-06,-0.00032008920886594095,-0.0025662174883347715,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,7,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0023996956757764564,0.0023996956757764564,0.012468838877339294,0.012468838877339294,0.0,100,100,8.227259667910388,0.0,100,16,1.0,-1.0049662725894533e-07,-9.354668331597894e-16,1.589254647168297e-07,-0.0019516220472273306,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,8,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0017409081818914275,0.0017409081818914275,0.014542293789190808,0.014542293789190808,0.0,100,100,8.148099375487519,0.0,100,21,1.0,-7.672326993335478e-08,3.879654294665578e-15,2.9830197767036987e-07,-0.0020829761216382588,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,9,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0017870783594844397,0.0017870783594844397,0.017137185207502625,0.017137185207502625,0.0,100,100,8.642458963339562,0.0,100,14,1.0,-9.27817679304227e-08,-7.034562701879355e-16,3.411839550964721e-07,-0.0025567969149997757,MATCH
CAP100,NEW_CHAIN_CPU_REDUCTION,10,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.034469664444404774,0.034469664444404774,0.019121297826131922,0.019121297826131922,0.0,99,99,8.61192305067297,0.0,100,28,1.0,-3.759798372832103e-06,1.3855073242905293e-13,-2.1576719610925086e-06,-0.003275627091516646,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,1,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.002287666152260499,0.002287666152260499,0.0015781786939896847,0.0015781786939896847,0.0,100,100,7.610187124347208,0.0,2904.192466510575,87,1.0,-2.1026344278077292e-07,7.326390010284814e-15,0.0002822590968840591,-0.011579171519884444,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,2,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.005103430965391453,0.005103430965391453,0.003621180711860461,0.003621180711860461,0.0,100,100,7.716314014228562,0.0,1850.8427457222913,98,1.0,-3.708156937598473e-06,1.2231659690016154e-13,0.0035452287180813497,-0.017410737191187492,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,3,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0014238031865170342,0.0014238031865170342,0.005873831461371992,0.005873831461371992,0.0,100,100,7.839900070765486,0.0,1517.665825993494,100,1.0,-2.9059410814214085e-07,-5.244560145155226e-15,0.0001684026216986841,-0.020952951383724102,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,4,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0016058904592682667,0.0016058904592682667,0.008196801443318691,0.008196801443318691,0.0,100,100,7.801651342417564,0.0,1200.02258192943,99,1.0,-2.214034536432561e-07,4.493431739038908e-15,0.00023930435834568253,-0.02639563728219715,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,5,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.001877041876250587,0.001877041876250587,0.010280964385401603,0.010280964385401603,0.0,100,100,7.840502776601317,0.0,1060.0392715802054,99,1.0,-1.2592218117239596e-07,-3.182279026207214e-15,0.00019357158554476883,-0.03025242192328116,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,6,C025,MIN_D_EXACT_QUALITY_FEASIBLE_CORRECTION,0.010846324513622677,0.01084410424795351,0.01198467575545692,0.008551701247483834,-0.0034329745079730856,100,100,8.224868128074677,0.5006199989034354,1163.2411925885635,99,1.0,3.241537347138719e-06,-3.241537347138719e-06,-0.002138658409656378,-0.028927041195295454,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0024906984867266147,0.0024906984867266147,0.010572975413879249,0.010572975413879249,0.0,100,100,8.226621613496514,0.0,1747.5272312902973,100,1.0,-8.614941432212272e-08,1.7029684754820394e-15,0.00019086592592220541,-0.01991178098246492,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0017596403337665834,0.0017596403337665834,0.01250692671624165,0.01250692671624165,0.0,100,100,8.148958638943391,0.0,1637.765575668171,100,1.0,-7.992299602700109e-08,-3.882480750966337e-15,0.00019435262909706,-0.021619871244659715,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.0029083975397225003,0.0029083975397225003,0.014925233161648066,0.014925233161648066,0.0,100,100,8.643975865429283,0.0,1560.654517761768,98,1.0,-2.8045405527085286e-07,5.60241830731931e-15,0.00022907038162342096,-0.024413274889943645,MATCH
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,RAW,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT,0.014797746748081408,0.014797746748081408,0.017140928392564092,0.017140928392564092,0.0,99,99,8.614272123267972,0.0,1210.9999086832192,100,1.0,-6.154667220777315e-07,-8.031422939659835e-14,0.0008076481670707099,-0.0300043988682954,MATCH
