from_batch,to_batch,W,M,P,context,RNG,ledger,exact
1,2,True,True,True,True,True,True,True
2,3,True,True,True,True,True,True,True
3,4,True,True,True,True,True,True,True
4,5,True,True,True,True,True,True,True
5,6,True,True,True,True,True,True,True
6,7,True,True,True,True,True,True,True
7,8,True,True,True,True,True,True,True
8,9,True,True,True,True,True,True,True
9,10,True,True,True,True,True,True,True
