comparison,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max,CI_low,CI_high,bootstrap_unit,bootstrap_draws,bootstrap_seed
CAP1_TO_CAP10,RS,1000,998,999,0.1,998,0,1,1,998,2,1,0,996,995,0.0034454223534685297,1.2151809642091393e-05,0.0011168093420565134,0.0024861659432644954,0.02071004899451509,-0.5592761039733887,1.8761277328012511,-0.08860823154449463,-0.044175148010253906,1.386178970336914,2.355142354965209,5.402864599227903,-10.247766494750977,9.898037910461426,0.0,0.3,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_CAP10,PS,2000,1942,1947,0.25,1936,6,11,47,1942,58,49,44,1341,1336,0.0035253726009796082,-2.8588168788701296e-05,0.4150124818086626,0.7965067386627195,2.869104242324829,-9.163447380065918,6.193293809890747,-0.03763075936213136,-0.0233001708984375,1.1992696762084967,2.0437366485595705,5.103360881805419,-9.810900688171387,9.269261837005615,-0.1,0.65,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_CAP10,NS,10000,8056,8075,0.19,7960,96,115,1829,8056,1944,112,95,1820,1803,0.01549500724429963,0.0036494098603725433,0.4603051185607911,0.7391501829028129,1.5332751107215896,-7.752527236938477,10.14872932434082,0.002077515202612267,0.007973670959472656,0.49690356254577644,0.7228467464447015,1.379544835090639,-9.104912757873535,4.701808929443359,-0.14,0.52,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_CAP100,RS,1000,998,998,0.0,997,1,1,1,998,2,2,1,996,995,0.0100155078599837,4.15785689256154e-05,0.0012145231245085598,0.0022534572286531315,0.016857172511517998,-1.7525672912597656,5.528955580666661,-0.06302487832307815,-0.008831381797790527,1.3617581367492682,2.243102741241454,4.336616497039793,-10.983160018920898,16.84013795852661,-0.3,0.3,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_CAP100,PS,2000,1942,1945,0.15,1932,10,13,45,1942,58,44,58,1341,1355,-0.00767933734475082,-4.104330582777038e-05,0.35650259852409416,0.8303996026515956,2.8342102527618405,-8.766207933425903,12.557186207966879,-0.021818269845098257,-0.023842573165893555,1.294922351837159,2.1943419456481927,5.447889161109923,-12.983651638031006,12.747002601623535,-0.3,0.65,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_CAP100,NS,10000,8056,8052,-0.04,7951,105,101,1843,8056,1944,107,90,1820,1803,0.008685572537680855,-0.004488229751586914,0.41200034618377684,0.6579399421811084,1.541599569320679,-5.027439117431641,18.00313401222229,-0.008937883780014817,-0.003471851348876953,0.47202863693237324,0.6901806354522703,1.28850588798523,-7.612832069396973,5.947702407836914,-0.36,0.26,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_NORM_ONLY,RS,1000,998,999,0.1,998,0,1,1,998,2,2,1,996,995,-0.00030939301655780584,1.6543999663554132e-05,0.001059727417305112,0.0023374969008727905,0.014661418471951036,-3.568866729736328,3.7037373799830675,-0.05205787861347198,0.014491558074951172,1.4881322860717776,2.1352234840393063,4.5675647735595675,-20.512490272521973,11.079272270202637,0.0,0.3,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_NORM_ONLY,PS,2000,1942,1938,-0.2,1926,16,12,46,1942,58,56,48,1341,1333,0.01708980573207009,-9.822321590036154e-05,0.37886768132448234,0.9546257972717284,3.2628850084543224,-11.508418321609497,12.386121831135824,-0.04226204679906368,-0.03246784210205078,1.250593423843384,2.2105803012847898,5.069608068466186,-11.511200904846191,12.704411506652832,-0.75,0.4,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP1_TO_NORM_ONLY,NS,10000,8056,8042,-0.14,7949,107,93,1851,8056,1944,97,89,1820,1812,-0.0041859472971467766,-0.0029412508010864258,0.41186506748199464,0.6293334245681759,1.3494267940521243,-6.606071949005127,8.610397934913635,-0.00877586341510032,-0.0023469924926757812,0.46604890823364264,0.6797992706298825,1.2255520343780537,-7.4536895751953125,3.1833438873291016,-0.41,0.14024999999999865,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
CAP10_TO_CAP100,RS,1000,999,998,-0.1,998,1,0,1,999,1,2,2,995,995,0.00657008550651517,1.6126956325024366e-05,0.0010728999128332365,0.0019575526472181072,0.02201106155291196,-2.2384173572063446,5.535254988819361,0.025583353221416475,-0.019084453582763672,1.530115509033203,2.678902435302734,5.580210609436032,-14.943265438079834,19.71712327003479,-0.3,0.0,REQUEST_CLUSTER_FIXED_SINGLE_ORDER_NOT_SEQUENTIAL_REPLICATION,2000,20260915
