batch,checkpoint,bytes,file_sha256,selected_keys,W_shape,M_shape,dtype,finite,W_M_hash_bridge,context_RNG_ledger,history_count,next_ordinal,selected_restore,full_model_GPU_continuation
1,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B001/checkpoint.pt,1057004325,8a84f2b8e43aed125471f4434dec819874c98678f8bcb9c6e7f486d798a3dc9f,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,1,100,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
2,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B002/checkpoint.pt,1057022629,ee86b628d1cbffb5dc4e5f97032de83617f3fa5d5313ad80504517f11e3b4138,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,2,200,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
3,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B003/checkpoint.pt,1057040997,9b0a3bc9075e9e6c7cfb42c1e6fed815566d140a89cb398b8899c6e3e756c138,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,3,300,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
4,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B004/checkpoint.pt,1057059621,db39163858708538e8fb1656c8b6c11648ac8430a533ba311f26d4dca58f92e7,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,4,400,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
5,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B005/checkpoint.pt,1057077989,1bfbc1fda6bc2bb84d72078e8757ff1bb82063783ad913303b12c1b6b5a43b34,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,5,500,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
6,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B006/checkpoint.pt,1057096549,9f1035f7411d304eba82237e03d86bd0743b4dcb4ed51701cf051c5ed10667f5,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,6,600,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
7,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B007/checkpoint.pt,1057115109,f7cf5d9dfe02302bcb5b859bf3e35bdee5ef74d98445c875a672a9779febae9e,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,7,700,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
8,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B008/checkpoint.pt,1057133605,85a606c7d0ae5a9f362a6e687502ba202537ec111b04b0d83ee47f8ad936f69a,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,8,800,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
9,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B009/checkpoint.pt,1057152101,87806185f19827cb5da81d23c4f32997a892dc5ac5bff0078921c22f330da3ad,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,9,900,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
10,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP10/attempt-v1/scientific-v1/B010/checkpoint.pt,1057170661,54c5f788dcfa942c16c02e6224ea84c5bdf80e0452b78d65db29bfa7733f3014,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,10,1000,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
