arm,provenance,batch,population,D,denominator,forwards,backwards,input_tokens,scored_tokens,teacher_reads
CAP1,SEALED_CAP1_REUSE,5,Dev128_OBSERVER,0.012101216190785635,128,128,0,32896,16384,128
CAP1,SEALED_CAP1_REUSE,10,Dev128_OBSERVER,0.026310416924388846,128,128,0,32896,16384,128
CAP10,NEW_CHAIN_CPU_REDUCTION,5,Dev128_OBSERVER,0.012053306430971134,128,128,0,32896,16384,128
CAP10,NEW_CHAIN_CPU_REDUCTION,10,Dev128_OBSERVER,0.025185776050420827,128,128,0,32896,16384,128
CAP100,NEW_CHAIN_CPU_REDUCTION,5,Dev128_OBSERVER,0.012447539023924037,128,128,0,32896,16384,128
CAP100,NEW_CHAIN_CPU_REDUCTION,10,Dev128_OBSERVER,0.026332257551985094,128,128,0,32896,16384,128
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,5,Dev128_OBSERVER,0.012447539023924037,128,128,0,32896,16384,128
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,Dev128_OBSERVER,0.026131648946829955,128,128,0,32896,16384,128
