state,panel,metric,population,field,extreme,identity,case_sha256,value,finite,identity_verified
W0,historical,RS,ALL,desired_margin,max,8a06e14a0051cb9801dec63a1440871396291fd1b884081a1d9b37a632c60dab,c655d4bbfee8bc14b6fac8b2edce698ab7d9bbb2dd50b71efddd561034e88fcf,3.4847936630249023,True,True
W0,historical,PS,ALL,new_nll,min,ab54796b301e755721341571cefa824e4f5805de74b062786aba68f072ed80f3,a11501e6e45d69a5dabb06a84de9022d24dcd9a4400fad8f518dc292188d98e4,0.5275643467903137,True,True
W0,historical,PS,ALL,new_nll,max,af4b680f0ae7ef7ed217495f8154bc7780548095a7523a86c70e0461b3ca361e,ec990f4f5504b3f027d534e7c038c6afb8567a6b6787e17d60f46edcbe66977a,18.483152389526367,True,True
W0,historical,PS,ALL,true_nll,min,0f4c6d7ecc7621411c9122f2033a0ae71d66bcdc29d7c175433ab045953b2956,4a6ab875abee1175898ce32b79cf79bb1d0340ece68fa41d7fa1d57d6ed9674b,0.01350022666156292,True,True
W0,historical,PS,ALL,true_nll,max,a45528928d49490964732f1bcbb79cc9a717b733cf9af75b738699e6b74954ec,d6ed25f6f21d5d49a589fdc41c3d244f28db0ad43a81eee528c96f329ac13b82,17.066370010375977,True,True
W0,historical,PS,ALL,desired_margin,min,0f4c6d7ecc7621411c9122f2033a0ae71d66bcdc29d7c175433ab045953b2956,4a6ab875abee1175898ce32b79cf79bb1d0340ece68fa41d7fa1d57d6ed9674b,-17.886848436668515,True,True
W0,historical,PS,ALL,desired_margin,max,ab54796b301e755721341571cefa824e4f5805de74b062786aba68f072ed80f3,a11501e6e45d69a5dabb06a84de9022d24dcd9a4400fad8f518dc292188d98e4,6.038210093975067,True,True
W0,historical,NS,ALL,new_nll,min,23bc600db97bc60092f9a647e05a2648cc0bcb6310cf1b3f9f4a1b8eacc18859,423460bac56d9233064480e4bb6f1eb6622e89dfa9f73d68f38553f39e8433ca,0.004071993753314018,True,True
W0,historical,NS,ALL,new_nll,max,388c75ef8e7b71b9cc746404f748f1143a8e735c106c28ed3ccd7b643fe1ffbe,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,26.75540542602539,True,True
W0,historical,NS,ALL,true_nll,min,224f7f43f175bd59e3996c0fae7d8d7ffda5417759d20897a8b4f95eb319bb88,ac2e0b4e3cea7d35ddde40cf69afbd45bd8534831bccebf72ea95345fdb2a524,0.0013396107824519277,True,True
W0,historical,NS,ALL,true_nll,max,27428994fa200fc7a224d69ff5230163ac92cf42912cfbba4b9210cd8a5b6d0a,7d2ff4338dd2b1262f165d644add522c0f7a540296b262236d3cac6ca4884a33,16.946914672851562,True,True
W0,historical,NS,ALL,desired_margin,min,cff586caabc391719570f8a1f1bd25bb318687c5225c64933182a6b0364cc60c,d6eb8df9d65094db47a12ff9eb7ae14647da5ccd1fea6d3709ded7f4b5d493ad,-9.999268919229507,True,True
W0,historical,NS,ALL,desired_margin,max,388c75ef8e7b71b9cc746404f748f1143a8e735c106c28ed3ccd7b643fe1ffbe,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,26.66301816701889,True,True
ENTRY,current,RS,ALL,new_nll,min,44af2a10170c9ddf2e026ee1d01598ef0fdbd80e5e12f4f7145053999e2018da,516d4a492c2de1e0641cc122a76d2806d1fbc2b55ba14ebaafe8b15dc894d495,0.40506359934806824,True,True
ENTRY,current,RS,ALL,new_nll,max,7ff424dd8f5fa62a0b053c6948785fbfb8cec132eae3623515ebc6bc4ce7d9a0,b37bb790714ec2506228a1fdb5acbcc4a1ae760226fef46d7dab2ab433a9d4b1,20.463838577270508,True,True
ENTRY,current,RS,ALL,true_nll,min,cfe13a94eedc7b6a6627f1cfccd91da8298bc5636a32add78645c90161ab01a1,32f25bd926af2edf0e24e4b28e5e1ca4553f01d7b9fcd044c1d5c7319aafc9f4,0.06109865382313728,True,True
