state,panel,metric,value,denominator,unit
N4,wiki,sequence_nll_q75,2.590317487716675,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,sequence_nll_iqr,0.607636958360672,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,sequence_nll_p90,2.9027363300323485,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,sequence_nll_p95,3.0724780797958373,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,sequence_nll_p99,3.1955070543289184,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,sequence_nll_min,0.7460881471633911,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,sequence_nll_max,3.51387357711792,128,NATS_PER_TOKEN_THEN_SEQUENCE
N4,wiki,token_weighted_nll_mean,2.280731849381626,24999,TOKEN_WEIGHTED_SEQUENCE_MEANS
S875,wiki,sequence_nll_n,128,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_mean,2.303606682922691,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_median,2.3407201766967773,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_q25,1.98275887966156,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_q75,2.591382920742035,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_iqr,0.6086240410804749,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_p90,2.902433156967163,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_p95,3.0737883210182186,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_p99,3.191930434703827,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_min,0.7458149194717407,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,sequence_nll_max,3.517979145050049,128,NATS_PER_TOKEN_THEN_SEQUENCE
S875,wiki,token_weighted_nll_mean,2.2802446498966793,24999,TOKEN_WEIGHTED_SEQUENCE_MEANS
S75,wiki,sequence_nll_n,128,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_mean,2.3034320208244026,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_median,2.340238332748413,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_q25,1.982837051153183,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_q75,2.592548906803131,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_iqr,0.6097118556499481,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_p90,2.902035284042358,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_p95,3.0741959571838375,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_p99,3.1885526823997496,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_min,0.7456053495407104,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,sequence_nll_max,3.5222575664520264,128,NATS_PER_TOKEN_THEN_SEQUENCE
S75,wiki,token_weighted_nll_mean,2.2798470571745044,24999,TOKEN_WEIGHTED_SEQUENCE_MEANS
FULL8,wiki,sequence_nll_n,128,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_mean,2.3036066782660782,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_median,2.3410959243774414,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_q25,1.9869275987148285,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_q75,2.597899913787842,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_iqr,0.6109723150730133,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_p90,2.9075178146362304,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_p95,3.0722269058227534,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_p99,3.199457941055298,128,NATS_PER_TOKEN_THEN_SEQUENCE
FULL8,wiki,sequence_nll_min,0.7435237169265747,128,NATS_PER_TOKEN_THEN_SEQUENCE
