state,panel,metric,population,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
W0,current,RS,ALL,100,100,12,0.12,0,12,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,9a4833c6c47164869d443a51825c63eca0f139605f09fbcd0781e8b68aad87a1,0,0.0,0,0.0,1,101,0.009900990099009901,18,0.18,18,0.18,21,103,0.20388349514563106
W0,current,PS,ALL,200,100,23,0.115,0,7,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,501ebae2373b5c3a15938936537b81a7abbe74dbd80d20d8ba55afb4f3a7f1eb,0,0.0,0,0.0,1,202,0.0049504950495049506,39,0.195,7,0.07,44,206,0.21359223300970873
W0,current,NS,ALL,1000,100,888,0.888,0,62,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,23a6ac76e3ae2e098cf713b156c723fb58a60533ff149258b0b8911be469124b,5,0.005,0,0.0,15,1010,0.01485148514851485,172,0.172,0,0.0,202,1030,0.19611650485436893
W0,historical,RS,ALL,128,128,12,0.09375,0,12,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,f53331f84e985f90ee876f24ddc28902eacbf5179ff227402f0961d50698cffa,1,0.0078125,1,0.0078125,1,128,0.0078125,33,0.2578125,33,0.2578125,33,128,0.2578125
W0,historical,RS,ACTIVE_TARGET,124,124,10,0.08064516129032258,0,10,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,e4ec5ea3b7e7e4e28336d881bfabbe136bccd8c81b8dc22b952dee2a8fbc317a,1,0.008064516129032258,1,0.008064516129032258,1,124,0.008064516129032258,33,0.2661290322580645,33,0.2661290322580645,33,124,0.2661290322580645
W0,historical,RS,SUPERSEDED,4,4,2,0.5,0,2,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,0de41a1d4c91be6f4500bb55048898044fb5b9bbe410b53578f0386e2b5908a0,0,0.0,0,0.0,0,4,0.0,0,0.0,0,0.0,0,4,0.0
W0,historical,PS,ALL,256,128,25,0.09765625,0,6,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,b5f5362a273b85eedf81543fd29a05b6ac98a51f8eb6dfe1a0bfe13918c61845,1,0.00390625,0,0.0,1,256,0.00390625,64,0.25,15,0.1171875,64,256,0.25
W0,historical,PS,ACTIVE_TARGET,248,124,23,0.09274193548387097,0,6,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,1b7f034be302100bcfa66aa577ecebc6be196190824a94e9298003b9f9f2e1b0,1,0.004032258064516129,0,0.0,1,248,0.004032258064516129,64,0.25806451612903225,15,0.12096774193548387,64,248,0.25806451612903225
W0,historical,PS,SUPERSEDED,8,4,2,0.25,0,0,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,f34415d25f9379bf851b4fc98579e265f356ee095a7be506f70fbfced9783dc9,0,0.0,0,0.0,0,8,0.0,0,0.0,0,0.0,0,8,0.0
W0,historical,NS,ALL,1280,128,1149,0.89765625,0,81,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,9ac968c7727f2aa6d4886b10778f6e7c7e782c6b891fda2cc6db71879ea018d1,10,0.0078125,0,0.0,10,1280,0.0078125,303,0.23671875,3,0.0234375,303,1280,0.23671875
W0,historical,NS,ACTIVE_TARGET,1240,124,1123,0.9056451612903226,0,79,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,b3589cfb4030066df12d5236041aaee85c021468f528313351108e754dff20fa,9,0.007258064516129033,0,0.0,9,1240,0.007258064516129033,303,0.24435483870967742,3,0.024193548387096774,303,1240,0.24435483870967742
W0,historical,NS,SUPERSEDED,40,4,26,0.65,0,2,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,8289615aff59e812e6214caca458046c893e400602856338cc6f9803f5fdda06,1,0.025,0,0.0,1,40,0.025,0,0.0,0,0.0,0,40,0.0
ENTRY,current,RS,ALL,100,100,30,0.3,0,30,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,7f125cb309eac2aa4d8acb40193df12c3021dfc8c535576c5c041e79e03a44b1,3,0.03,3,0.03,4,101,0.039603960396039604,7,0.07,7,0.07,9,103,0.08737864077669903
ENTRY,current,PS,ALL,200,100,53,0.265,0,21,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,b4d7780b317066f8e165cece5297d2c9c390ac527059481ebab251ec90d671d4,4,0.02,1,0.01,5,202,0.024752475247524754,17,0.085,3,0.03,22,206,0.10679611650485436
ENTRY,current,NS,ALL,1000,100,724,0.724,0,33,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,0adcfdf523863cdf36b8851108175259558082c5b67e8145048d50fa158ba1b2,46,0.046,0,0.0,56,1010,0.055445544554455446,103,0.103,0,0.0,133,1030,0.129126213592233
ENTRY,historical,RS,ALL,128,128,128,1.0,0,128,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,4a46b72e59faaabc3052c4ef7c4ce238f9c15c4d2314ff222f161101c7e47ed4,125,0.9765625,125,0.9765625,125,128,0.9765625,0,0.0,0,0.0,0,128,0.0
ENTRY,historical,RS,ACTIVE_TARGET,124,124,124,1.0,0,124,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,150786e9b79536f282a59aac9dbf153d0b81113f16bba40d37a26a340e9fc75e,123,0.9919354838709677,123,0.9919354838709677,123,124,0.9919354838709677,0,0.0,0,0.0,0,124,0.0
ENTRY,historical,RS,SUPERSEDED,4,4,4,1.0,0,4,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,d595541fc3518759793416c68e211d8383688498b8a6ce23a74c78cc703a317e,2,0.5,2,0.5,2,4,0.5,0,0.0,0,0.0,0,4,0.0
ENTRY,historical,PS,ALL,256,128,249,0.97265625,0,121,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,730dfb476befb04463fe1ed54992e23291f973cd15e53e4a1fb21808431f78e4,176,0.6875,64,0.5,176,256,0.6875,0,0.0,0,0.0,0,256,0.0
ENTRY,historical,PS,ACTIVE_TARGET,248,124,244,0.9838709677419355,0,120,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,b49383decc0244ac1944db19ee8cb06433fdda1092bcd2541a8125535d8e92a1,176,0.7096774193548387,64,0.5161290322580645,176,248,0.7096774193548387,0,0.0,0,0.0,0,248,0.0
ENTRY,historical,PS,SUPERSEDED,8,4,5,0.625,0,1,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,c7dc7e8fc447c86c76c7d67edb645c1538021107b3dcdc6054196bcc608154bc,0,0.0,0,0.0,0,8,0.0,0,0.0,0,0.0,0,8,0.0
ENTRY,historical,NS,ALL,1280,128,885,0.69140625,0,35,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,601c77fd6e9e10cf3718fdd2cc32daec9a8b521a4db4f358229a618e01fea49b,76,0.059375,0,0.0,76,1280,0.059375,155,0.12109375,0,0.0,155,1280,0.12109375
ENTRY,historical,NS,ACTIVE_TARGET,1240,124,860,0.6935483870967742,0,34,a5877f0728f82ce6c3766b9a09a6887ba7c195abf4b87c8d0f6257a5d1f4382a,ea2f189c20fcb9ca5c24c847965e792bce91f7447f3e83bcaf2b6dbf04b2b092,76,0.06129032258064516,0,0.0,76,1240,0.06129032258064516,155,0.125,0,0.0,155,1240,0.125
ENTRY,historical,NS,SUPERSEDED,40,4,25,0.625,0,1,c783b8eee87ee1f8bdc0657262a67cfe71155effba81fc0256ecd9a309a7cf8c,a2879f0737a1b7d991d75149281809215417fc40b0ef2279ff1112a0464299e0,0,0.0,0,0.0,0,40,0.0,0,0.0,0,0.0,0,40,0.0
N4,current,RS,ALL,100,100,100,1.0,0,100,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,f25c4b7fc99e44cae74e94023459c9d894a593121838ee26bb6afc7677bded7a,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,3,103,0.02912621359223301
