state,panel,metric,population,field,aggregation_unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
W0,current,RS,ALL,new_nll,PROMPT,100,11.241732957363128,11.09211015701294,8.452204465866089,14.045443058013916,5.593238592147827,16.304654312133792,17.32651672363281,19.208521308898927,2.88885498046875,19.474620819091797
W0,current,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,11.241732957363128,11.09211015701294,8.452204465866089,14.045443058013916,5.593238592147827,16.304654312133792,17.32651672363281,19.208521308898927,2.88885498046875,19.474620819091797
W0,current,RS,ALL,true_nll,PROMPT,100,4.874904799982906,4.527947902679443,1.7210404872894287,6.929975986480713,5.208935499191284,10.947201442718509,11.919894075393676,13.934454660415652,0.030132435262203217,14.372886657714844
W0,current,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,4.874904799982906,4.527947902679443,1.7210404872894287,6.929975986480713,5.208935499191284,10.947201442718509,11.919894075393676,13.934454660415652,0.030132435262203217,14.372886657714844
W0,current,RS,ALL,desired_margin,PROMPT,100,-6.3668281573802235,-6.400444149971008,-9.752329707145691,-3.1116985380649567,6.640631169080734,0.5673120498657247,2.0263422012329086,4.659451251029969,-19.340492710471153,4.874880313873291
W0,current,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,-6.3668281573802235,-6.400444149971008,-9.752329707145691,-3.1116985380649567,6.640631169080734,0.5673120498657247,2.0263422012329086,4.659451251029969,-19.340492710471153,4.874880313873291
W0,current,PS,ALL,new_nll,PROMPT,200,10.389654680490494,10.59860897064209,8.353801250457764,12.71971607208252,4.365914821624756,14.176502513885499,15.278189992904663,18.370822067260736,2.712240695953369,19.797948837280273
W0,current,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,10.389654680490494,10.52040719985962,8.638694822788239,12.507049441337585,3.868354618549347,14.016680240631104,14.39126455783844,17.287553668022163,3.0384541749954224,18.637422561645508
W0,current,PS,ALL,true_nll,PROMPT,200,4.8357819443009795,4.198382139205933,2.10300350189209,7.380491375923157,5.277487874031067,10.31320629119873,11.431196784973144,14.542870512008665,0.02423902601003647,14.774577140808105
W0,current,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,4.8357819443009795,4.010129824280739,2.48819911852479,6.8758673667907715,4.387668248265982,8.838400340080268,10.667065143585205,12.88182852745057,0.03935342654585838,14.658292293548584
W0,current,PS,ALL,desired_margin,PROMPT,200,-5.553872736189515,-5.420810952782631,-9.294972717761993,-2.374342441558838,6.9206302762031555,0.8176097869873036,2.388980960845943,5.380613026618947,-15.83889651298523,6.777425765991211
W0,current,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,-5.553872736189515,-5.259051263332367,-9.074628424830735,-2.84245228767395,6.2321761371567845,0.15151295661926362,1.511256957054136,5.172687854766848,-15.65786349773407,5.579076766967773
W0,current,NS,ALL,new_nll,PROMPT,1000,11.361978705316782,11.208077907562256,8.536255836486816,14.178375244140625,5.642119407653809,16.515522766113282,17.761508655548088,20.436280555725098,0.16010120511054993,24.71312141418457
W0,current,NS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,11.361978705316783,11.487697052955628,9.402180337905882,13.547928476333619,4.145748138427736,15.132881860733033,15.728897728919982,17.47828331375123,3.32767516374588,19.565809631347655
W0,current,NS,ALL,true_nll,PROMPT,1000,5.07017115744474,4.350452899932861,2.1363399624824524,7.427531123161316,5.2911911606788635,10.505224704742432,12.211072254180905,14.008834810256957,0.0003831844369415194,17.919025421142578
W0,current,NS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,5.07017115744474,4.636480396986007,3.2876636378467086,6.451856994628907,3.164193356782198,8.74279570579529,9.790803245306014,11.085574143409735,1.091836293041706,12.22484540939331
