state,panel,metric,rows,request_count,identity_order,raw_pair_reduction,stored_count_hash,nonfinite,duplicate
W0,current,RS,100,100,PASS,PASS,PASS,0,0
W0,current,PS,200,100,PASS,PASS,PASS,0,0
W0,current,NS,1000,100,PASS,PASS,PASS,0,0
W0,historical,RS,128,128,PASS,PASS,PASS,0,0
W0,historical,PS,256,128,PASS,PASS,PASS,0,0
W0,historical,NS,1280,128,PASS,PASS,PASS,0,0
ENTRY,current,RS,100,100,PASS,PASS,PASS,0,0
ENTRY,current,PS,200,100,PASS,PASS,PASS,0,0
ENTRY,current,NS,1000,100,PASS,PASS,PASS,0,0
ENTRY,historical,RS,128,128,PASS,PASS,PASS,0,0
ENTRY,historical,PS,256,128,PASS,PASS,PASS,0,0
ENTRY,historical,NS,1280,128,PASS,PASS,PASS,0,0
N4,current,RS,100,100,PASS,PASS,PASS,0,0
N4,current,PS,200,100,PASS,PASS,PASS,0,0
N4,current,NS,1000,100,PASS,PASS,PASS,0,0
N4,historical,RS,128,128,PASS,PASS,PASS,0,0
N4,historical,PS,256,128,PASS,PASS,PASS,0,0
N4,historical,NS,1280,128,PASS,PASS,PASS,0,0
S875,current,RS,100,100,PASS,PASS,PASS,0,0
S875,current,PS,200,100,PASS,PASS,PASS,0,0
S875,current,NS,1000,100,PASS,PASS,PASS,0,0
S875,historical,RS,128,128,PASS,PASS,PASS,0,0
S875,historical,PS,256,128,PASS,PASS,PASS,0,0
S875,historical,NS,1280,128,PASS,PASS,PASS,0,0
S75,current,RS,100,100,PASS,PASS,PASS,0,0
S75,current,PS,200,100,PASS,PASS,PASS,0,0
S75,current,NS,1000,100,PASS,PASS,PASS,0,0
S75,historical,RS,128,128,PASS,PASS,PASS,0,0
S75,historical,PS,256,128,PASS,PASS,PASS,0,0
S75,historical,NS,1280,128,PASS,PASS,PASS,0,0
FULL8,current,RS,100,100,PASS,PASS,PASS,0,0
FULL8,current,PS,200,100,PASS,PASS,PASS,0,0
FULL8,current,NS,1000,100,PASS,PASS,PASS,0,0
FULL8,historical,RS,128,128,PASS,PASS,PASS,0,0
FULL8,historical,PS,256,128,PASS,PASS,PASS,0,0
FULL8,historical,NS,1280,128,PASS,PASS,PASS,0,0
RES8,current,RS,100,100,PASS,PASS,PASS,0,0
RES8,current,PS,200,100,PASS,PASS,PASS,0,0
RES8,current,NS,1000,100,PASS,PASS,PASS,0,0
RES8,historical,RS,128,128,PASS,PASS,PASS,0,0
RES8,historical,PS,256,128,PASS,PASS,PASS,0,0
RES8,historical,NS,1280,128,PASS,PASS,PASS,0,0
REFIT4,current,RS,100,100,PASS,PASS,PASS,0,0
REFIT4,current,PS,200,100,PASS,PASS,PASS,0,0
REFIT4,current,NS,1000,100,PASS,PASS,PASS,0,0
REFIT4,historical,RS,128,128,PASS,PASS,PASS,0,0
REFIT4,historical,PS,256,128,PASS,PASS,PASS,0,0
REFIT4,historical,NS,1280,128,PASS,PASS,PASS,0,0
