fit,request_position,loss_evaluations,adam_updates
FULL8,53,1,0
FULL8,54,1,0
FULL8,55,1,0
FULL8,56,1,0
FULL8,57,1,0
FULL8,58,1,0
FULL8,59,1,0
FULL8,60,1,0
FULL8,61,1,0
FULL8,62,1,0
FULL8,63,1,0
FULL8,64,1,0
FULL8,65,1,0
FULL8,66,1,0
FULL8,67,25,24
FULL8,68,1,0
FULL8,69,1,0
FULL8,70,1,0
FULL8,71,1,0
FULL8,72,1,0
FULL8,73,1,0
FULL8,74,1,0
FULL8,75,1,0
FULL8,76,1,0
FULL8,77,1,0
FULL8,78,1,0
FULL8,79,1,0
FULL8,80,1,0
FULL8,81,1,0
FULL8,82,1,0
FULL8,83,1,0
FULL8,84,1,0
FULL8,85,1,0
FULL8,86,1,0
FULL8,87,1,0
FULL8,88,1,0
FULL8,89,1,0
FULL8,90,1,0
FULL8,91,1,0
FULL8,92,1,0
FULL8,93,1,0
FULL8,94,1,0
FULL8,95,1,0
FULL8,96,1,0
FULL8,97,1,0
FULL8,98,1,0
FULL8,99,1,0
RES8,0,1,0
RES8,1,1,0
RES8,2,25,24
RES8,3,1,0
RES8,4,1,0
RES8,5,1,0
RES8,6,25,24
RES8,7,1,0
RES8,8,1,0
RES8,9,1,0
RES8,10,1,0
RES8,11,1,0
RES8,12,1,0
RES8,13,1,0
RES8,14,1,0
RES8,15,1,0
RES8,16,1,0
RES8,17,1,0
RES8,18,1,0
RES8,19,1,0
RES8,20,25,24
RES8,21,1,0
RES8,22,25,24
RES8,23,1,0
RES8,24,1,0
RES8,25,1,0
RES8,26,1,0
RES8,27,1,0
RES8,28,1,0
RES8,29,1,0
RES8,30,1,0
RES8,31,1,0
RES8,32,25,24
RES8,33,1,0
RES8,34,1,0
RES8,35,1,0
RES8,36,1,0
RES8,37,1,0
RES8,38,1,0
RES8,39,1,0
RES8,40,1,0
RES8,41,1,0
RES8,42,1,0
RES8,43,1,0
RES8,44,1,0
RES8,45,1,0
RES8,46,1,0
RES8,47,1,0
RES8,48,1,0
RES8,49,1,0
RES8,50,1,0
RES8,51,1,0
RES8,52,1,0
RES8,53,1,0
RES8,54,1,0
RES8,55,1,0
RES8,56,1,0
RES8,57,1,0
RES8,58,1,0
RES8,59,1,0
RES8,60,1,0
RES8,61,1,0
RES8,62,1,0
RES8,63,1,0
RES8,64,1,0
RES8,65,25,24
RES8,66,1,0
RES8,67,25,24
RES8,68,1,0
RES8,69,1,0
RES8,70,1,0
RES8,71,1,0
RES8,72,1,0
RES8,73,1,0
RES8,74,1,0
RES8,75,1,0
RES8,76,1,0
RES8,77,1,0
RES8,78,1,0
RES8,79,1,0
RES8,80,1,0
RES8,81,1,0
RES8,82,1,0
RES8,83,1,0
RES8,84,1,0
RES8,85,1,0
RES8,86,1,0
RES8,87,1,0
RES8,88,1,0
RES8,89,1,0
RES8,90,1,0
RES8,91,1,0
RES8,92,1,0
RES8,93,1,0
RES8,94,25,24
RES8,95,25,24
RES8,96,1,0
RES8,97,1,0
RES8,98,1,0
RES8,99,1,0
REFIT4,0,1,0
REFIT4,1,1,0
REFIT4,2,25,24
REFIT4,3,1,0
REFIT4,4,1,0
REFIT4,5,1,0
REFIT4,6,25,24
REFIT4,7,1,0
REFIT4,8,1,0
REFIT4,9,1,0
REFIT4,10,1,0
REFIT4,11,1,0
REFIT4,12,1,0
REFIT4,13,1,0
REFIT4,14,1,0
REFIT4,15,1,0
REFIT4,16,1,0
REFIT4,17,1,0
REFIT4,18,1,0
REFIT4,19,1,0
REFIT4,20,25,24
REFIT4,21,1,0
REFIT4,22,25,24
REFIT4,23,1,0
REFIT4,24,1,0
REFIT4,25,1,0
REFIT4,26,1,0
REFIT4,27,1,0
REFIT4,28,1,0
REFIT4,29,1,0
REFIT4,30,1,0
REFIT4,31,1,0
REFIT4,32,25,24
REFIT4,33,1,0
REFIT4,34,1,0
REFIT4,35,1,0
REFIT4,36,1,0
REFIT4,37,1,0
REFIT4,38,1,0
REFIT4,39,1,0
REFIT4,40,1,0
REFIT4,41,1,0
REFIT4,42,1,0
REFIT4,43,1,0
REFIT4,44,1,0
REFIT4,45,1,0
REFIT4,46,1,0
REFIT4,47,1,0
REFIT4,48,1,0
REFIT4,49,1,0
REFIT4,50,1,0
REFIT4,51,1,0
REFIT4,52,1,0
REFIT4,53,1,0
REFIT4,54,1,0
REFIT4,55,1,0
REFIT4,56,1,0
REFIT4,57,1,0
REFIT4,58,1,0
REFIT4,59,1,0
REFIT4,60,1,0
REFIT4,61,1,0
REFIT4,62,1,0
REFIT4,63,1,0
REFIT4,64,1,0
REFIT4,65,25,24
REFIT4,66,1,0
REFIT4,67,25,24
REFIT4,68,1,0
REFIT4,69,1,0
REFIT4,70,1,0
REFIT4,71,1,0
REFIT4,72,1,0
REFIT4,73,1,0
REFIT4,74,1,0
REFIT4,75,1,0
REFIT4,76,1,0
REFIT4,77,1,0
REFIT4,78,1,0
REFIT4,79,1,0
REFIT4,80,1,0
REFIT4,81,1,0
REFIT4,82,1,0
REFIT4,83,1,0
REFIT4,84,1,0
REFIT4,85,1,0
REFIT4,86,1,0
REFIT4,87,1,0
REFIT4,88,1,0
REFIT4,89,1,0
REFIT4,90,1,0
REFIT4,91,1,0
REFIT4,92,1,0
REFIT4,93,1,0
REFIT4,94,25,24
REFIT4,95,25,24
REFIT4,96,1,0
REFIT4,97,1,0
REFIT4,98,1,0
REFIT4,99,1,0
