arm,compute_z,compute_z_seconds,compute_ks,compute_ks_seconds,solve,solve_seconds,history_append,seconds,actual_delta_norm,loss_evaluations,adam_updates
N4,100,273.090305573307,1,3.4988490445539355,1,0.17958347965031862,0,282.2609647894278,10.7440168052634,2500,2400
FULL8,100,20.936462690122426,1,3.4985421374440193,1,0.1199530940502882,0,29.743674470111728,5.214695775869617,244,144
RES8,100,27.54312888532877,1,3.4976233346387744,1,0.11983242817223072,0,36.65511925984174,6.044554162789381,316,216
REFIT4,100,28.73531248793006,1,3.5023700958117843,1,0.11981556285172701,0,37.96990618575364,3.9992305881176295,316,216
