before,after,panel,denominator,worse,better,unchanged,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max,lost,gained,retained,failed_both,prediction_changed,delta_correct
W0,N4,wiki,128,120,8,0,128,0.24403603607788682,0.18450170755386353,0.07640916109085083,0.293761670589447,0.2173525094985962,0.5969196081161497,0.7695566773414606,1.3595932888984692,-0.1589341163635254,1.5888930559158325,,,,,,
W0,N4,mmlu,32,,,,,,,,,,,,,,,5,2,17,8,10,-3
W0,S875,wiki,128,120,8,0,128,0.24376950785517693,0.18410706520080566,0.0750732421875,0.29318690299987793,0.21811366081237793,0.5965227127075194,0.7702708125114435,1.3589413356781017,-0.15672683715820312,1.591204047203064,,,,,,
W0,S875,mmlu,32,,,,,,,,,,,,,,,5,2,17,8,10,-3
W0,S75,wiki,128,120,8,0,128,0.2435948457568884,0.18286478519439697,0.0746195912361145,0.29271477460861206,0.21809518337249756,0.5961877107620238,0.7710367679595941,1.357956454753877,-0.15443801879882812,1.5935763120651245,,,,,,
W0,S75,mmlu,32,,,,,,,,,,,,,,,6,2,16,8,11,-4
W0,FULL8,wiki,128,120,8,0,128,0.24376950319856405,0.18410485982894897,0.07353448867797852,0.29639941453933716,0.22286492586135864,0.5942083597183226,0.765466427803039,1.3734587836265577,-0.16199803352355957,1.580828070640564,,,,,,
W0,FULL8,mmlu,32,,,,,,,,,,,,,,,5,2,17,8,10,-3
W0,RES8,wiki,128,120,8,0,128,0.24343124218285084,0.1854332685470581,0.07158762216567993,0.29395467042922974,0.2223670482635498,0.6069854021072387,0.7612092494964593,1.3456207299232494,-0.16499972343444824,1.5794025659561157,,,,,,
W0,RES8,mmlu,32,,,,,,,,,,,,,,,6,2,16,8,11,-4
W0,REFIT4,wiki,128,120,8,0,128,0.24403114803135395,0.1817982792854309,0.07445651292800903,0.2998150885105133,0.22535857558250427,0.6043247938156127,0.77087835073471,1.3639471578598035,-0.15274429321289062,1.588436484336853,,,,,,
W0,REFIT4,mmlu,32,,,,,,,,,,,,,,,5,2,17,8,10,-3
ENTRY,N4,wiki,128,70,58,0,128,-0.00026524579152464867,0.0010145902633666992,-0.006391942501068115,0.006852388381958008,0.013244330883026123,0.01348142623901367,0.021028560400009156,0.03282398700714112,-0.06422710418701172,0.03342580795288086,,,,,,
ENTRY,N4,mmlu,32,,,,,,,,,,,,,,,0,2,17,13,3,2
ENTRY,S875,wiki,128,69,59,0,128,-0.0005317740142345428,0.0006591677665710449,-0.0056288838386535645,0.00613778829574585,0.011766672134399414,0.01148109436035156,0.01778382658958435,0.02801629781723023,-0.05808544158935547,0.028666019439697266,,,,,,
ENTRY,S875,mmlu,32,,,,,,,,,,,,,,,0,2,17,13,3,2
