state,role,current_RS_n,current_RS_d,current_RS_rate,current_PS_n,current_PS_d,current_PS_rate,current_NS_n,current_NS_d,current_NS_rate,historical_RS_n,historical_RS_d,historical_RS_rate,historical_PS_n,historical_PS_d,historical_PS_rate,historical_NS_n,historical_NS_d,historical_NS_rate,wiki_sequence_mean_nll,wiki_sequences,wiki_predicted_tokens,mmlu_correct,mmlu_d,mmlu_wrong,mmlu_invalid,current_RS_delta_vs_N4_pp,current_PS_delta_vs_N4_pp,current_NS_delta_vs_N4_pp,historical_RS_delta_vs_N4_pp,historical_PS_delta_vs_N4_pp,historical_NS_delta_vs_N4_pp,wiki_delta_vs_N4_nats,mmlu_delta_vs_N4_count
N4,CORE_ENDPOINT,100,100,1.0,197,200,0.985,711,1000,0.711,128,128,1.0,250,256,0.9765625,883,1280,0.68984375,2.303873211145401,128,24999,19,32,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
S875,CORE_ENDPOINT,100,100,1.0,196,200,0.98,714,1000,0.714,128,128,1.0,250,256,0.9765625,883,1280,0.68984375,2.303606682922691,128,24999,19,32,13,0,0.0,-0.5000000000000004,0.30000000000000027,0.0,0.0,0.0,-0.0002665282227098942,0
S75,CORE_ENDPOINT,100,100,1.0,195,200,0.975,718,1000,0.718,128,128,1.0,250,256,0.9765625,883,1280,0.68984375,2.3034320208244026,128,24999,18,32,14,0,0.0,-1.0000000000000009,0.7000000000000006,0.0,0.0,0.0,-0.00044119032099843025,-1
FULL8,CORE_ENDPOINT,100,100,1.0,199,200,0.995,709,1000,0.709,128,128,1.0,250,256,0.9765625,888,1280,0.69375,2.3036066782660782,128,24999,19,32,13,0,0.0,1.0000000000000009,-0.20000000000000018,0.0,0.0,0.390625,-0.00026653287932276726,0
RES8,CORE_ENDPOINT,100,100,1.0,197,200,0.985,712,1000,0.712,128,128,1.0,249,256,0.97265625,885,1280,0.69140625,2.303268417250365,128,24999,18,32,14,0,0.0,0.0,0.10000000000000009,0.0,-0.390625,0.15625000000000222,-0.0006047938950359821,-1
REFIT4,CORE_ENDPOINT,100,100,1.0,197,200,0.985,716,1000,0.716,128,128,1.0,250,256,0.9765625,883,1280,0.68984375,2.303868323098868,128,24999,19,32,13,0,0.0,0.0,0.5000000000000004,0.0,0.0,0.0,-4.888046532869339e-06,0
