arm,layer,norm,share,unit,snapshot_sha256
N4,4,10.7440168052634,1.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,c942eb6d33342f9dd46e2cee7fd6382e199f00351ad87ca9810dcf581b6863f2
N4,8,0.0,0.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,c942eb6d33342f9dd46e2cee7fd6382e199f00351ad87ca9810dcf581b6863f2
S875,4,9.401014704161975,1.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,f468efbcd8c413bb1a3edb36da4da7e9e2f81e6f9d0ac623233d47519c7a8d66
S875,8,0.0,0.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,f468efbcd8c413bb1a3edb36da4da7e9e2f81e6f9d0ac623233d47519c7a8d66
S75,4,8.058012604281407,1.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,bf50027a96866cde0ba4839b2d51d79d5d77362ae0ec1445cc2422cb0ed65900
S75,8,0.0,0.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,bf50027a96866cde0ba4839b2d51d79d5d77362ae0ec1445cc2422cb0ed65900
FULL8,4,10.7440168052634,0.6732383173543319,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,f0ad3ffd4f632695ccb40a2d6d56dc9c384d0e86ad8ccd4c0cfec152a0385361
FULL8,8,5.214695775869617,0.3267616826456681,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,f0ad3ffd4f632695ccb40a2d6d56dc9c384d0e86ad8ccd4c0cfec152a0385361
RES8,4,8.058012604281407,0.5713862403471619,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,65da92573fd1a9a42d80f9240de666cc264500b24fefe69cc21c5a524b84b4c8
RES8,8,6.044554162789381,0.42861375965283816,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,65da92573fd1a9a42d80f9240de666cc264500b24fefe69cc21c5a524b84b4c8
REFIT4,4,9.285660014794022,1.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,f65e0ec549da09fadeafc96c3e74297482eaa7e8c7e958e56a86eb8ae43da49b
REFIT4,8,0.0,0.0,FROBENIUS_STORED_ENDPOINT_MINUS_COMMON_ENTRY,f65e0ec549da09fadeafc96c3e74297482eaa7e8c7e958e56a86eb8ae43da49b
