before,after,panel,metric,population,field,aggregation_unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
W0,N4,current,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,-11.215063982552456,-11.08641412644647,-13.797857814701274,-8.449632268107962,5.348225546593312,-6.85854077147087,-5.481499492703736,-3.0159871885771277,-19.472040171269327,-2.888680473290151
W0,N4,current,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,9.379182381108404,9.401035785675049,6.4674869775772095,12.649322122335434,6.1818351447582245,14.608287984132769,15.971411156654357,19.89921414971352,-4.488173484802246,20.25657033920288
W0,N4,current,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,20.594246363660858,20.810080849041697,17.06037784476939,23.881613413366722,6.821235568597331,26.919038189225834,29.049522367177993,38.11389313512482,7.058420229703188,39.05020655086264
W0,N4,current,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,-9.195234296960988,-9.103571022686083,-11.454699645692017,-7.209298450499773,4.245401195192244,-4.879745906591415,-3.968134193005972,-2.693178924322127,-18.531409855931997,-2.4646064043045044
W0,N4,current,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,5.738145048115403,5.507128268480301,2.8831889927387238,8.68866976723075,5.805480774492025,11.555775684118272,12.39537642225623,14.16576132953168,-2.547224760055542,16.131530284881592
W0,N4,current,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,14.933379345076391,14.656666597351432,10.341226022923365,18.712277606478892,8.371051583555527,23.47155090745073,25.51306404597126,28.445085789570587,4.735318899154663,28.646591258235276
W0,N4,current,NS,ALL,new_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,-2.883001164138317,-2.5691759824752807,-4.6542208507657055,-0.9424071788787842,3.7118136718869215,0.37267877101898234,0.6535206890106187,2.0178007004261027,-11.970112810283899,2.1998693466186525
W0,N4,current,NS,ALL,true_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,0.8902143776333833,0.6259801045060158,-0.623605078458786,1.7313338353298604,2.3549389137886463,4.043049797751011,5.143911589677444,6.617236668426563,-4.400704669952392,10.413343055918812
W0,N4,current,NS,ALL,desired_margin,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,100,-3.7732155417717,-2.9827441453933714,-5.702531924843788,-0.7587463022209704,4.943785622622817,0.004702325351536378,0.6681481032073496,1.260897675395013,-17.09449380710721,1.452797496318817
W0,N4,historical,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,128,-11.221181216201273,-10.532666103274096,-13.653549324953929,-8.193280691572,5.460268633381929,-6.277612318110187,-5.72123458380229,-2.920215977884943,-21.120652824640274,-0.6661275215446949
W0,N4,historical,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,128,8.54204162197766,9.416963696479797,5.148349583148956,12.017588496208191,6.869238913059235,14.176719748973845,15.15788009306416,19.692904357910162,-3.9735069274902344,23.139428436756134
W0,N4,historical,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,128,19.763222838178933,19.64339848444797,15.559087266447023,23.455927818999044,7.896840552552021,27.99221836652141,31.750878440801163,36.82126019280637,4.212572146207094,42.42578961607069
W0,N4,historical,RS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,124,-11.328404524892083,-10.811259989859536,-13.731496759457514,-8.193280691572,5.538216067885514,-6.341726268175989,-5.836064893839649,-2.896423415188331,-21.120652824640274,-0.6661275215446949
W0,N4,historical,RS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,124,8.78724282390284,9.50267669558525,5.49237996339798,12.017588496208191,6.525208532810211,14.412545239925386,15.167251711618155,19.76653587341308,-2.823556900024414,23.139428436756134
W0,N4,historical,RS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,124,20.115647348794923,19.75589327927446,15.944739352707984,23.748921162783518,7.804181810075534,28.010206495015883,31.96008544726355,36.8572236438957,4.212572146207094,42.42578961607069
W0,N4,historical,RS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,4,-7.897258646786213,-9.056872561573982,-9.537434369325638,-7.416696839034557,2.1207375302910805,-5.275334283709525,-4.561546765267851,-3.9905167505145087,-9.627530217170715,-3.847759246826172
W0,N4,historical,RS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN_PAIRED_DELTA,4,0.9408043622970581,-2.6045632362365723,-3.2136478424072266,1.5498889684677124,4.763536810874939,8.387466096878054,10.666658473014826,12.490012373924252,-3.9735069274902344,12.945850849151611
