L2_work,W0_net_squared,actual_step_norm_sum,actual_step_squared_sum,alias,arm,batch,batch_net_magnitude_share,batch_net_norm,batch_net_squared,batch_net_squared_share,endpoint_native_raw,frobenius_work,history_work,layer,materialized_nonzero,normalized_native_work,parameter_elements,provenance,raw_native_work,signed_predicted_progress,velocity_status
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,3,0.3055561550488572,7.443041486560968,55.398866570667714,0.4280411503119516,55.9785010480325,NOT_RECORDED,NOT_RECORDED,8,58720236,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,4,0.14548641683432914,3.7281398204482064,13.899026520811583,0.09721639119605094,14.028377264829878,NOT_RECORDED,NOT_RECORDED,4,58720223,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,4,0.14965061887927997,3.8348489401170998,14.706066393517244,0.10286121127451377,14.831519545580816,NOT_RECORDED,NOT_RECORDED,5,58720218,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,4,0.17491737548620478,4.48231832928431,20.09117760503809,0.14052723611370382,20.292086371649226,NOT_RECORDED,NOT_RECORDED,6,58720227,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,4,0.22531999096826902,5.773902807905437,33.33795363513829,0.23318147766798897,33.75570668711993,NOT_RECORDED,NOT_RECORDED,7,58720236,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,4,0.304625597831917,7.806136451200526,60.93576629476155,0.4262136837477425,61.78716683175075,NOT_RECORDED,NOT_RECORDED,8,58720235,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,5,0.14670670811093586,3.9881923622882596,15.905678318614408,0.09947565835728708,16.06606614299827,NOT_RECORDED,NOT_RECORDED,4,58720221,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,5,0.15081130359535977,4.0997749652383835,16.808154765595386,0.10511983378426748,16.971336363109923,NOT_RECORDED,NOT_RECORDED,5,58720215,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,5,0.17667595274891446,4.802900251980354,23.067850830472945,0.1442685814639866,23.32890650174904,NOT_RECORDED,NOT_RECORDED,6,58720230,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,5,0.22653152890014466,6.158214065398239,37.92360047526871,0.23717788383417476,38.50203823107984,NOT_RECORDED,NOT_RECORDED,7,58720233,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
