NS_den,NS_num,NS_rate,PS_den,PS_num,PS_rate,RS_den,RS_num,RS_rate,W_sha256,alias,arm,batch,request_denominator,stratum
200,148,0.74,40,37,0.925,20,20,1.0,fcaa4621b5e8d13dc02acaa711ffd35387cb615cc3b2e19b3713746961fac78e,llama3-8b-inst,L8_ONLY_NATIVE,1,20,early
600,542,0.9033333333333333,120,107,0.8916666666666667,60,60,1.0,fcaa4621b5e8d13dc02acaa711ffd35387cb615cc3b2e19b3713746961fac78e,llama3-8b-inst,L8_ONLY_NATIVE,1,60,middle
200,166,0.83,40,34,0.85,20,20,1.0,fcaa4621b5e8d13dc02acaa711ffd35387cb615cc3b2e19b3713746961fac78e,llama3-8b-inst,L8_ONLY_NATIVE,1,20,recent
1000,805,0.805,200,172,0.86,100,100,1.0,2a0340a2b0997f2933fa487615bb4a671b0397271d0cf89a5f624748b7e22164,llama3-8b-inst,L8_ONLY_NATIVE,5,100,early
3000,2286,0.762,600,545,0.9083333333333333,300,299,0.9966666666666667,2a0340a2b0997f2933fa487615bb4a671b0397271d0cf89a5f624748b7e22164,llama3-8b-inst,L8_ONLY_NATIVE,5,300,middle
1000,801,0.801,200,185,0.925,100,100,1.0,2a0340a2b0997f2933fa487615bb4a671b0397271d0cf89a5f624748b7e22164,llama3-8b-inst,L8_ONLY_NATIVE,5,100,recent
2000,1466,0.733,400,349,0.8725,200,196,0.98,d1645cffd03493f45c2f54ecc94e2b24ddee4b7ac4d782eea805cf586104bc20,llama3-8b-inst,L8_ONLY_NATIVE,10,200,early
6000,4306,0.7176666666666667,1200,1119,0.9325,600,600,1.0,d1645cffd03493f45c2f54ecc94e2b24ddee4b7ac4d782eea805cf586104bc20,llama3-8b-inst,L8_ONLY_NATIVE,10,600,middle
2000,1442,0.721,400,234,0.585,200,122,0.61,d1645cffd03493f45c2f54ecc94e2b24ddee4b7ac4d782eea805cf586104bc20,llama3-8b-inst,L8_ONLY_NATIVE,10,200,recent
200,158,0.79,40,39,0.975,20,20,1.0,3ca38ffefcb62505cf1912500387ca1f106d292255f7bc31974229f860896a28,qwen2.5-7b-inst,L8_ONLY_NATIVE,1,20,early
600,518,0.8633333333333333,120,114,0.95,60,60,1.0,3ca38ffefcb62505cf1912500387ca1f106d292255f7bc31974229f860896a28,qwen2.5-7b-inst,L8_ONLY_NATIVE,1,60,middle
200,157,0.785,40,40,1.0,20,20,1.0,3ca38ffefcb62505cf1912500387ca1f106d292255f7bc31974229f860896a28,qwen2.5-7b-inst,L8_ONLY_NATIVE,1,20,recent
1000,788,0.788,200,188,0.94,100,99,0.99,433fb6b4d75072ff8f5b6aa0162a55412ee90062406c7838184c1fbc8af7b3e8,qwen2.5-7b-inst,L8_ONLY_NATIVE,5,100,early
3000,2292,0.764,600,585,0.975,300,300,1.0,433fb6b4d75072ff8f5b6aa0162a55412ee90062406c7838184c1fbc8af7b3e8,qwen2.5-7b-inst,L8_ONLY_NATIVE,5,300,middle
1000,796,0.796,200,198,0.99,100,100,1.0,433fb6b4d75072ff8f5b6aa0162a55412ee90062406c7838184c1fbc8af7b3e8,qwen2.5-7b-inst,L8_ONLY_NATIVE,5,100,recent
2000,1541,0.7705,400,376,0.94,200,197,0.985,7c19d9f227b5b849cdc3c8406125fbe2d00ddf49fff03363d2ca1c3abd7363ec,qwen2.5-7b-inst,L8_ONLY_NATIVE,10,200,early
6000,4319,0.7198333333333333,1200,1168,0.9733333333333334,600,599,0.9983333333333333,7c19d9f227b5b849cdc3c8406125fbe2d00ddf49fff03363d2ca1c3abd7363ec,qwen2.5-7b-inst,L8_ONLY_NATIVE,10,600,middle
2000,1475,0.7375,400,390,0.975,200,199,0.995,7c19d9f227b5b849cdc3c8406125fbe2d00ddf49fff03363d2ca1c3abd7363ec,qwen2.5-7b-inst,L8_ONLY_NATIVE,10,200,recent
