W_sha256,age,alias,arm,at_write_success,at_write_success_now_failure,batch,canonical_denominator,cohort,current_success,forgetting_conditional_denominator,initially_failed,margin_mean,nonoverwrite_forgetting_den,nonoverwrite_forgetting_num,overwrite_candidate_count,prior_failure_denominator,prior_failure_now_recovery
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,7,llama3-8b-inst,O_NATIVE,100,0,8,100,1,100,100,0,12.982631626450603,99,0,1,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,6,llama3-8b-inst,O_NATIVE,100,0,8,100,2,100,100,0,14.205117035578114,100,0,0,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,5,llama3-8b-inst,O_NATIVE,100,0,8,100,3,100,100,0,14.362673869054706,100,0,0,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,4,llama3-8b-inst,O_NATIVE,100,0,8,100,4,100,100,0,14.63936207818755,100,0,0,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,3,llama3-8b-inst,O_NATIVE,100,0,8,100,5,100,100,0,14.019232739886338,100,0,0,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,2,llama3-8b-inst,O_NATIVE,100,0,8,100,6,100,100,0,14.686936706452544,100,0,0,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,1,llama3-8b-inst,O_NATIVE,100,0,8,100,7,100,100,0,14.603546722662614,100,0,0,0,0
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,0,llama3-8b-inst,O_NATIVE,100,0,8,100,8,100,100,0,14.68890384875729,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,8,llama3-8b-inst,O_NATIVE,100,0,9,100,1,100,100,0,12.843038196618872,99,0,1,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,7,llama3-8b-inst,O_NATIVE,100,0,9,100,2,100,100,0,14.040687392594892,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,6,llama3-8b-inst,O_NATIVE,100,0,9,100,3,100,100,0,14.19288270472578,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,5,llama3-8b-inst,O_NATIVE,100,0,9,100,4,100,100,0,14.511993921483409,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,4,llama3-8b-inst,O_NATIVE,100,0,9,100,5,100,100,0,14.002759923202829,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,3,llama3-8b-inst,O_NATIVE,100,0,9,100,6,100,100,0,14.586330757292016,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,2,llama3-8b-inst,O_NATIVE,100,0,9,100,7,100,100,0,14.4726039758779,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,1,llama3-8b-inst,O_NATIVE,100,0,9,100,8,100,100,0,14.443811149831017,100,0,0,0,0
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,0,llama3-8b-inst,O_NATIVE,100,0,9,100,9,100,100,0,14.68604831189121,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,9,llama3-8b-inst,O_NATIVE,100,0,10,100,1,100,100,0,12.64209428925693,99,0,1,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,8,llama3-8b-inst,O_NATIVE,100,0,10,100,2,100,100,0,13.896283607477754,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,7,llama3-8b-inst,O_NATIVE,100,0,10,100,3,100,100,0,13.976988028941014,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,6,llama3-8b-inst,O_NATIVE,100,0,10,100,4,100,100,0,14.451465671921579,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,5,llama3-8b-inst,O_NATIVE,100,0,10,100,5,100,100,0,14.010161116063173,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,4,llama3-8b-inst,O_NATIVE,100,0,10,100,6,100,100,0,14.630067635812738,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,3,llama3-8b-inst,O_NATIVE,100,0,10,100,7,100,100,0,14.46080038781347,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,2,llama3-8b-inst,O_NATIVE,100,0,10,100,8,100,100,0,14.454598817172773,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,1,llama3-8b-inst,O_NATIVE,100,0,10,100,9,100,100,0,14.671794829954742,100,0,0,0,0
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,0,llama3-8b-inst,O_NATIVE,100,0,10,100,10,100,100,0,14.499163455064263,100,0,0,0,0
