arm,layer,batches,mean_magnitude,sum_batch_magnitude,mean_share,B1_norm,B10_norm
BLUE,4,10,8.06512190658697,80.6512190658697,0.8619533296297233,7.610187124377856,8.60529290410992
BLUE,8,10,1.4013759588382857,14.01375958838286,0.13804667037027668,1.2020920858240738,2.67837699739241
BLUE_L4_ONLY,4,10,8.066456724894689,80.66456724894688,1.0,7.610187124377856,8.610270136011922
BLUE_L8_ONLY,8,10,15.647378784521635,156.47378784521635,1.0,12.742739723724366,17.461482253549864
JVP,4,10,0.0009249158669334349,0.009249158669334349,6.428444734811811e-05,0.0021800111100297812,0.0
JVP,5,10,0.006086115320708701,0.06086115320708702,0.00039897743886113885,0.012455504365450782,0.0
JVP,6,10,0.0345379178285468,0.3453791782854681,0.0022512542825403785,0.02860455897479167,0.0
JVP,7,10,0.3509157689829347,3.5091576898293466,0.12201575053801161,0.35265823256896545,5.2119674794108354e-05
JVP,8,10,13.466687593491438,134.66687593491437,0.8752697332932386,12.180146781665787,4.901014871732366e-07
JVP_L8,4,10,0.0,0.0,0.0,0.0,0.0
JVP_L8,5,10,0.0,0.0,0.0,0.0,0.0
JVP_L8,6,10,0.0,0.0,0.0,0.0,0.0
JVP_L8,7,10,0.0,0.0,0.0,0.0,0.0
JVP_L8,8,10,13.80826470873372,138.08264708733722,1.0,12.494100617745293,7.909960495106204e-06
O_NATIVE,4,10,3.9852719731526305,39.85271973152631,0.146349086148646,2.98738610107609,4.6865546382087615
O_NATIVE,5,10,4.118407020257122,41.18407020257122,0.15126741255462017,3.097180518495398,4.86597192940702
O_NATIVE,6,10,4.78853032175333,47.885303217533306,0.17599773231502197,3.623291902045085,5.639009484406904
O_NATIVE,7,10,6.140531257200546,61.40531257200546,0.22603326217259845,4.759758168272855,7.087892762499114
O_NATIVE,8,10,8.133455730994191,81.33455730994193,0.3003525068091134,6.623537323969705,9.176594162300434
