arm,scope,request_count,RS_num,RS_den,RS_rate,RS_final_num,RS_final_minus_online_pp,PS_num,PS_den,PS_rate,PS_final_num,PS_final_minus_online_pp,NS_num,NS_den,NS_rate,NS_final_num,NS_final_minus_online_pp
BLUE,ONLINE_OWN_BATCH_POOL_DIFFERENT_W_PER_COHORT,1000,1000,1000,1.0,997,-0.30000000000000027,1936,2000,0.968,1939,0.15000000000000568,8340,10000,0.834,8057,-2.829999999999999
BLUE_L4_ONLY,ONLINE_OWN_BATCH_POOL_DIFFERENT_W_PER_COHORT,1000,999,1000,0.999,998,-0.10000000000000009,1935,2000,0.9675,1943,0.40000000000000036,8366,10000,0.8366,8072,-2.939999999999998
BLUE_L8_ONLY,ONLINE_OWN_BATCH_POOL_DIFFERENT_W_PER_COHORT,1000,1000,1000,1.0,996,-0.40000000000000036,1858,2000,0.929,1837,-1.0500000000000065,7618,10000,0.7618,6936,-6.820000000000004
JVP,ONLINE_OWN_BATCH_POOL_DIFFERENT_W_PER_COHORT,1000,925,1000,0.925,923,-0.20000000000000018,1715,2000,0.8575,1690,-1.2500000000000067,7788,10000,0.7788,7259,-5.290000000000006
JVP_L8,ONLINE_OWN_BATCH_POOL_DIFFERENT_W_PER_COHORT,1000,922,1000,0.922,918,-0.40000000000000036,1711,2000,0.8555,1702,-0.45000000000000595,7755,10000,0.7755,7214,-5.409999999999993
O_NATIVE,ONLINE_OWN_BATCH_POOL_DIFFERENT_W_PER_COHORT,1000,1000,1000,1.0,1000,0.0,1926,2000,0.963,1910,-0.8000000000000007,8064,10000,0.8064,7584,-4.800000000000004
