arm,scope,batch,category,quantity,n,mean,median,q25,q75,p90,max
BLUE,final,10,rewrite,new,1000,0.04635484112659833,0.0012496646959334612,0.0005661732429871336,0.0024874837836250663,0.004786497633904219,20.734928131103516
BLUE,final,10,rewrite,true,1000,14.51155035161972,14.463168144226074,11.514350891113281,17.25280523300171,19.630774688720706,28.9539794921875
BLUE,final,10,rewrite,margin,1000,14.465195510493123,14.457345320552122,11.486409942386672,17.236800102866255,19.63032054512587,28.95350765393232
BLUE,final,10,rephrase,new,2000,1.5275426892170636,0.300677090883255,0.0313324760645628,2.192783296108246,5.0635545730590845,16.637474060058594
BLUE,final,10,rephrase,true,2000,10.143880024138838,10.02944564819336,7.46662962436676,12.60116982460022,15.048765563964844,24.80020523071289
BLUE,final,10,rephrase,margin,2000,8.616337334921775,8.568411476910114,5.624834580346942,11.552091328427196,14.422145252896009,24.77887685596943
BLUE,final,10,locality,new,10000,9.266179020602484,9.278098106384277,6.66575825214386,11.885095119476318,14.1648907661438,25.826013565063477
BLUE,final,10,locality,true,10000,5.3222279921894255,4.836704254150391,2.2640098333358765,7.8410564661026,10.585048389434816,23.335926055908203
BLUE,final,10,locality,margin,10000,3.9439510284130592,3.968430519104004,0.8877399563789368,7.230929315090179,10.017618131637573,19.830754727125168
BLUE_L4_ONLY,final,10,rewrite,new,1000,0.03190484238398858,0.0011623300379142165,0.0005652796535287052,0.0024444659939035773,0.0047913619317114355,6.699726104736328
BLUE_L4_ONLY,final,10,rewrite,true,1000,14.5287674780488,14.464827537536621,11.471707105636597,17.35404920578003,19.658075523376468,26.546348571777344
BLUE_L4_ONLY,final,10,rewrite,margin,1000,14.496862635664813,14.463486472493969,11.46943299769191,17.351923343667295,19.655976701955662,26.546184434060706
BLUE_L4_ONLY,final,10,rephrase,new,2000,1.5436600844235435,0.2932027131319046,0.032884206622838974,2.190306842327118,5.099089813232425,16.152999877929688
BLUE_L4_ONLY,final,10,rephrase,true,2000,10.181154037229717,9.962728500366211,7.5213282108306885,12.663310050964355,15.278726863861088,24.812040328979492
BLUE_L4_ONLY,final,10,rephrase,margin,2000,8.637493952806173,8.574429869651794,5.515086233615875,11.604466028511524,14.518855395559513,24.81083025271073
BLUE_L4_ONLY,final,10,locality,new,10000,9.272972217135653,9.268556594848633,6.666858434677124,11.859884977340698,14.15629224777222,24.581514358520508
BLUE_L4_ONLY,final,10,locality,true,10000,5.302156480057764,4.844059705734253,2.2149893045425415,7.80022394657135,10.575891685485841,23.419189453125
BLUE_L4_ONLY,final,10,locality,margin,10000,3.970815737077887,3.975939393043518,0.885608434677124,7.260720141232014,10.056025671958924,19.29912868514657
BLUE_L8_ONLY,final,10,rewrite,new,1000,0.05408428771876061,0.0018942285678349435,0.0008360227948287502,0.004545741248875856,0.014546296466141943,7.626430511474609
BLUE_L8_ONLY,final,10,rewrite,true,1000,13.435196080446243,13.219358921051025,10.691988706588745,16.167344093322754,18.710348701477052,27.365610122680664
BLUE_L8_ONLY,final,10,rewrite,margin,1000,13.381111792727483,13.211967265000567,10.678724452503957,16.16664050197869,18.708892356813884,27.36546886965516
BLUE_L8_ONLY,final,10,rephrase,new,2000,1.7919699979023498,0.38497261703014374,0.03252727072685957,2.6194523572921753,5.882582712173465,19.5980167388916
BLUE_L8_ONLY,final,10,rephrase,true,2000,9.037277550064028,8.864741325378418,6.454633474349976,11.62699842453003,14.073441886901858,23.924041748046875
BLUE_L8_ONLY,final,10,rephrase,margin,2000,7.245307552161678,7.318950828164816,3.922733534127474,10.643834265880287,13.817399499751629,23.91988023975864
BLUE_L8_ONLY,final,10,locality,new,10000,8.045096618525475,8.036502361297607,5.220155596733093,10.816602230072021,13.283737754821777,24.68258285522461
BLUE_L8_ONLY,final,10,locality,true,10000,5.65373265978052,5.252110004425049,2.6195285320281982,8.20731520652771,10.757169246673586,22.66253662109375
BLUE_L8_ONLY,final,10,locality,margin,10000,2.3913639587449564,2.455976963043213,-0.7692263126373291,5.754154443740845,8.637032926082613,21.96681261062622
JVP_L8,final,10,rewrite,new,1000,0.9086904149453039,0.002256349427625537,0.000955214723944664,0.0065877524903044105,2.0676411390304676,19.462841033935547
JVP_L8,final,10,rewrite,true,1000,12.476296003329567,12.545708656311035,9.696224927902222,15.605445146560669,18.357528495788575,27.041236877441406
JVP_L8,final,10,rewrite,margin,1000,11.567605588384264,12.439566112239845,9.582644330410403,15.599343234789558,18.356957592099207,27.04112399261794
JVP_L8,final,10,rephrase,new,2000,2.5148801534654086,0.6681797206401825,0.04950784146785736,3.8642367720603943,8.024741363525392,22.7352294921875
JVP_L8,final,10,rephrase,true,2000,8.600962261243257,8.441243648529053,5.790804743766785,11.16323971748352,14.007232093811039,24.025766372680664
JVP_L8,final,10,rephrase,margin,2000,6.086082107777849,6.569868471473455,2.5379440784454346,10.042845054063946,13.287051452882592,24.022670892532915
JVP_L8,final,10,locality,new,10000,8.308193355519677,8.266045093536377,5.598209619522095,11.068476438522339,13.511051654815674,26.159156799316406
JVP_L8,final,10,locality,true,10000,5.475739760326023,5.046898365020752,2.4114348888397217,7.94122838973999,10.605499458312988,20.014728546142578
JVP_L8,final,10,locality,margin,10000,2.832453595193653,2.8132476806640625,-0.43991875648498535,6.157910883426666,9.120330452919008,19.810160875320435
O_NATIVE,final,10,rewrite,new,1000,0.031701463036638414,0.0012494265683926642,,,0.0072453836910426625,11.816629409790039
O_NATIVE,final,10,rewrite,true,1000,14.201043246984481,13.994935989379883,,,19.626919174194338,27.83514404296875
O_NATIVE,final,10,rewrite,margin,1000,14.169341783947843,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,,,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
O_NATIVE,final,10,rephrase,new,2000,1.3579957188671614,0.1722850427031517,,,4.79452786445618,15.362716674804688
O_NATIVE,final,10,rephrase,true,2000,9.999398274952545,9.964792251586914,,,15.146530914306641,25.22059440612793
O_NATIVE,final,10,rephrase,margin,2000,8.641402556085383,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,,,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
O_NATIVE,final,10,locality,new,10000,8.428053057450006,8.494887351989746,,,13.614251995086672,24.01744842529297
O_NATIVE,final,10,locality,true,10000,5.026848802362935,4.4990410804748535,,,10.203434562683107,24.019271850585938
O_NATIVE,final,10,locality,margin,10000,3.4012042550870705,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,,,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
JVP,final,10,rewrite,new,1000,0.8937130187188086,0.0022973224986344576,,,1.2863426327705403,20.85807991027832
JVP,final,10,rewrite,true,1000,12.481716502669267,12.50518798828125,,,18.58857707977295,26.338279724121094
JVP,final,10,rewrite,margin,1000,11.588003483950459,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,,,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
JVP,final,10,rephrase,new,2000,2.5476444161147356,0.7576643824577332,,,7.986993551254273,22.70987892150879
JVP,final,10,rephrase,true,2000,8.474601420586929,8.323457717895508,,,13.649849510192873,24.671646118164062
JVP,final,10,rephrase,margin,2000,5.926957004472193,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,,,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
JVP,final,10,locality,new,10000,8.341745316300102,8.28245496749878,,,13.539870643615723,24.453927993774414
JVP,final,10,locality,true,10000,5.455995907776488,5.004107236862183,,,10.593186187744143,20.521289825439453
JVP,final,10,locality,margin,10000,2.8857494085236137,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,,,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
O_NATIVE,current,1,rewrite,new,100,0.0019451736112387152,0.0008131534559652209,NOT_AVAILABLE,NOT_AVAILABLE,0.0038690073182806426,0.025194305926561356
O_NATIVE,current,1,rewrite,true,100,14.405840878486634,14.268362045288086,NOT_AVAILABLE,NOT_AVAILABLE,19.34817409515381,22.148353576660156
O_NATIVE,current,1,rewrite,margin,100,14.403895704875396,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
O_NATIVE,current,1,rephrase,new,200,1.5665824408517801,0.2695544809103012,NOT_AVAILABLE,NOT_AVAILABLE,5.336558628082275,12.689929962158203
O_NATIVE,current,1,rephrase,true,200,9.245374298095703,9.064300060272217,NOT_AVAILABLE,NOT_AVAILABLE,14.265041923522947,20.324710845947266
O_NATIVE,current,1,rephrase,margin,200,7.678791857243922,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
O_NATIVE,current,1,locality,new,1000,10.976382461061585,11.021828651428223,NOT_AVAILABLE,NOT_AVAILABLE,15.873006629943848,23.806610107421875
O_NATIVE,current,1,locality,true,1000,5.304770715531369,5.014046669006348,NOT_AVAILABLE,NOT_AVAILABLE,10.299618244171143,17.697004318237305
O_NATIVE,current,1,locality,margin,1000,5.671611745530216,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS
