arm,batch,W_M_chain,history_append,compute_z,solve_count,expected_native_solves,key_calls,eval_endpoint_exact,nonfinite,request_count,nonedited_identity_exact,nonedited_full_bytes,recorded_P_index,actual_P_indices,P_tensor_hash,P_metadata_status,pre_gate
BLUE,1,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,2,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,3,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,4,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,5,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,6,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,7,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,8,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,9,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE,10,True,1,200,NOT_RECORDED_COUNTER_SOURCE_HAS_ONE_PER_LAYER,2,4,True,0,100,SOURCE_SELECTED_WEIGHTS_ONLY,NOT_RECORDED,NOT_RECORDED,"[0, 4]",b92ed276aff8cbd2f21aa76d6f3ac11ba6534fa2ff3305be3d0592c9d272aabb,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L4_ONLY,1,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,2,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,3,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,4,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,5,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,6,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,7,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,8,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,9,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L4_ONLY,10,True,1,100,1,1,2,True,0,100,True,False,4,[0],8c50a474f01a28afbe52f3212e79da3dc4a22f5c753a53dedc3d31ed10c2ec68,METADATA_ERROR_ONLY_ACTUAL_P0_HASH_MATCH,SKIPPED_USER_DIRECTED
BLUE_L8_ONLY,1,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,2,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,3,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,4,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,5,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,6,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,7,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,8,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,9,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
BLUE_L8_ONLY,10,True,1,100,1,1,2,True,0,100,True,False,4,[4],d686063cec02f7fe0fa872d1fe72e0779f8d80b1a1c044e803ff64d15670f09b,CONSISTENT,PRIOR_SMOKE_RECEIPT
