alias,all_denominator,arm,at_write_success,at_write_success_to_final_failure,conditional_failure_denominator,final_RS,initial_failure_denominator,initially_failed,initially_failed_to_final_recovery,nonoverwrite_failure,nonoverwrite_success_den,overwrite_candidates,previous_checkpoint_failure_to_recovery
llama3-8b-inst,1000,O_NATIVE,1000,0,1000,1000,0,0,0,0,999,1,0
llama3-8b-inst,1000,JVP,925,2,925,923,75,75,0,1,924,1,0
llama3-8b-inst,1000,JVP_L8,922,4,922,918,78,78,0,3,921,1,0
,1000,BLUE,1000,3,,997,,0,0,,,1,
,1000,BLUE_L4_ONLY,999,1,,998,,1,0,,,1,
,1000,BLUE_L8_ONLY,1000,4,,996,,0,0,,,1,
