arm,batch,scope,request_count,evidence,RS_num,RS_den,RS_rate,RS_bit_order_sha256,RS_strict_num,RS_strict_den,rewrite_margin_n,rewrite_margin_mean,rewrite_margin_median,rewrite_margin_q25,rewrite_margin_q75,rewrite_margin_p90,rewrite_margin_max,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_new_row_count,rewrite_target_new_all_tokens_correct_count,rewrite_target_new_correct_token_count,rewrite_target_new_target_token_denominator,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_target_true_row_count,rewrite_target_true_all_tokens_correct_count,rewrite_target_true_correct_token_count,rewrite_target_true_target_token_denominator,PS_num,PS_den,PS_rate,PS_bit_order_sha256,PS_strict_num,PS_strict_den,rephrase_margin_n,rephrase_margin_mean,rephrase_margin_median,rephrase_margin_q25,rephrase_margin_q75,rephrase_margin_p90,rephrase_margin_max,rephrase_target_new_nll_n,rephrase_target_new_nll_mean,rephrase_target_new_nll_median,rephrase_target_new_nll_q25,rephrase_target_new_nll_q75,rephrase_target_new_nll_p90,rephrase_target_new_nll_max,rephrase_target_new_row_count,rephrase_target_new_all_tokens_correct_count,rephrase_target_new_correct_token_count,rephrase_target_new_target_token_denominator,rephrase_target_true_nll_n,rephrase_target_true_nll_mean,rephrase_target_true_nll_median,rephrase_target_true_nll_q25,rephrase_target_true_nll_q75,rephrase_target_true_nll_p90,rephrase_target_true_nll_max,rephrase_target_true_row_count,rephrase_target_true_all_tokens_correct_count,rephrase_target_true_correct_token_count,rephrase_target_true_target_token_denominator,NS_num,NS_den,NS_rate,NS_bit_order_sha256,NS_strict_num,NS_strict_den,locality_margin_n,locality_margin_mean,locality_margin_median,locality_margin_q25,locality_margin_q75,locality_margin_p90,locality_margin_max,locality_target_new_nll_n,locality_target_new_nll_mean,locality_target_new_nll_median,locality_target_new_nll_q25,locality_target_new_nll_q75,locality_target_new_nll_p90,locality_target_new_nll_max,locality_target_new_row_count,locality_target_new_all_tokens_correct_count,locality_target_new_correct_token_count,locality_target_new_target_token_denominator,locality_target_true_nll_n,locality_target_true_nll_mean,locality_target_true_nll_median,locality_target_true_nll_q25,locality_target_true_nll_q75,locality_target_true_nll_p90,locality_target_true_nll_max,locality_target_true_row_count,locality_target_true_all_tokens_correct_count,locality_target_true_correct_token_count,locality_target_true_target_token_denominator,alias,completed_batches
BLUE,10,ONLINE_OWN_BATCH_POOL_NOT_FINAL,1000,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,1000,1000,1.0,d2979fda336a336d3acf9e85d3dfd38619008f0748c0731e832d74b70bc892fc,1000,1000,1000,14.652833961229607,14.625273893412668,11.650069809140405,17.376416938350303,19.74490655050613,28.95350765393232,1000,0.0018287050911931146,0.0010772503446787596,0.0005350767314666882,0.0021645824890583754,0.0036249300930649058,0.03689499944448471,1000,1000,1015,1015,1000,14.654662666320801,14.627289295196533,11.65073823928833,17.37698268890381,19.747741889953613,28.9539794921875,1000,0,11,1011,1936,2000,0.968,7ef08b60e758ccced5686d8e5acc9b54bf1f4e829f2f85ce9899ba959c3518f8,947,1000,2000,8.58279241953775,8.562039159238338,5.603610495105386,11.40795722801704,14.655639280006296,25.27354882657528,2000,1.5656274670177737,0.3050926923751831,0.03210628777742386,2.2196261882781982,5.30437960624695,16.35944175720215,2000,1331,1360,2030,2000,10.148419886555523,10.052938461303711,7.49595582485199,12.575442552566528,15.2124758720398,25.295639038085938,2000,17,38,2022,8340,10000,0.834,93ac7a5eedd0ed956c3aae35e9b3692bca7ba88f00edc0439bacf74553b8f941,473,1000,10000,4.620720086657672,4.602562189102173,1.3571254014968872,8.004354134202003,10.756289669871332,20.70546943321824,10000,9.798457420578567,9.781818866729736,7.141201853752136,12.383800029754639,14.676196098327637,25.977455139160156,10000,156,297,10150,10000,5.177737333920895,4.728743314743042,2.0520394444465637,7.697062253952026,10.438754177093506,23.42066764831543,10000,1946,2055,10110,,
BLUE_L4_ONLY,10,ONLINE_OWN_BATCH_POOL_NOT_FINAL,1000,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,999,1000,0.999,ef50277514029eb35e377b1164ca23fe456137a36c5761e7f51c25c0243fc45d,999,1000,1000,14.661006267842122,14.57358377345372,11.745113572316768,17.474772869085427,19.886263251063067,26.709841937408783,1000,0.006184811237983013,0.0010967198759317398,0.0004925706889480352,0.0021531928214244545,0.00406496524810791,3.029395580291748,1000,999,1014,1015,1000,14.667191079080105,14.575159549713135,11.745426416397095,17.476967334747314,19.886693382263186,26.71026611328125,1000,1,12,1011,1935,2000,0.9675,1c4eaa4478cb3a8456ae63da99803e383db45a0241753e5890d1170e75e56e8c,948,1000,2000,8.634330149302572,8.617078971117735,5.570733070373535,11.637367123737931,14.708241009712221,24.727111177518964,2000,1.5957250896297992,0.29129426181316376,0.0323910741135478,2.3424081802368164,5.230365324020388,15.624340057373047,2000,1327,1356,2030,2000,10.230055238932371,10.06503963470459,7.601532459259033,12.758945226669312,15.454938125610354,24.74889373779297,2000,17,38,2022,8366,10000,0.8366,245bc61435589ce97a63bac13ce4cf246f579e17dd3d3bdb47fbcf9e446d2ec0,481,1000,10000,4.645060810901743,4.642052590847015,1.3983838558197021,8.030961751937866,10.757804024219514,20.223622400313616,10000,9.81925072844124,9.780166149139404,7.175667405128479,12.39646601676941,14.717886066436769,24.761199951171875,10000,159,300,10150,10000,5.174189917539497,4.728828191757202,2.056202709674835,7.699865102767944,10.419934844970705,21.968242645263672,10000,1948,2057,10110,,
BLUE_L8_ONLY,10,ONLINE_OWN_BATCH_POOL_NOT_FINAL,1000,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,1000,1000,1.0,d2979fda336a336d3acf9e85d3dfd38619008f0748c0731e832d74b70bc892fc,1000,1000,1000,14.216351822747878,14.003367263401742,11.587204182738787,16.729665906197624,19.188926036880005,27.46199012573925,1000,0.002833335743256612,0.0011810834985226393,0.000571326119825244,0.002300534746609628,0.004369402769953013,0.43673986196517944,1000,1000,1015,1015,1000,14.219185158491134,14.00536584854126,11.589390993118286,16.730826377868652,19.189049530029298,27.462114334106445,1000,0,11,1011,1858,2000,0.929,d418944e4c03149242c6c2302d2fd11d9c096ceddbaa701f1afcd9fb8487611c,885,1000,2000,7.747184027826508,7.9469293740112334,4.405998766422272,11.192314692772925,14.037950839661063,24.015317206270993,2000,1.6890610111946225,0.24487145990133286,0.020280267111957073,2.4422842860221863,5.781192684173587,17.362367630004883,2000,1339,1368,2030,2000,9.43624503902113,9.235981941223145,6.660348176956177,12.059257984161377,14.495818042755129,24.02779769897461,2000,37,58,2022,7618,10000,0.7618,1319134c2727b4a61499284faf979299577e5b0db868d0db6146abec4ade88b5,352,1000,10000,3.440954993136041,3.443181276321411,0.17408370971679688,6.854634523391724,9.790241360664368,21.96681261062622,10000,8.681004084796662,8.693719863891602,5.982951998710632,11.406216621398926,13.817598342895508,24.05248260498047,10000,423,564,10150,10000,5.240049091660621,4.795687437057495,2.2129698991775513,7.743498921394348,10.343384838104251,23.025802612304688,10000,1709,1818,10110,,
O_NATIVE,,online_own_batch_NOT_final_W10,,,1000,1000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,2000,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8064,10000,0.8064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,llama3-8b-inst,10
JVP,,online_own_batch_NOT_final_W10,,,925,1000,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715,2000,0.8575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7788,10000,0.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,llama3-8b-inst,10
