alias,arm,batch,checkpoint_backward,checkpoint_forward,checkpoint_forward_input_tokens,checkpoint_history_key_captures,checkpoint_linalg_solve,checkpoint_linalg_solve_seconds,checkpoint_native_keys,checkpoint_native_keys_seconds,checkpoint_wall,commit_backward,commit_forward,commit_forward_input_tokens,commit_history_key_captures,commit_linalg_solve,commit_linalg_solve_seconds,commit_native_keys,commit_native_keys_seconds,commit_wall,endpoint_seconds,full_batch_backward,full_batch_forward,full_batch_forward_input_tokens,full_batch_history_key_captures,full_batch_linalg_solve,full_batch_linalg_solve_seconds,full_batch_native_keys,full_batch_native_keys_seconds,full_batch_wall,history_seconds,inner_virtual_euler_nodes,main_JVP,native_direction_builds,native_factor_solves,peak_gpu_bytes,persistent_commit_count,provenance,seen_backward,seen_forward,seen_forward_input_tokens,seen_history_key_captures,seen_linalg_solve,seen_linalg_solve_seconds,seen_native_keys,seen_native_keys_seconds,seen_wall,source_endpoint_physical_write_count,target_backward,target_forward,target_forward_input_tokens,target_history_key_captures,target_linalg_solve,target_linalg_solve_seconds,target_native_keys,target_native_keys_seconds,target_wall,write_excluding_endpoint_seconds,write_including_endpoint_backward,write_including_endpoint_forward,write_including_endpoint_forward_input_tokens,write_including_endpoint_history_key_captures,write_including_endpoint_linalg_solve,write_including_endpoint_linalg_solve_seconds,write_including_endpoint_native_keys,write_including_endpoint_native_keys_seconds,write_including_endpoint_wall,edit_seconds,evaluation_seconds,target_seconds,key_seconds,compute_z,solve_calls,key_calls,history_append_passes
llama3-8b-inst,JVP,1,0,0,0,0,0,0.0,0,0.0,31.762847392819822,0,0,0,0,0,0.0,0,0.0,37.39691906794906,83.16339775780216,2400,2859,924967,5,180,4.588423988781869,30,410.2200523978099,1647.165369741153,120.98428379790857,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,0,0,0,0,0.0,0,0.0,0.03330212226137519,1,2400,2500,321475,0,0,0.0,0,0.0,764.3080977690406,620.6795626892708,0,333,522792,5,175,3.6442431076429784,25,341.6499385633506,703.842960447073,,,,,,,,
llama3-8b-inst,JVP,2,0,0,0,0,0,0.0,0,0.0,8.939765393733978e-06,0,0,0,0,0,0.0,0,0.0,37.683847365900874,78.86257561668754,2400,2873,844358,5,149,4.543288022279739,30,357.8572929408401,1551.550578292925,109.65700416406617,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,14,3072,0,0,0.0,0,0.0,3.473608158994466,1,2400,2500,330750,0,0,0.0,0,0.0,809.4774440918118,525.9957862673327,0,333,440776,5,144,3.629560522735119,25,297.94755305862054,604.8583618840203,,,,,,,,
llama3-8b-inst,JVP,3,0,0,0,0,0,0.0,0,0.0,1.3230368494987488e-05,0,0,0,0,0,0.0,0,0.0,37.826902507804334,80.17816219804808,2400,2885,840196,5,149,4.537676317617297,30,357.10910785896704,1531.1238692468032,103.61389716528356,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,26,5584,0,0,0.0,0,0.0,6.427982722874731,1,2400,2500,323400,0,0,0.0,0,0.0,786.6152035030536,525.1852561160922,0,333,441792,5,144,3.627519101370126,25,297.4055293085985,605.3634183141403,,,,,,,,
llama3-8b-inst,JVP,4,0,0,0,0,0,0.0,0,0.0,1.4859717339277267e-05,0,0,0,0,0,0.0,0,0.0,37.48396154399961,80.33480641013011,2400,2897,852393,5,149,4.535931168589741,30,361.5454455418512,1565.8827544278465,112.2219377560541,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,38,8128,0,0,0.0,0,0.0,9.352724114898592,1,2400,2500,325325,0,0,0.0,0,0.0,804.3236817829311,537.9367072368041,0,333,448440,5,144,3.6294867764227092,25,301.0847663949244,618.2715136469342,,,,,,,,
llama3-8b-inst,JVP,5,0,0,0,0,0,0.0,0,0.0,33.92196572292596,0,0,0,0,0,0.0,0,0.0,37.82512752432376,77.8155755950138,2400,3509,1007131,5,180,4.536234380211681,30,362.52981927013025,1756.9134727357887,114.64614738710225,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,650,166624,0,0,0.0,0,0.0,182.0606775698252,1,2400,2500,322175,0,0,0.0,0,0.0,785.0551032260992,542.9554559569806,0,333,447632,5,175,3.6213383711874485,25,301.8930308064446,620.7710315519944,,,,,,,,
llama3-8b-inst,JVP,6,0,0,0,0,0,0.0,0,0.0,1.9140075892210007e-05,0,0,0,0,0,0.0,0,0.0,38.47182035120204,81.07268684217706,2399,2922,872360,5,149,4.551901676226407,30,373.5509494487196,1589.497703766916,110.70076655875891,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,64,13424,0,0,0.0,0,0.0,15.230291386134923,1,2399,2499,328356,0,0,0.0,0,0.0,804.0151090999134,550.2230118918233,0,333,458200,5,144,3.6377469175495207,25,311.0420742947608,631.2956987340003,,,,,,,,
llama3-8b-inst,JVP,7,0,0,0,0,0,0.0,0,0.0,1.413002610206604e-05,0,0,0,0,0,0.0,0,0.0,37.83028889494017,81.73836015490815,2400,2935,874733,5,149,4.539402436465025,30,370.1587015851401,1580.7537596737966,109.26589582674205,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,76,16128,0,0,0.0,0,0.0,18.274412544909865,1,2400,2500,330225,0,0,0.0,0,0.0,803.1610103589483,541.2812317530625,0,333,456400,5,144,3.6293137655593455,25,308.258941963315,623.0195919079706,,,,,,,,
llama3-8b-inst,JVP,8,0,0,0,0,0,0.0,0,0.0,1.1799857020378113e-05,0,0,0,0,0,0.0,0,0.0,37.12431498710066,80.22674607904628,2400,2947,892064,5,149,4.559098433237523,30,376.1192154241726,1602.0235657407902,105.46716258395463,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,88,18800,0,0,0.0,0,0.0,21.104629932902753,1,2400,2500,329000,0,0,0.0,0,0.0,806.5692115579732,558.8864450328983,0,333,470904,5,144,3.6453572721220553,25,313.2493632398546,639.1131911119446,,,,,,,,
llama3-8b-inst,JVP,9,0,0,0,0,0,0.0,0,0.0,1.743994653224945e-05,0,0,0,0,0,0.0,0,0.0,37.68821084825322,78.90491656167433,2384,2943,830252,5,149,4.5607942012138665,30,342.2172085205093,1526.7391182850115,108.44673183606938,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,100,21520,0,0,0.0,0,0.0,24.07385052088648,1,2384,2484,317996,0,0,0.0,0,0.0,775.1244851169176,517.0416072052903,0,333,424176,5,144,3.648353603668511,25,284.9454521453008,595.9465237669647,,,,,,,,
llama3-8b-inst,JVP,10,0,0,0,0,0,0.0,0,0.0,33.689818907063454,0,0,0,0,0,0.0,0,0.0,36.896965621970594,79.6880258671008,2372,4297,1231616,5,180,4.546897990163416,30,369.3487543980591,1980.4130923431367,94.09266300499439,4,20,NOT_RECORDED,NOT_RECORDED,38191523328,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,1466,375448,0,0,0.0,0,0.0,414.2317068669945,1,2372,2472,321972,0,0,0.0,0,0.0,781.4123200671747,537.5594889521599,0,333,462216,5,175,3.635416531469673,25,307.51596372621134,617.2475148192607,,,,,,,,
