W_sha256,active_count,actual_endpoint_energy,alias,arm,batch,final_V_ratio,materialization_discrepancy_normalized,max_normalized_model_error,max_over_min_active_scale,maximum_active_scale,minimum_active_scale,minimum_scale_case_ids,node0_KKT_stationarity,node0_response_Gram_diagonal_max,normalization_sweep_count,per_request_response_Gram_decomposition,provenance,qN_ref,requested
72939d22ec3e439e55385a04f61344e2fa062f8b27e174ba2910e8c99c7a2cb0,100,212.15616842038102,llama3-8b-inst,JVP,4,0.00495869466553629,2.3881136494623596e-06,0.0019224842165575986,1.5732790086385644,5.838664531707764,3.711143732070923,[9513],3.3306690738754696e-16,13.180941826500517,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1097.5862904082865,100
b4580ec60ed824cb7093d344c592e50b2008be8e1c39efea09e710dfe1355d00,100,230.98006194983225,llama3-8b-inst,JVP,5,0.004939745715525356,2.4258668677101686e-06,0.0017940169409288087,1.5655659826716721,5.912121772766113,3.7763478755950928,[17558],4.440892098500626e-16,13.885161910002697,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1183.797879429017,100
e2eff7a117312c3776ad015bd3cfa6ae27228bcbc08e894bb9bdb3820380843b,100,253.1856570993658,llama3-8b-inst,JVP,6,0.004954375316863669,2.0495797544685836e-06,0.0017744546316565072,1.5284613230319641,6.178123474121094,4.042054176330566,[16069],4.440892098500626e-16,13.891584851374674,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1273.8719768463122,100
649f8349e5e02246073198eb79a7fdbc950238a3d3ff855a95df18c4ed4fe1e9,100,255.96048881602889,llama3-8b-inst,JVP,7,0.005675964418935209,2.451394852378259e-06,0.0016618871124359873,1.4652474916133957,5.841771602630615,3.9868838787078857,[12919],2.220446049250313e-16,14.574687838308346,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1298.5012486105904,100
8389f08a39286091e9582eb064dc702d2d639f875ffb9072546d0e9bbf13c0c3,100,268.80129609001847,llama3-8b-inst,JVP,8,0.004949834417995107,1.6925483976723737e-06,0.0016113853218477471,1.4203729064156776,6.054935932159424,4.262919902801514,[4651],0.0,15.397583686942943,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1347.0843456155026,100
cae6f9222d55656c6d3ef863222d4ec1a943d5f55bfbf4841775f5cc124a290b,100,296.2512220310228,llama3-8b-inst,JVP,9,0.005130430995977058,2.0715288203370453e-06,0.001570531109934386,1.4931615858865086,6.23712682723999,4.177127838134766,[19176],0.0,14.518328706991033,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1476.089020539835,100
d069813f5e93a26f42331c6b9b9990c5c863c6a064b5cd47661f4ed6a8044d5a,100,2.7167007001113436e-09,llama3-8b-inst,JVP,10,0.9999471885780729,0.014180362566960526,0.010604343568031947,173776.31037026303,6.2120041847229,3.574712900444865e-05,[4228],8.881784197001252e-16,4402280.675683666,0,NOT_RECORDED,SH2_PUBLICATION_SH1_RECOMPUTED,1481.5842443864976,100
fcaa4621b5e8d13dc02acaa711ffd35387cb615cc3b2e19b3713746961fac78e,100,156.1025502463433,llama3-8b-inst,JVP_L8,1,0.00485338077946751,1.2008646853040314e-06,6.60178508825511e-08,1.5294591631779502,5.4007086753845215,3.531123161315918,[3557],0.0,4.812864700675426,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,840.2169532672801,100
fda8c5c2ea241cb70bf1b343b20c1a05a13cf54211104ae7d4450894d66fbd1e,100,180.95600864797524,llama3-8b-inst,JVP_L8,2,0.004902055202268542,2.6335868651272626e-06,6.73811951443323e-08,1.6016876494651837,5.669534683227539,3.5397255420684814,[12179],0.0,4.6227026955287105,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,950.2647701854012,100
a839177b25412952498325f3a08bc176230d04b1cdea4d636dc1ead8a2408740,100,210.4532051155213,llama3-8b-inst,JVP_L8,3,0.004987827844362385,6.610548233656769e-07,6.770814343997578e-08,1.445679813815445,5.794607162475586,4.008223056793213,[10481],0.0,4.444269335173404,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1060.915240028451,100
e8c06e4e5a9028c5432a795ab9742b76f555ce2d9dff04a38e6eedcc6699a91b,100,222.69936639245276,llama3-8b-inst,JVP_L8,4,0.004965249032108027,6.756759084224853e-07,6.813261490357443e-08,1.5751522319384073,5.845144271850586,3.710844039916992,[9513],0.0,4.3245364553359185,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1096.9424958067082,100
2a0340a2b0997f2933fa487615bb4a671b0397271d0cf89a5f624748b7e22164,100,242.35188667657914,llama3-8b-inst,JVP_L8,5,0.004953467839423702,6.745890948304507e-07,6.785178620270918e-08,1.559064736900139,5.906165599822998,3.7882747650146484,[17558],0.0,4.266149800405183,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1184.4996837212911,100
3ee49b7f79ccbcf12cd683c3b4e780679e40d69edf78cb8a01b098928429d0ac,100,267.05680068513686,llama3-8b-inst,JVP_L8,6,0.00497490829253638,6.806972237303469e-07,6.738360994191796e-08,1.5258537798174296,6.18060302734375,4.050586700439453,[16069],0.0,4.127772743532116,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1275.5933146051061,100
8bca3889e75fb6acf14db679ee7288c3ec58cba2bd2f99642c93f93876719b04,100,268.68570776961724,llama3-8b-inst,JVP_L8,7,0.005706151715164778,6.880551440076784e-07,6.749594264672832e-08,1.458416650231281,5.846219062805176,4.008606910705566,[12919],0.0,4.109152328456921,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1301.254642959464,100
b503297a2366c409cebeed02b7e5e3eba753d8f7240b71b690c23d8b489203b2,100,281.34163177817135,llama3-8b-inst,JVP_L8,8,0.004966589693544977,1.3728988508110928e-06,6.763735400896931e-08,1.4205238596532235,6.027727127075195,4.243312835693359,[4651],0.0,4.127061496496369,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1350.2392614177647,100
31cbb1010f6fc85d228f51394a779445e259fe9cbca6bf64740ffd8c19d09fdc,100,310.88828389718117,llama3-8b-inst,JVP_L8,9,0.005147349998664773,2.9741868786092817e-06,6.902493121941954e-08,1.493571683187321,6.233575344085693,4.173603057861328,[19176],0.0,4.074366723962993,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1479.8343351144456,100
d1645cffd03493f45c2f54ecc94e2b24ddee4b7ac4d782eea805cf586104bc20,100,6.256747503414079e-11,llama3-8b-inst,JVP_L8,10,0.9999990296302279,0.006536882710701843,0.000301502220931807,377475.30401925964,6.2329230308532715,1.6512134607182816e-05,[4228],0.0,8418624.445901077,0,NOT_RECORDED,LOCAL_COMPLETED_L8_RAW,1480.3295547620908,100
