alias,method,case,status,w0_restored,exception_class,exception_message_sha256,w0_e,w0_g,w0_l,post_e,post_g,post_l,post_e_new_nll,post_e_old_nll,post_e_margin,post_g_new_nll,post_g_old_nll,post_g_margin,post_l_new_nll,post_l_old_nll,post_l_margin,q,coverage,predicted_progress,actual_progress,realization_ratio,structural_p,functional_p,capacity,p_h_risk,energy_ratio,pi_entropy,pi_neff,pi_top1,v_above_one,v_max,edit_core_wall_seconds,evaluator_wall_seconds,model_forwards,backwards,processed_tokens,terminal_file_sha256
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,1,COMPLETE,True,,,2,3,93,10,18,92,0.027221298217773436,12.66875,12.641528701782226,2.265008544921875,8.7904296875,6.525421142578125,12.33125,5.2273071670532225,7.103942832946778,0.29073043912649155,0.4399390932811714,0.29073043912649155,0.21517864391207697,0.7401311144366157,0.00020878047363617188,0.005602224808826583,0.06632691567721091,1.0,1.0,1.5367385327856202,4.649401644817589,0.31632329715101637,0,1.0,127.04479014966637,2.3492120718583465,26,16,26500,b49a72c9850dafcceae8316a013f92bc1245594049388dfaaec72cb3a76ec314
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,2,COMPLETE,True,,,0,1,87,10,16,86,0.036279296875,11.890625,11.854345703125,2.78173828125,7.58828125,4.80654296875,10.908671875,5.167656784057618,5.741015090942382,0.3806299865245819,0.43653121100661496,0.3806299865245819,-0.05527437264099719,-0.14521812415660065,0.00023639934381331943,0.06667636382346895,0.06260780543276195,1.0,1.0,1.4790738013570925,4.388878824240019,0.3363794659540772,0,1.0,130.61900284234434,2.36813345272094,26,16,27254,004867da314a1413038851b5ca6f90f1ea3de6bff5a4aabb004a791304feeaf2
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,3,FAIL,True,ODEBFContractError,074dcb0925f1cf68b80265fe715772871623b78b736ad018bedea8a8cb62ab07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,4,COMPLETE,True,,,0,0,97,10,16,92,0.274591064453125,8.590625,8.316033935546875,3.491729736328125,5.79091796875,2.299188232421875,10.32595703125,4.333381881713867,5.992575149536133,1.113354206085205,0.39571668361440904,1.113354206085205,0.4125567341223359,0.37055299370772965,0.00028491106451471345,0.024039735750472878,0.07873635024290293,1.0,1.0,1.5363012454876754,4.647368965000189,0.32392883360251284,0,1.0,118.3309341557324,2.4291778719052672,26,16,27046,e7ed2473848a457f4ab1ebf7906b3dc262f066cd9e2510d694c89d017118cb05
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,5,COMPLETE,True,,,1,3,86,9,17,86,1.2437530517578126,10.153125,8.909371948242187,2.474835205078125,7.67109375,5.196258544921875,9.712109375,5.56609375,4.146015625,0.16446988470852375,0.2964536748192787,0.16446988470852375,0.11723713846877204,0.7128182686807911,0.00016544214664475276,0.005331952397317205,0.0587744146164815,0.7543888910544587,1.0,1.3580795080566144,3.8887178744958226,0.33045407021546325,0,1.0,120.24785465374589,2.4116777032613754,26,16,25772,c24d878be466b46e3469c02f2ecd11433c80c671cca94626e3f3e744d3d71efb
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,6,COMPLETE,True,,,2,6,87,10,16,83,0.4875297546386719,11.4125,10.924970245361328,2.1289295196533202,8.3328125,6.2038829803466795,9.93296875,4.053713073730469,5.879255676269532,0.4547239989042282,0.5830195605671384,0.4547239989042282,0.4585503809386864,1.0084147351858939,0.00024164656799172097,0.004590661015557795,0.07362235217326132,1.0,1.0,1.5878827966694975,4.893377677660983,0.2615551226534818,0,1.0,132.33084394782782,2.1387725761160254,26,16,26552,8eb852ffcdbb6a05bc7a3f43fdd7ec3763e9a39e38d5a5875c02b270676386e9
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,7,COMPLETE,True,,,0,1,95,10,20,94,0.388507080078125,9.728127050399781,9.339619970321655,1.4013900756835938,7.959153366088867,6.557763290405274,10.470209960937499,4.551589584350586,5.918620376586914,0.8941085487604141,0.7425875568955029,0.8941085487604141,0.39706548214890064,0.4440909134566998,0.00026061617154361024,0.005097879542631995,0.07744320390947196,1.0,1.0,1.6093054147704737,4.999337555569006,0.20622383270034142,0,1.0,122.16097465530038,2.4168904637917876,26,16,28606,fc356a2d4940668caf362c2fe55d6836e7ce1e73a40a8323c4908b8a2cb0954b
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,8,COMPLETE,True,,,2,5,83,10,19,80,0.21660308837890624,9.33125,9.114646911621094,2.4458984375,8.9,6.4541015625,9.913671875,4.868187675476074,5.0454841995239255,0.2005484774708748,0.6068578143702561,0.2005484774708748,0.20060853241011498,1.0002994534737797,0.00016112330616307368,0.002774216276211167,0.05384587443840269,0.35377063951822935,1.0,0.6927989033678652,1.999303566898762,0.5131953923372528,0,1.0,110.8710714764893,2.4538710340857506,26,16,26474,c7649063ad49954cbfd16b21afacbb954ee112dc7a43e30590cd7872e12f8419
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,9,COMPLETE,True,,,1,1,95,10,20,92,0.0255889892578125,11.05625,11.030661010742188,1.19716796875,6.6515625,5.45439453125,9.391196289062501,4.123378601074219,5.267817687988281,0.20671270601451397,0.540496082818215,0.20671270601451397,0.1113564028404653,0.5387012970170683,0.00026649419746208356,0.014464871314055308,0.06328850953629372,1.0,1.0,1.5782767018289396,4.846596479646535,0.27586320929675107,0,1.0,126.21814192831516,2.403335493989289,26,16,26552,51c7bd2b4433a1f9d36c8cdd69314ed455ad9bf61d260f014f82f9a3b25dbdc5
llama3-8b-inst,BG-PROGRESS-SIMPLEX-NEUTRAL,10,COMPLETE,True,,,3,6,81,9,17,80,1.3653778076171874,11.7875,10.422122192382812,2.797454833984375,9.41328125,6.615826416015625,10.7648046875,5.966476593017577,4.7983280944824225,0.60658860206604,0.48338768581566255,0.60658860206604,0.3412491486407816,0.5625709871203066,0.00022449180654017875,0.011723119240836206,0.06785078204520459,1.0,1.0,1.597704610513431,4.941676324164159,0.24860546486404264,0,1.0,117.39544438943267,2.6836469899863005,26,16,27696,5fc2d135880472fae4402ebf5abe01903586368cdceeee9ece6f9f2aa5714f7f
