case_index,comparison,delta_actual_progress,delta_bf16_path_energy,delta_capacity,delta_full_six_w_minus_z_gap,delta_loc,delta_negative_actual_count,delta_predicted_progress,delta_realization_ratio,delta_rephrase_w_minus_z_gap,delta_rewrite_w_minus_z_gap,delta_structural_p,delta_w_eff,delta_w_full_six_nll,delta_w_gen,delta_w_rephrase_nll_mean,delta_w_rewrite_nll_mean,delta_z_eff,delta_z_full_six_nll,delta_z_gen,delta_z_rephrase_nll_mean,delta_z_rewrite_nll_mean,il3_terminal_sha256,new_terminal_sha256,pair_binding
1,IL8-FULL-IL3-FULL,0.005134988727514056,2.406723227791006,1.6661321474296358,-0.0005956505308859048,0,0,-0.1929414823884077,0.015771595208979083,-0.01298828124999991,-0.0002653121948242187,0.0022361189949039427,0,-0.0051349887275137,1,-0.10179481506347665,-0.0019517898559570312,0,-0.004539338196627796,1,-0.08880653381347647,-0.0016864776611328126,43d80b0c4e56ff2b015a9c3577a8f4e8a9aeb413d55af976dc0ee33db69974b4,8f08d62ac4c4d8a470150eb071cf681d014bd1644707eb76fb1988e68904b988,same_stream_order_case_index
2,IL8-FULL-IL3-FULL,0.0034188156947507764,1.5285543472459113,1.3788000123366135,0.00010398824233561702,0,0,-0.8818540483596706,0.07059653806348165,0.01843872070312518,-0.00019073486328125035,0.0023178791627819183,0,-0.0034188156947493557,1,-0.27492065429687473,-0.0029464721679687503,0,-0.0035228039370849727,1,-0.2933593750000001,-0.0027557373046875,945059aeb5b707387ebaa2b52b87fc28af4bb1e995f920c09b66a4f2c6f66b14,74d8f40a9d7178c0e419db838c3361d63feb7b4c38b255905c96684cbdee3385,same_stream_order_case_index
3,IL8-FULL-IL3-FULL,0.003900315868667903,1.730558113667363,1.3748691970788807,8.398503996432001e-06,0,1,-0.5723927686805883,0.05540784163925094,0.18746795654296858,-0.000691890716552734,0.00217208606948794,0,-0.003900315868668258,-1,-0.07240180969238308,-0.003268909454345703,0,-0.00390871437266469,0,-0.25986976623535174,-0.002577018737792969,a9d42d05407b7ff796e5668b6bcdb4ac03cc348ec85caf4f595ad6296dd68643,cf8654dd4bf8d3879b9f51508cf288643ef5b3a59a4511ba7902cf06ee7f827d,same_stream_order_case_index
4,IL8-FULL-IL3-FULL,0.004003989067857816,2.4881014309550658,2.534557827528751,-0.00031233882764354366,0,0,-0.9283373400860064,0.08478547792932822,-0.0123676300048829,-8.583068847656199e-05,0.00515507027247236,0,-0.004003989067859948,0,-0.05596351623535156,-0.0030431747436523433,0,-0.003691650240216404,0,-0.04359588623046884,-0.0029573440551757812,1404406fe788d775295007772a43e5e0c2cd8a9cf929d0d90e0c6d017f25335a,b080e0d94a29f3e8e070a298433bf954d74b7db1da0fdce293f36350c9a65c67,same_stream_order_case_index
5,IL8-FULL-IL3-FULL,0.0038487192941829562,1.4938677177073014,1.490499694122338,-0.0013862932915799323,1,0,-1.3303066767286555,0.11157806401260095,-0.05363006591796902,-0.00018653869628906225,0.0021907560641095513,0,-0.0038487192941829562,0,-0.573753356933594,-0.0008361816406249997,0,-0.002462426002603024,0,-0.5201232910156248,-0.0006496429443359375,15e6eb0250ae82d0f42a8d02f016b600b04cb5461643fb449296819c38344bb9,1ce9060adcfe4f2b06ccdd0d6f1806f092fe092a1b8364658570a95266761267,same_stream_order_case_index
6,IL8-FULL-IL3-FULL,0.003946454310788994,6.235146444883972,5.808135804489482,-0.0007825343403965231,1,0,-0.7959072630503208,0.07559078995790824,-0.05358467102050777,-0.00030193328857421855,0.009218500305553313,0,-0.003946454310789704,0,-0.284744644165039,-0.0023227691650390624,0,-0.003163919970393181,0,-0.2311599731445313,-0.0020208358764648438,7fede59b864fe7adf68b195aa690e1c8d2b677d9af27dafcc7059bea9b0aecb0,3a3ea6458ee43d17ffd93c489576083e7661cd29105ac344b29af105674cce54,same_stream_order_case_index
7,IL8-FULL-IL3-FULL,0.0032556819496676326,4.92938084447278,4.800729514081054,0.0006544828764162955,-1,1,-0.8673440852435306,0.06989193452116216,0.01820373535156252,-0.0005632400512695312,0.008048713827591104,0,-0.003255681949667633,0,-0.009912490844726562,-0.0029699325561523436,0,-0.0039101648260839285,0,-0.028116226196289062,-0.0024066925048828124,5cd8eabc65cf2c0227d29e6bb17029bec8ff7d494cca358087c952f9c73e403a,29cb739f3e2e9489f7a9a1ed6965e7fcf4706e1a5438f850f1c39d60b6eb6e82,same_stream_order_case_index
8,IL8-FULL-IL3-FULL,0.01961133338045329,0.46955106803502566,0.4820352446670686,-0.00929305914323777,1,1,-0.7404664963483807,0.06560078825188287,-0.15669708251953107,-0.007947921752929688,0.0010793107622714387,0,-0.01961133338045329,0,-0.2117462158203125,-0.017935943603515626,0,-0.01031827423721552,0,-0.05504913330078143,-0.009988021850585938,e807b9970246ffd7454cc8c31c9bc983cc381db7eec49438e20de03b236eafce,a3afb608601180b1a7f5dd4a14d7e9b14543c84bb4f7ae4af17e145dbdfaa629,same_stream_order_case_index
9,IL8-FULL-IL3-FULL,0.005527873174287379,1.471228452560227,1.0967769333416273,-0.00016551620792597472,0,0,-0.0554334750049712,0.005888039047049154,0.001244926452636852,-0.00023994445800781277,0.0020111643545376173,0,-0.005527873174287378,0,-0.11914196014404288,-0.002097606658935547,0,-0.005362356966361403,0,-0.12038688659667973,-0.0018576622009277342,9780d198dbae8663b726e8581f260da0cf8407d754f94b5bd610e416d99773c5,e5353fc58703dc3d29a729c29b17283d578f09e299d23f3161cb4f9c9d227e91,same_stream_order_case_index
10,IL8-FULL-IL3-FULL,0.0028635389055100546,4.491442735606151,4.01415687776552,-0.0007270184578374033,0,0,-0.7259920344513358,0.06096969434051236,0.06463484764099117,-0.00017490386962890626,0.0065549375573685075,0,-0.002863538905512542,1,-0.31143221855163583,-0.001953601837158203,0,-0.0021365204476751385,1,-0.37606706619262686,-0.001778697967529297,9d3b3c4d323b3e2fc30b59e9d5702c753d6784f2cabf8eeb2f89b30a29dca4e4,9f63b6d054ca346be2d8e56de51309f96c0f48aa7b9979aca4ee473d4e16c01c,same_stream_order_case_index
