accepted_z_rephrase_nll_mean,accepted_z_rewrite_nll_mean,case_denominator,cumulative_outer_entry_movement_norm_mean,current_selection_count,depth,global_target_update_ordinal,inner_step_movement_norm_mean,primary_selection_count,rescue_selection_count,target_objective_nll_mean
8.17183837890625,8.213367919921875,10,2.3603872280661267,0,IL8-FULL,0,2.3603872280661267,100,0,7.816752096414565
5.817534179687501,4.88194091796875,10,4.269552953573641,0,IL8-FULL,1,2.6334049181537624,100,0,4.74000346660614
3.4438052368164067,1.973509521484375,10,6.67154322647999,0,IL8-FULL,2,3.8162414711763555,100,0,1.9915211273729803
2.5433565902709963,0.7784529113769532,10,7.634680912122533,0,IL8-FULL,3,3.1970876166422553,98,2,0.8272384595009499
2.0834781646728517,0.29130111694335936,10,8.06819756659905,0,IL8-FULL,4,2.449163673325299,97,3,0.34910931140650064
1.8924776077270509,0.19316192626953127,10,8.188469895776056,1,IL8-FULL,5,1.509741115428311,94,5,0.16903135686647147
1.7455001068115235,0.07183151245117188,10,8.294259734185188,1,IL8-FULL,6,1.3188147121082632,96,3,0.0755866958387196
1.6791249465942382,0.02952590942382812,10,8.339212305471765,1,IL8-FULL,7,0.6240434635364565,96,3,0.03767550980555825
2.155953788757324,0.02960155487060547,10,0.7428365692900221,0,IL8-FULL,8,0.7428365692900221,100,0,0.04541178353945725
2.13004451751709,0.01642139434814453,10,0.832688884366872,1,IL8-FULL,9,0.2670947695046743,97,2,0.0284452072205022
2.112295761108398,0.013213748931884765,10,0.9222352148863487,1,IL8-FULL,10,0.1535981696067543,98,1,0.023206896376796064
2.100919361114502,0.011795291900634766,10,0.9976130679064903,1,IL8-FULL,11,0.09690068927123782,98,1,0.019865446389303543
2.0926152992248537,0.010330467224121094,10,1.0635740880518607,4,IL8-FULL,12,0.08343259349179451,95,1,0.017502271920093335
2.0851050567626954,0.009263477325439454,10,1.1237166592711154,3,IL8-FULL,13,0.07562166446781374,96,1,0.015457730447524225
2.080066795349121,0.008269948959350586,10,1.1774421185113406,3,IL8-FULL,14,0.0679756079283961,96,1,0.013841145603801125
2.073046112060547,0.007636337280273438,10,1.226538922851503,6,IL8-FULL,15,0.061957811494142034,94,0,0.012574635885539465
2.0488387298583985,0.0069536399841308594,10,0.05913706753680378,2,IL8-FULL,16,0.05913706753680378,95,3,0.011508145336410962
2.043412055969238,0.0063920879364013665,10,0.11235285010622328,3,IL8-FULL,17,0.05449403006649267,96,1,0.010393289350904524
2.0381573677062987,0.006035003662109375,10,0.1615654369937698,6,IL8-FULL,18,0.04996713950897606,93,1,0.009558026895392686
2.0346347427368165,0.0055474853515625,10,0.2066025027660555,3,IL8-FULL,19,0.04597898678361673,95,2,0.008891124626388773
2.032773609161377,0.005262489318847656,10,0.24883001966376833,4,IL8-FULL,20,0.043578514693396506,95,1,0.008272164390655234
2.0325701332092287,0.005002288818359376,10,0.28782225572280107,7,IL8-FULL,21,0.04063229808365588,93,0,0.007742956032743678
2.0291501426696774,0.004721527099609374,10,0.3243876667853781,8,IL8-FULL,22,0.03827456008521899,89,3,0.007284035818884149
2.026615619659424,0.004492282867431641,10,0.3570346774140801,16,IL8-FULL,23,0.03524668854147988,82,2,0.006860219752998091
1.9719962501525878,0.004170932769775391,10,0.04233599863762029,3,IL8-FULL,24,0.04233599863762029,93,4,0.006715381796238944
1.970196647644043,0.003986072540283203,10,0.07559762434857452,11,IL8-FULL,25,0.03534945614792901,87,2,0.006327985650859773
