comparison,delta_bf16_path_energy,delta_cumulative_bf16_capacity_endpoint,delta_edit_core_wall_seconds,delta_full_six_w_minus_z_gap,delta_loc,delta_rephrase_w_minus_z_gap,delta_rewrite_w_minus_z_gap,delta_terminal_cumulative_structural_p,delta_w_eff,delta_w_full_six_nll,delta_w_gen,delta_w_rephrase_nll,delta_w_rewrite_nll,delta_z_eff,delta_z_full_six_nll,delta_z_gen,delta_z_rephrase_nll,delta_z_rewrite_nll,left_endpoints,right_endpoints
IL3-FULL-IL1,0.17079071874818386,0.1574742679997172,NOT_RECORDED,-0.03604874186667986,3,NOT_RECORDED,NOT_RECORDED,0.007002201793213874,0,-0.07067229463690855,0,NOT_RECORDED,NOT_RECORDED,0,-0.03462355277022868,-2,NOT_RECORDED,NOT_RECORDED,10,10
IL8-FULL-IL3-FULL,2.72445543829248,2.4646693252840954,174.3127936989535,-0.0012495541176758707,2,7.224559783935297e-05,-0.0010648250579833984,0.004098453737107771,0,-0.005551171037368477,2,-0.20158116817474347,-0.003932638168334961,0,-0.004301616919692605,3,-0.20165341377258272,-0.002867813110351563,10,10
IL10-FULL-IL8-FULL,0.20049906197438538,0.12324468088844576,52.151464491849765,0.00040695504751056424,0,-0.01472486019134521,-0.00013136863708496094,0.00024216126499894582,0,0.00013947435829322766,0,-0.014291195869445827,-0.00037915229797363275,0,-0.0002674806892173365,0,0.0004336643218993963,-0.0002477836608886718,10,10
IL15-FULL-IL10-FULL,0.1451854861947055,0.09104887320599175,111.9570653908886,0.00013561440166085957,0,0.009845390319824218,0.00010684013366699216,0.0001499208914674706,0,-0.00045801525586284695,1,-0.012616643905639657,-0.00017334938049316405,0,-0.0005936296575237065,0,-0.02246203422546378,-0.0002801895141601562,10,10
