arm,metric,prior_1k_num,lifelong_1k_num,denominator,rate_delta,NLL_pair_rows_exact,old_evaluation_sha256,new_evaluation_sha256,model_revision_equal,old_model_revision,new_model_revision,old_runtime_sha256,new_runtime_sha256,comparison
AlphaEdit_ORIGINAL,RS,997,997,1000,0.0,True,2fdff6227482f1a743923f7f552e30fff89f18d666be88650d92b64d99de561e,9c8f22a3c255769d21ee4c349fba6b8ceb83cdea22d0661ca8055521fbed1fd7,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,60f077db25cb87bd55e9fe75848d0afbb89ee9c8f7911f9637bbfcf95d71322e,850ed7ce290c8d6d26c82912b6a8b5d91a0ee3d86394a279aa2aca83db6a2d08,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_ORIGINAL,PS,1939,1939,2000,0.0,True,2fdff6227482f1a743923f7f552e30fff89f18d666be88650d92b64d99de561e,9c8f22a3c255769d21ee4c349fba6b8ceb83cdea22d0661ca8055521fbed1fd7,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,60f077db25cb87bd55e9fe75848d0afbb89ee9c8f7911f9637bbfcf95d71322e,850ed7ce290c8d6d26c82912b6a8b5d91a0ee3d86394a279aa2aca83db6a2d08,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_ORIGINAL,NS,8057,8057,10000,0.0,True,2fdff6227482f1a743923f7f552e30fff89f18d666be88650d92b64d99de561e,9c8f22a3c255769d21ee4c349fba6b8ceb83cdea22d0661ca8055521fbed1fd7,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,60f077db25cb87bd55e9fe75848d0afbb89ee9c8f7911f9637bbfcf95d71322e,850ed7ce290c8d6d26c82912b6a8b5d91a0ee3d86394a279aa2aca83db6a2d08,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_L4_ONLY,RS,998,998,1000,0.0,True,e58ed53d6733415d9ae9b20c4f9f1cb82f0769d9cd749bf4af4d98ea138583e3,dc8545bb8c984e6afc67ca3bbae4e6e36a1bc6a460cbfe27e2a7c57390c062b2,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,7a0993b4f2ac8e1715408d44a095930f28bfb1b760b1a510334c271f11a9f085,807ec8afd3aef1ad5ec20ad535f265527010711b4435629964c505fdc28e16d4,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_L4_ONLY,PS,1943,1943,2000,0.0,True,e58ed53d6733415d9ae9b20c4f9f1cb82f0769d9cd749bf4af4d98ea138583e3,dc8545bb8c984e6afc67ca3bbae4e6e36a1bc6a460cbfe27e2a7c57390c062b2,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,7a0993b4f2ac8e1715408d44a095930f28bfb1b760b1a510334c271f11a9f085,807ec8afd3aef1ad5ec20ad535f265527010711b4435629964c505fdc28e16d4,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_L4_ONLY,NS,8072,8072,10000,0.0,True,e58ed53d6733415d9ae9b20c4f9f1cb82f0769d9cd749bf4af4d98ea138583e3,dc8545bb8c984e6afc67ca3bbae4e6e36a1bc6a460cbfe27e2a7c57390c062b2,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,7a0993b4f2ac8e1715408d44a095930f28bfb1b760b1a510334c271f11a9f085,807ec8afd3aef1ad5ec20ad535f265527010711b4435629964c505fdc28e16d4,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_L8_ONLY,RS,996,996,1000,0.0,True,d9292e771bba1083b961e461b90b46096695c8518af1c3a15f7c5eba00c43de6,3a4636b392a9765a1162e1f72c2dd8dfc6d750b774d5dd8f7e28a1d1706fc4e6,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,a8dc8b9e7147c4fd10f29d2c8cf2b423c7aa822d6b4e48506a304331ff8fd66b,dfe1781baf1a0656628e2425df3683ce20f7ea507d7e1f5da30ef99f75ff5ec6,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_L8_ONLY,PS,1837,1837,2000,0.0,True,d9292e771bba1083b961e461b90b46096695c8518af1c3a15f7c5eba00c43de6,3a4636b392a9765a1162e1f72c2dd8dfc6d750b774d5dd8f7e28a1d1706fc4e6,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,a8dc8b9e7147c4fd10f29d2c8cf2b423c7aa822d6b4e48506a304331ff8fd66b,dfe1781baf1a0656628e2425df3683ce20f7ea507d7e1f5da30ef99f75ff5ec6,same first1000/order; independent run; exact row equality assessed rather than assumed
AlphaEdit_L8_ONLY,NS,6936,6936,10000,0.0,True,d9292e771bba1083b961e461b90b46096695c8518af1c3a15f7c5eba00c43de6,3a4636b392a9765a1162e1f72c2dd8dfc6d750b774d5dd8f7e28a1d1706fc4e6,True,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,a8dc8b9e7147c4fd10f29d2c8cf2b423c7aa822d6b4e48506a304331ff8fd66b,dfe1781baf1a0656628e2425df3683ce20f7ea507d7e1f5da30ef99f75ff5ec6,same first1000/order; independent run; exact row equality assessed rather than assumed
