arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c0,1,accepted_z,rephrase,new,2000,6.451449609944597,6.32825779914856,10.95472240447998,18.73311424255371,0.03545483201742172
c0,1,accepted_z,rephrase,true,2000,4.8395136767182265,4.415067434310913,9.162338256835938,18.0355281829834,0.003415823681280017
c0,1,accepted_z,rewrite,new,1000,5.873015650549903,5.463959455490112,10.557665824890137,16.88486671447754,0.00904734618961811
c0,1,accepted_z,rewrite,true,1000,4.58912100540474,4.19483494758606,8.77180004119873,14.0476655960083,0.018350474536418915
c0,1,post_writer_W,rephrase,new,2000,7.097209407871589,6.880583047866821,11.614142417907715,19.93349266052246,0.03276360407471657
c0,1,post_writer_W,rephrase,true,2000,4.740447405949934,4.308131456375122,9.152676582336426,20.808387756347656,0.0037344018928706646
c0,1,post_writer_W,rewrite,new,1000,5.681638629468623,5.317691802978516,10.235637664794922,16.235610961914062,0.007432783488184214
c0,1,post_writer_W,rewrite,true,1000,4.619144945595414,4.213454246520996,8.869674682617188,14.477218627929688,0.024404235184192657
c0,1,pre_writer_W,rephrase,new,2000,9.566237629180774,9.522783756256104,14.096372604370117,21.87479591369629,0.040802959352731705
c0,1,pre_writer_W,rephrase,true,2000,4.274326147889835,3.7792946100234985,8.695918083190918,20.867826461791992,0.0037912887055426836
c0,1,pre_writer_W,rewrite,new,1000,10.236359748318792,10.27091360092163,15.2820405960083,23.079036712646484,0.10458789765834808
c0,1,pre_writer_W,rewrite,true,1000,4.14836625190021,3.601101875305176,8.88216495513916,15.88895034790039,0.0010637345258146524
c0,2,accepted_z,rephrase,new,2000,3.6726154803889806,2.900395154953003,7.9433183670043945,18.13359832763672,0.005546892993152142
c0,2,accepted_z,rephrase,true,2000,5.993306264601299,5.8021111488342285,10.559124946594238,17.70195198059082,0.0021531034726649523
c0,2,accepted_z,rewrite,new,1000,2.41629020528961,1.6392782330513,5.782935619354248,12.248225212097168,0.0028309053741395473
c0,2,accepted_z,rewrite,true,1000,5.754628831401467,5.400714874267578,9.88418960571289,17.882244110107422,0.23602505028247833
c0,2,post_writer_W,rephrase,new,2000,4.797364970328635,4.294989824295044,9.499788284301758,18.190561294555664,0.0036601710598915815
c0,2,post_writer_W,rephrase,true,2000,5.3934219947068485,5.007568836212158,9.933130264282227,20.931453704833984,0.0025219083763659
c0,2,post_writer_W,rewrite,new,1000,2.356287001498276,1.616073191165924,5.746150016784668,12.114862442016602,0.00211658445186913
c0,2,post_writer_W,rewrite,true,1000,5.7683055567592385,5.410566568374634,9.87752914428711,17.816082000732422,0.24973510205745697
c0,2,pre_writer_W,rephrase,new,2000,7.097209407871589,6.880583047866821,11.614142417907715,19.93349266052246,0.03276360407471657
c0,2,pre_writer_W,rephrase,true,2000,4.740447405949934,4.308131456375122,9.152676582336426,20.808387756347656,0.0037344018928706646
c0,2,pre_writer_W,rewrite,new,1000,5.681638629468623,5.317691802978516,10.235637664794922,16.235610961914062,0.007432783488184214
c0,2,pre_writer_W,rewrite,true,1000,4.619144945595414,4.213454246520996,8.869674682617188,14.477218627929688,0.024404235184192657
