phase,unit,K,c0_accepted_z_sha256,c1_accepted_z_sha256,c3_accepted_z_sha256,accepted_z_all_arms_equal,c0_selected_target_sha256,c1_selected_target_sha256,c3_selected_target_sha256,selected_target_all_arms_equal
3,2,3,61ca1632c7e7f31819f4b5855c84c1917167188de335ea738d1bb27177298512,3e35515eabc9f0fa9fd9d1ca1c4bb70b2be8708cb9b4c9dc107866d0af7ce87c,bc621c87d2697bd0331bed1fa9841fae1affa7e4444a7349c8b1ddc63a9e1e6f,False,61ca1632c7e7f31819f4b5855c84c1917167188de335ea738d1bb27177298512,3e35515eabc9f0fa9fd9d1ca1c4bb70b2be8708cb9b4c9dc107866d0af7ce87c,bc621c87d2697bd0331bed1fa9841fae1affa7e4444a7349c8b1ddc63a9e1e6f,False
3,2,4,128000f9381c36763784f39f2543046a3f8673dff38c5ce90dcfcc34b911e45a,d2302871cec10e71cadeb43321c5042263e89abb20e429d81fc0883533405cf8,8ae954545d9cd4ed4d5a00867a0f47f33cc197bfb1cec82deaeed132c37ff2fb,False,128000f9381c36763784f39f2543046a3f8673dff38c5ce90dcfcc34b911e45a,d2302871cec10e71cadeb43321c5042263e89abb20e429d81fc0883533405cf8,8ae954545d9cd4ed4d5a00867a0f47f33cc197bfb1cec82deaeed132c37ff2fb,False
3,2,5,5b88bb7b111c1abf485fcf89b2f6b200630083ee0e5cc287c9b7b36a58f739ac,7b4756cb10ff58b685b82f369e68b89779359d6facd21e64b5932b889a6ec498,d619140fd3e88a1c7b914ca798f1d10cd62f2afb96ace6eef27d8e932f249ec4,False,5b88bb7b111c1abf485fcf89b2f6b200630083ee0e5cc287c9b7b36a58f739ac,7b4756cb10ff58b685b82f369e68b89779359d6facd21e64b5932b889a6ec498,d619140fd3e88a1c7b914ca798f1d10cd62f2afb96ace6eef27d8e932f249ec4,False
3,2,6,a8efd02002f7b7a91269fa35596bf48c2a334481fe4d430158695c68c3645b03,16bad71d4a9d5c28909e030694495b40b57dda4a0668da60f15d4f2b5f3be9fc,0a5f2354027e89caa55d900464eff9e898905e3fadebed5284c29c790df51be2,False,a8efd02002f7b7a91269fa35596bf48c2a334481fe4d430158695c68c3645b03,16bad71d4a9d5c28909e030694495b40b57dda4a0668da60f15d4f2b5f3be9fc,0a5f2354027e89caa55d900464eff9e898905e3fadebed5284c29c790df51be2,False
3,2,7,365f44aeb8705ab67980ab18f49ef1e1c2b44c8ebc66b447ff9e011be4b7cd95,79dc9074d649b78721d3b223389872275e4da805981c8008172565ec3aa2f21c,a23ee6a5665b86c4e66e6c570dbc7a66950c835d882f0d12ad6ee4a2767dda02,False,365f44aeb8705ab67980ab18f49ef1e1c2b44c8ebc66b447ff9e011be4b7cd95,79dc9074d649b78721d3b223389872275e4da805981c8008172565ec3aa2f21c,a23ee6a5665b86c4e66e6c570dbc7a66950c835d882f0d12ad6ee4a2767dda02,False
3,2,8,be8c2fa281a3e0b33074f2d70c6df888e78dda0410e7eaeec7b2ca6c5d0288ce,0811515e581c0d72155b07861c415777547a1cc5e495884219a90fb79737533e,a806b728b477ca94215bd80614a51e8b2c1bb345f3eb41d7577874098a708d58,False,be8c2fa281a3e0b33074f2d70c6df888e78dda0410e7eaeec7b2ca6c5d0288ce,0811515e581c0d72155b07861c415777547a1cc5e495884219a90fb79737533e,a806b728b477ca94215bd80614a51e8b2c1bb345f3eb41d7577874098a708d58,False
3,3,1,38468fadf788a2af573e74b8b3b5a30ed8ac3e5e32867c8c6a333db64f8f946c,0f54a932197ab72b5bad4ec8467ac3dd688064e24b4407ffd09b227953539ee5,b585297b7f6758a2e50d531bf167ee80ddd23ea9c75c8b391dbe0028dd6d183a,False,38468fadf788a2af573e74b8b3b5a30ed8ac3e5e32867c8c6a333db64f8f946c,0f54a932197ab72b5bad4ec8467ac3dd688064e24b4407ffd09b227953539ee5,b585297b7f6758a2e50d531bf167ee80ddd23ea9c75c8b391dbe0028dd6d183a,False
3,3,2,609ed17df92aba5b78ec952a8be001a7ec1a6a3ee9ffef64152716c22fe49173,605802f6bf0b93b0fe1ccf927f5f17426b7b2609851366002b66f7e306129462,c067029ff9fff9c27110bf871299caeeff0cb5db2807312ba56ac1fb273eee31,False,609ed17df92aba5b78ec952a8be001a7ec1a6a3ee9ffef64152716c22fe49173,605802f6bf0b93b0fe1ccf927f5f17426b7b2609851366002b66f7e306129462,c067029ff9fff9c27110bf871299caeeff0cb5db2807312ba56ac1fb273eee31,False
3,3,3,c74911dcaa245ad2872f36a1c19238ede69e973988a1873da1f708c656858612,5e6ce024ab245ea8bda4c80961054a435c1620dde51937aaf1f54cd7afce8954,e8083e078734ece8e59ce899789b9474832dce50d6e252babb0e15102e98041a,False,c74911dcaa245ad2872f36a1c19238ede69e973988a1873da1f708c656858612,5e6ce024ab245ea8bda4c80961054a435c1620dde51937aaf1f54cd7afce8954,e8083e078734ece8e59ce899789b9474832dce50d6e252babb0e15102e98041a,False
3,3,4,00d8aecdbb6c023a3ed2450d67b68da09f32080de65adb78194d4a96e988ce2d,1ed92f07cd073870ce90499b796f6f4105205a7360b797dfc2d2dd33543e53df,16e2a9af3c192f67c9650de08613408a5c69091a2e23530d297a72d7803253ab,False,00d8aecdbb6c023a3ed2450d67b68da09f32080de65adb78194d4a96e988ce2d,1ed92f07cd073870ce90499b796f6f4105205a7360b797dfc2d2dd33543e53df,16e2a9af3c192f67c9650de08613408a5c69091a2e23530d297a72d7803253ab,False
