arm,batch,entry_width,exit_width,append_width,consume_count,same_batch_entry_reuse_count,current_batch_key_inclusion_count,current_uncommitted_prefix_key_inclusion_count,append_count,commit_count,rollback_count,identity_sha256
c0,1,0,100,100,8,8,0,0,1,1,0,5ec800cf98bfbc8194c360b52fe75851ec6305975c0333d6edec1fa7cd7d3422
c0,2,100,200,100,8,8,0,0,1,1,0,14de46f27b08cdc4e0fad48ee25a584353b17fe4c9342fa5145cc0d7ff0377a9
c0,3,200,300,100,8,8,0,0,1,1,0,558d1121bd2622484fc1e8623eceb7eb7f6bfb9077e90606489064e332688963
c0,4,300,400,100,8,8,0,0,1,1,0,9453a1af123f545e2f9c48abc69768cc318517400460cff321ba14e290ef67d7
c0,5,400,500,100,8,8,0,0,1,1,0,6059a2cf708255a3a72014c5a0ae2921f8dc6da733f4e1305225133e2a613862
c0,6,500,600,100,8,8,0,0,1,1,0,683a6689c7957153669a71dc87af6b42da21e7d62f4a3da3fa9a89604d8fb3a6
c0,7,600,700,100,8,8,0,0,1,1,0,71bb3a1ea6489520d2717a1ea768a08f6b8ede97b25748a1479ebe5dc78b1eb9
c0,8,700,800,100,8,8,0,0,1,1,0,d1c9d4e13c2f3330c905b557950bc46c365ae043b760cb501aea981a77174641
c0,9,800,900,100,8,8,0,0,1,1,0,99ea2f95052717d0f9d19da76653a27f052ca707f20de0d73ce340e098dfc04e
c0,10,900,1000,100,8,8,0,0,1,1,0,c9168cab57fb4a062cd2b3cd78938f9a62f449a1414efaae6f754f801c160785
c1,1,0,100,100,8,8,0,0,1,1,0,e9640b9f4730c38edf971192ac00e961df201a14932d4d2b99f287f260aae7d9
c1,2,100,200,100,8,8,0,0,1,1,0,b1d47359923bbcdf9ee5da43c08d16b9e3a34a0f64380c0fcd0a29ffe298072d
c1,3,200,300,100,8,8,0,0,1,1,0,27259e67a65b55482644ef766d98a5cec2d75e6e0b7e840c224f48192a788320
c1,4,300,400,100,8,8,0,0,1,1,0,80853030193a9af748f9e07f91c8d88c41bd947659b9dbac87e5d1a09f49b6a6
c1,5,400,500,100,8,8,0,0,1,1,0,8561ab2f8ec7c8835410a9f1dc6f22499c9eb9246211fdd9a88a3abc8fd2b2a1
c1,6,500,600,100,8,8,0,0,1,1,0,cf9ed89d93fa97174f325db25bd2f6f2619a719273995ddc834dd020e3965fe4
c1,7,600,700,100,8,8,0,0,1,1,0,ba73581925af0afc25f3ccf16d3ce2fe483630f553f1cff9ba0fb847e8cecd3a
c1,8,700,800,100,8,8,0,0,1,1,0,40fe960d83c25642c366902171f5ed858cc1fc7cce084de1118817a14bdbe35d
c1,9,800,900,100,8,8,0,0,1,1,0,8d4866b425b5224be46b47542e9a00ad51a887f7ef75fc1318f350e36a9c0a71
c1,10,900,1000,100,8,8,0,0,1,1,0,fcdb3a67ff6275f725a962f15c6d9de5abc8b1169b5b9ceca106e9c06350c24d
c3,1,0,100,100,8,8,0,0,1,1,0,458667d24022207f135af36b0cfbd0a13c740e6aceb154c9893fd3e19d671fcb
c3,2,100,200,100,8,8,0,0,1,1,0,8cb2a6d5c50316d816725f3be06bfd4c6c9ffbd71c60e6bc1e44e4d1ec2d64e4
c3,3,200,300,100,8,8,0,0,1,1,0,ad84e6324c02a052e8ffbcda006a2bb1acc24ebe9d0da30c3bbde582465cc3a0
c3,4,300,400,100,8,8,0,0,1,1,0,846ff232c004c0d6d1e11095ae88cbf1eba691c341664f55e36a10a0ff4042a7
c3,5,400,500,100,8,8,0,0,1,1,0,5bb18a4c9d45ff6a51b060fe6e14e42a19b2455752b67162ec3a74d358bd4275
c3,6,500,600,100,8,8,0,0,1,1,0,8304186f9868d53324925af3ac0e3cfe347768af6455a55e0fc399c7bc213a39
c3,7,600,700,100,8,8,0,0,1,1,0,4fafec8e1c1333e8bb9a8396b0f93d2e6015740dc085b80fe3e9eafedd72dc11
c3,8,700,800,100,8,8,0,0,1,1,0,a3fc315ddf24b687b0625c182b2dc2fa8822de39f661fb9588463d5c7a4dea50
c3,9,800,900,100,8,8,0,0,1,1,0,cac3baf76ce60a3a0cfff92e49b3587e29cf7aabc6867f7ab58335e8c9f3540a
c3,10,900,1000,100,8,8,0,0,1,1,0,450694e5aa3da495bb88c30143039500e0175126d3a492937a55e3bee8e846ba
