arm,paired_unit_count,comparison,current_locality_rate,reference_locality_rate,delta_locality_rate_percentage_points,current_rewrite_success_rate,reference_rewrite_success_rate,delta_rewrite_success_rate_percentage_points,current_rewrite_accuracy_rate,reference_rewrite_accuracy_rate,delta_rewrite_accuracy_rate_percentage_points,current_rewrite_strict_success_rate,reference_rewrite_strict_success_rate,delta_rewrite_strict_success_rate_percentage_points,current_rewrite_strict_accuracy_rate,reference_rewrite_strict_accuracy_rate,delta_rewrite_strict_accuracy_rate_percentage_points,current_rephrase_success_rate,reference_rephrase_success_rate,delta_rephrase_success_rate_percentage_points,current_rephrase_accuracy_rate,reference_rephrase_accuracy_rate,delta_rephrase_accuracy_rate_percentage_points,current_rephrase_strict_success_rate,reference_rephrase_strict_success_rate,delta_rephrase_strict_success_rate_percentage_points,current_rephrase_strict_accuracy_rate,reference_rephrase_strict_accuracy_rate,delta_rephrase_strict_accuracy_rate_percentage_points,current_rewrite_target_new_mean,reference_rewrite_target_new_mean,delta_rewrite_target_new_mean,current_rewrite_target_true_mean,reference_rewrite_target_true_mean,delta_rewrite_target_true_mean,current_rephrase_target_new_mean,reference_rephrase_target_new_mean,delta_rephrase_target_new_mean,current_rephrase_target_true_mean,reference_rephrase_target_true_mean,delta_rephrase_target_true_mean,paired_delta_rewrite_success_percentage_points_count,paired_delta_rewrite_success_percentage_points_mean,paired_delta_rewrite_success_percentage_points_median,paired_delta_rewrite_success_percentage_points_p90,paired_delta_rewrite_success_percentage_points_max,paired_delta_rewrite_success_percentage_points_min,paired_delta_rewrite_accuracy_percentage_points_count,paired_delta_rewrite_accuracy_percentage_points_mean,paired_delta_rewrite_accuracy_percentage_points_median,paired_delta_rewrite_accuracy_percentage_points_p90,paired_delta_rewrite_accuracy_percentage_points_max,paired_delta_rewrite_accuracy_percentage_points_min,paired_delta_rephrase_success_percentage_points_count,paired_delta_rephrase_success_percentage_points_mean,paired_delta_rephrase_success_percentage_points_median,paired_delta_rephrase_success_percentage_points_p90,paired_delta_rephrase_success_percentage_points_max,paired_delta_rephrase_success_percentage_points_min,paired_delta_rephrase_accuracy_percentage_points_count,paired_delta_rephrase_accuracy_percentage_points_mean,paired_delta_rephrase_accuracy_percentage_points_median,paired_delta_rephrase_accuracy_percentage_points_p90,paired_delta_rephrase_accuracy_percentage_points_max,paired_delta_rephrase_accuracy_percentage_points_min,paired_delta_rephrase_strict_success_percentage_points_count,paired_delta_rephrase_strict_success_percentage_points_mean,paired_delta_rephrase_strict_success_percentage_points_median,paired_delta_rephrase_strict_success_percentage_points_p90,paired_delta_rephrase_strict_success_percentage_points_max,paired_delta_rephrase_strict_success_percentage_points_min,paired_delta_rephrase_strict_accuracy_percentage_points_count,paired_delta_rephrase_strict_accuracy_percentage_points_mean,paired_delta_rephrase_strict_accuracy_percentage_points_median,paired_delta_rephrase_strict_accuracy_percentage_points_p90,paired_delta_rephrase_strict_accuracy_percentage_points_max,paired_delta_rephrase_strict_accuracy_percentage_points_min,paired_delta_locality_percentage_points_count,paired_delta_locality_percentage_points_mean,paired_delta_locality_percentage_points_median,paired_delta_locality_percentage_points_p90,paired_delta_locality_percentage_points_max,paired_delta_locality_percentage_points_min,paired_delta_rewrite_target_new_nll_mean_count,paired_delta_rewrite_target_new_nll_mean_mean,paired_delta_rewrite_target_new_nll_mean_median,paired_delta_rewrite_target_new_nll_mean_p90,paired_delta_rewrite_target_new_nll_mean_max,paired_delta_rewrite_target_new_nll_mean_min,paired_delta_rewrite_target_true_nll_mean_count,paired_delta_rewrite_target_true_nll_mean_mean,paired_delta_rewrite_target_true_nll_mean_median,paired_delta_rewrite_target_true_nll_mean_p90,paired_delta_rewrite_target_true_nll_mean_max,paired_delta_rewrite_target_true_nll_mean_min,paired_delta_rephrase_target_new_nll_mean_count,paired_delta_rephrase_target_new_nll_mean_mean,paired_delta_rephrase_target_new_nll_mean_median,paired_delta_rephrase_target_new_nll_mean_p90,paired_delta_rephrase_target_new_nll_mean_max,paired_delta_rephrase_target_new_nll_mean_min,paired_delta_rephrase_target_true_nll_mean_count,paired_delta_rephrase_target_true_nll_mean_mean,paired_delta_rephrase_target_true_nll_mean_median,paired_delta_rephrase_target_true_nll_mean_p90,paired_delta_rephrase_target_true_nll_mean_max,paired_delta_rephrase_target_true_nll_mean_min,paired_delta_case_total_seconds_count,paired_delta_case_total_seconds_mean,paired_delta_case_total_seconds_median,paired_delta_case_total_seconds_p90,paired_delta_case_total_seconds_max,paired_delta_case_total_seconds_min,paired_delta_total_update_energy_count,paired_delta_total_update_energy_mean,paired_delta_total_update_energy_median,paired_delta_total_update_energy_p90,paired_delta_total_update_energy_max,paired_delta_total_update_energy_min,paired_case_total_ratio_count,paired_case_total_ratio_mean,paired_case_total_ratio_median,paired_case_total_ratio_p90,paired_case_total_ratio_max,paired_case_total_ratio_min
c0,10,PHASE3_VS_PHASE1,0.8357,0.8371,-0.13999999999999568,1.0,0.998,0.20000000000000018,0.996,0.994,0.20000000000000018,1.0,0.998,0.20000000000000018,0.996,0.994,0.20000000000000018,0.8425,0.8315,1.100000000000001,0.516,0.506,1.0000000000000009,0.741,0.722,1.9000000000000017,0.332,0.32,1.200000000000001,0.056815683611996064,0.0640409132282366,-0.0072252296162405374,11.105907408237456,11.0203521733284,0.08555523490905692,2.4866626680709887,2.5343519477086085,-0.04768927963761982,7.297526059739874,7.286661927763605,0.010864131976268787,10,0.20000000000000018,0.0,1.0000000000000009,1.0000000000000009,0.0,10,0.20000000000000018,0.0,1.0000000000000009,1.0000000000000009,-1.0000000000000009,10,1.1,0.7500000000000007,3.9999999999999925,5.499999999999994,-1.4999999999999902,10,0.9999999999999997,1.4999999999999958,3.0000000000000027,7.499999999999996,-3.500000000000003,10,1.9000000000000008,0.9999999999999953,6.999999999999995,10.000000000000009,-2.9999999999999916,10,1.1999999999999997,1.5000000000000013,4.000000000000001,10.000000000000004,-6.0,10,-0.14000000000000012,-0.15000000000000013,0.30000000000000027,0.5000000000000004,-1.200000000000001,10,-0.007225229616240547,-0.010740179359563628,0.031846877267817035,0.12488545841246376,-0.08845271050980955,10,0.08555523490905799,-0.1340733563899983,1.0626586294174203,1.4714466524124141,-0.9124088144302362,10,-0.04768927963761962,-0.06971774977777379,0.13985150506254262,0.17656841075688146,-0.22397045925725223,10,0.010864131976268432,0.05895675819076063,0.3758564279507848,0.6044791525974871,-0.48607808755710646,10,2195.102335800789,2224.5762824434787,2315.3119573025033,2325.1692045396194,1989.5197390196845,10,-5.744756074109745,-5.586250718178196,-1.5368744490911155,-0.2972957514534542,-13.52979018837178,10,2.9186018683004287,2.9047860418301865,3.0237316484381416,3.0658518513581816,2.7041962037075105
c1,10,PHASE3_VS_PHASE1,0.8334,0.8379,-0.44999999999999485,1.0,0.999,0.10000000000000009,0.994,0.996,-0.20000000000000018,1.0,0.999,0.10000000000000009,0.994,0.996,-0.20000000000000018,0.8475,0.845,0.2500000000000058,0.524,0.5285,-0.44999999999999485,0.748,0.742,0.6000000000000005,0.347,0.341,0.599999999999995,0.06122500700842284,0.04900196773237258,0.012223039276050257,11.261794936180115,11.469276564359665,-0.20748162817955063,2.4138599073255462,2.4249554058264766,-0.01109549850093039,7.419103674360085,7.463704360271338,-0.0446006859112531,10,0.10000000000000009,0.0,0.0,1.0000000000000009,0.0,10,-0.20000000000000018,0.0,0.0,1.0000000000000009,-2.0000000000000018,10,0.24999999999999906,0.0,2.500000000000002,2.9999999999999916,-2.500000000000002,10,-0.44999999999999857,0.2500000000000002,1.5000000000000013,3.9999999999999925,-4.499999999999993,10,0.6000000000000016,1.0000000000000009,3.0000000000000027,6.000000000000005,-3.9999999999999925,10,0.5999999999999982,0.9999999999999981,3.9999999999999982,6.0,-5.000000000000004,10,-0.45000000000000595,-0.4000000000000059,0.0,0.09999999999998899,-1.19999999999999,10,0.012223039276050254,0.0036264244891208355,0.029165581022098194,0.12552368331627803,-0.038762835454399486,10,-0.20748162817955026,-0.408460491895676,0.22430070400237945,1.181058921813964,-0.6879905986785886,10,-0.011095498500930324,0.007160038874280739,0.10629460533178614,0.1259911201219075,-0.2467033716267908,10,-0.04460068591125292,-0.15384244910441325,0.3438114673271775,0.45050739791244254,-0.27362755715846987,10,2214.4998013821432,2262.2458971957676,2314.334112974815,2315.0781558081508,2069.7700749458745,10,-5.592532701887942,-5.430524036617086,-3.2119436786862057,0.8974683872091127,-12.172444998205727,10,3.0407238296314087,3.023459421548833,3.1597293381969744,3.1864332759380867,2.881501494625975
c3,10,PHASE3_VS_PHASE1,0.8433,0.8508,-0.7499999999999951,0.999,0.998,0.10000000000000009,0.995,0.994,0.10000000000000009,0.999,0.998,0.10000000000000009,0.995,0.994,0.10000000000000009,0.853,0.834,1.9000000000000017,0.5205,0.513,0.7499999999999951,0.754,0.731,2.300000000000002,0.339,0.335,0.40000000000000036,0.06232532885675755,0.05917995972238714,0.0031453691343704127,11.10129435825348,10.877237579822541,0.2240567784309384,2.393892542697649,2.5117538353896816,-0.11786129269203238,7.279231703103753,7.2620723374172815,0.017159365686471695,10,0.10000000000000009,0.0,1.0000000000000009,1.0000000000000009,-1.0000000000000009,10,0.10000000000000009,0.0,1.0000000000000009,1.0000000000000009,-2.0000000000000018,10,1.8999999999999992,2.2499999999999964,3.500000000000003,4.0000000000000036,-1.0000000000000009,10,0.75,0.2500000000000002,3.500000000000003,4.0000000000000036,-2.500000000000002,10,2.3000000000000007,3.4999999999999973,5.000000000000004,5.000000000000004,-1.9999999999999907,10,0.4000000000000014,0.9999999999999981,2.0000000000000018,3.0000000000000027,-2.9999999999999973,10,-0.7500000000000083,-0.8000000000000063,-1.1102230246251565e-14,0.0,-1.7999999999999905,10,0.0031453691343704153,-0.001609458230668678,0.030975113624517693,0.16490944946694072,-0.0830469562287908,10,0.22405677843093857,0.060674742460251174,1.1624904656410209,1.4045280146598813,-0.6805937218666074,10,-0.1178612926920323,-0.08613679199326718,-0.04806346600176736,0.007562434481223956,-0.36818204072769767,10,0.017159365686471518,-0.030536437337286948,0.21955364428460555,0.3836271685361856,-0.2813920791260891,10,2205.705143413134,2217.525525462348,2291.5610847556964,2352.9121137093753,2024.1046617832035,,,,,,,10,2.938410036037882,2.9787356487469028,3.1175345059439876,3.1270942669603907,2.6091562112563476
