phase,arm,unit,K,status,route_identity_sha256,router_call_expected,solver_success,solver_iterations,minimax_t,selected_p,selected_c,selected_p_normalized,selected_c_normalized,stationarity_residual,complementarity_residual,simplex_sum_residual,decision_influence_count,pc_router_call_count,pi_4,pi_5,pi_6,pi_7,pi_8
3,c0,1,1,JOINT_WRITE,dd07a7217f085ac96411585095c7ddb3e7610bccd0399302d8bb1e916bb65947,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0008464731883858754,0.30425483583703006,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.19396309515740576,0.21732585497584597,0.21241530732573194,0.18235709979543147,0.19393864274558495
3,c0,1,2,JOINT_WRITE,552ebdf4510e97ff5a1ae4a193628b86a7c1c7018739ab2def96680886663800,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0018281336953116754,0.6364596987706641,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.18324833401998714,0.21330170486858308,0.2155680622472906,0.1896609269364254,0.19822097192771387
3,c0,1,3,JOINT_WRITE,f4b5b44b5e3bb8988fc8a20ba7cf770df21ac13e0f334558eded83703e3575ef,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0015071470837350642,0.5186030155958369,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,4.440892098500626e-16,NOT_APPLICABLE,0,0.17977789104771383,0.20814675544113578,0.20531139678622246,0.19185654041261838,0.21490741631230953
3,c0,1,4,JOINT_WRITE,2fa4ca068ab3ab253ffbdf3375c14ba73c1a457637c20f449a8cebc847bdcea2,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0005111184071374306,0.18986832054453434,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2.220446049250313e-16,NOT_APPLICABLE,0,0.16421010951266843,0.1771697931295759,0.18864306345172516,0.2130896344876163,0.2568873994184143
3,c0,1,5,JOINT_WRITE,5f8f70920004c2c50472d7e3af34a2e786c0f672d4e3f85025d6b059e0d167d8,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.00017269210930204274,0.06442346222142585,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,5.551115123125783e-17,NOT_APPLICABLE,0,0.18008852219534985,0.1759439587599545,0.18345248445170376,0.20870882429531848,0.2518062102976734
3,c0,1,6,JOINT_WRITE,1dee5c0fa614950a075c9c108212edd72f5b17ce5d173b6fb9ce50c8e38fe7e5,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,8.087752673103156e-05,0.028607077795317515,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.11555822965895807,0.1429779852403736,0.1747420640487777,0.23753609164549194,0.3291856294063987
3,c0,1,7,JOINT_WRITE,90284219957ab803ec419e848d223fd119e7ef9667f04f80dfad96b28bf98b46,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,5.641834746365627e-05,0.020659687839059016,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1.3877787807814457e-17,NOT_APPLICABLE,0,0.13662793229444167,0.13893693381034114,0.1726587424401893,0.22115756370170742,0.3306188277533205
3,c0,1,8,JOINT_WRITE,7bf3f69db135e9116cfe2490b094f45f79c7aa94325d075cdcf21680cfbf7fd2,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,1.7437814786926665e-05,0.006135002284137362,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.11617592829138608,0.1467956001621594,0.1730532548286696,0.23326494489895666,0.33071027181882834
3,c0,2,1,JOINT_WRITE,bd0cda4e7febb853199083b9de7bb789cdd33d2063890d753a3ae387e3be4201,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0010573202825642093,0.37378216087088206,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.18136928728583707,0.21351535889541853,0.21306680400273484,0.1941263148968616,0.19792223491914804
3,c0,2,2,JOINT_WRITE,af92eb41c710db1eacdba2286b55afe53be3a72202ca11019d4d88b2611f51f4,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0014903610693686499,0.5077420218429894,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.1792195702306624,0.21205327490378556,0.21264861429948653,0.19635467586671165,0.19972386469935394
3,c0,2,3,JOINT_WRITE,c35f3173c96f6f46c422599c39287ee2f391f54955ac47e1af33f93e546e084b,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0005167373645014548,0.17892478262393316,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2.220446049250313e-16,NOT_APPLICABLE,0,0.16278289073159913,0.20325444741749985,0.2059832042540169,0.20269910982302594,0.22528034777385822
3,c0,2,4,JOINT_WRITE,d95d1c0c4e7a7d21cc21c73897cf62c3e6a4dfcfbef4337b351dd872476e32b4,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.00015878451376334803,0.0545307897504575,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0.0,NOT_APPLICABLE,0,0.12390715444731909,0.18487787330650507,0.19926082363682526,0.22920448802356846,0.26274966058578214
