phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
3,c0,1,7,pre_writer_W,1000,885,200,108,100,34,100,85,200,183,2.3151439363881945,7.942405606247485,100,98,100,100,0.15604187753473525,10.669024839401246,9a86b93a833dfddcc3d2a74f19eb3971b02c2f8c63110f0b279447c5b23655b7
3,c0,1,8,accepted_z,1000,887,200,134,100,50,100,96,200,195,1.4408936012035702,9.766554431915283,100,99,100,100,0.07753651176433778,11.448405752182007,330ba1f44b30aa79951672b6fd5c175d578d5986852c1119c716eed64f11f3a9
3,c0,1,8,post_writer_W,1000,887,200,112,100,37,100,86,200,184,2.179669174330775,8.230405934229493,100,99,100,100,0.07748987475970352,11.450399718284608,1f642bcd90de68eafa5439a41428161e92a76abbdef80a34a93e63f6a0f72adc
3,c0,1,8,pre_writer_W,1000,887,200,109,100,35,100,85,200,183,2.229140487051918,8.088739111796022,100,98,100,100,0.10033215686031326,11.078227343559265,b4de65610911863a89d5ce8e9357aaf27e378cc2ba97070273e2ba806d711b3e
3,c0,2,1,accepted_z,1000,921,200,11,100,3,100,16,200,41,7.612305571436882,4.531736647747457,100,5,100,21,6.89017623335123,3.829996663480997,348e7ba2ea9096efb19bc7bc21bbc63dec18d6f2a3bf65f9752dfed58af31d22
3,c0,2,1,post_writer_W,1000,915,200,10,100,3,100,10,200,32,8.094181145280599,4.618753564516083,100,5,100,22,6.589554214477539,3.851280976757407,74e9f64d79fa917bbae8f51e1e5601ad3f4ad98c1e0e7775124fafa35965e376
3,c0,2,1,pre_writer_W,1000,921,200,1,100,0,100,1,200,9,10.218961675763131,4.2990127265267075,100,0,100,5,10.546336661577225,3.589276396110654,fac98236821d7d5d28eac45505d289143ab273185c5c1b09af7ae698f6118aa6
3,c0,2,2,accepted_z,1000,915,200,46,100,15,100,65,200,147,4.269117808262817,6.432110006809235,100,33,100,86,2.88572001054883,5.861084533929825,298f5ff48c4d6309942b56181060c3d7e3c54a95d6bc6b34fb09078d3893b325
3,c0,2,2,post_writer_W,1000,910,200,33,100,10,100,44,200,115,4.991676654666662,5.761771157868207,100,32,100,85,2.8295232455432413,5.90308401286602,9c76bf11620c8cdc3213ef21141f4ce053753d3d1c68af49ad8c1d7ebd1e73fc
3,c0,2,2,pre_writer_W,1000,915,200,10,100,3,100,10,200,32,8.094181145280599,4.618753564516083,100,5,100,22,6.589554214477539,3.851280976757407,74e9f64d79fa917bbae8f51e1e5601ad3f4ad98c1e0e7775124fafa35965e376
