label,endpoint,rewrite_success_numerator,rewrite_success_denominator,rewrite_accuracy_numerator,rewrite_accuracy_denominator,rewrite_strict_success_numerator,rewrite_strict_success_denominator,rewrite_strict_accuracy_numerator,rewrite_strict_accuracy_denominator,rephrase_success_numerator,rephrase_success_denominator,rephrase_accuracy_numerator,rephrase_accuracy_denominator,rephrase_strict_success_numerator,rephrase_strict_success_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_accuracy_denominator,locality_numerator,locality_denominator,locality_rate,rewrite_target_new_count,rewrite_target_new_mean,rewrite_target_new_median,rewrite_target_new_p90,rewrite_target_new_max,rewrite_target_new_min,rewrite_target_true_count,rewrite_target_true_mean,rewrite_target_true_median,rewrite_target_true_p90,rewrite_target_true_max,rewrite_target_true_min,rephrase_target_new_count,rephrase_target_new_mean,rephrase_target_new_median,rephrase_target_new_p90,rephrase_target_new_max,rephrase_target_new_min,rephrase_target_true_count,rephrase_target_true_mean,rephrase_target_true_median,rephrase_target_true_p90,rephrase_target_true_max,rephrase_target_true_min,phase,arm,K,unit_count
Pre-edit (공통 W0),COMMON_W0_OBSERVATION_ONLY,88,1000,1,1000,88,1000,1,1000,208,2000,8,2000,60,1000,0,1000,8839,10000,0.8839,1000,11.040823616683483,10.93730354309082,16.200504302978516,22.937421798706055,0.7286462187767029,1000,4.591916079607326,4.241697788238525,9.64651870727539,16.17287254333496,0.0011940023396164179,2000,10.081088499486446,10.005894660949707,14.581029891967773,20.91835594177246,0.9623037576675415,2000,4.70003036399465,4.326975345611572,9.530658721923828,20.848831176757812,0.0035147815942764282,,,,
C0-KSTEP-CACHE final W10,final_W10,1000,1000,996,1000,1000,1000,996,1000,1685,2000,1032,2000,741,1000,332,1000,8357,10000,0.8357,1000,0.056815683611996064,0.017079411074519157,0.06891661882400513,9.133502006530762,0.00011359999916749075,1000,11.105907408237456,10.733104705810547,16.359140396118164,28.336484909057617,2.7712342739105225,2000,2.4866626680709887,1.230068325996399,6.999107360839844,17.494426727294922,0.00026294111739844084,2000,7.297526059739874,6.907594919204712,12.486784934997559,22.75761604309082,0.003630477236583829,3,c0,FINAL_W10,10
Phase1 C0 final W10 (one write/B100),PHASE1_FINAL_W10_ONE_WRITE_PER_BATCH,998,1000,994,1000,998,1000,994,1000,1663,2000,1012,2000,722,1000,320,1000,8371,10000,0.8371,1000,0.0640409132282366,0.015752932988107204,0.08315037190914154,6.199005126953125,0.00010132275929208845,1000,11.0203521733284,10.47971248626709,16.471176147460938,24.588668823242188,1.6549556255340576,2000,2.5343519477086085,1.2990652918815613,7.066687107086182,17.685157775878906,0.0007977878558449447,2000,7.286661927763605,6.855745792388916,12.664205551147461,22.995731353759766,0.0048939441330730915,3,c0,REFERENCE,10
C1-KSTEP-CACHE final W10,final_W10,1000,1000,994,1000,1000,1000,994,1000,1695,2000,1048,2000,748,1000,347,1000,8334,10000,0.8334,1000,0.06122500700842284,0.01452603004872799,0.05468503758311272,8.847200393676758,5.006664650863968e-05,1000,11.261794936180115,10.859376907348633,16.430238723754883,24.84311866760254,3.1695172786712646,2000,2.4138599073255462,1.1920875310897827,6.74255895614624,17.68471336364746,0.00033802041434682906,2000,7.419103674360085,6.95861029624939,12.679899215698242,22.777284622192383,0.0034042997285723686,3,c1,FINAL_W10,10
Phase1 C1 final W10 (one write/B100),PHASE1_FINAL_W10_ONE_WRITE_PER_BATCH,999,1000,996,1000,999,1000,996,1000,1690,2000,1057,2000,742,1000,341,1000,8379,10000,0.8379,1000,0.04900196773237258,0.011051749810576439,0.050957489758729935,6.843416213989258,0.00016199229867197573,1000,11.469276564359665,10.96987771987915,16.91548728942871,24.459251403808594,3.003155469894409,2000,2.4249554058264766,1.1442444920539856,6.852288246154785,18.007715225219727,0.00032693761750124395,2000,7.463704360271338,7.106834888458252,12.992193222045898,22.62346839904785,0.002250402234494686,3,c1,REFERENCE,10
C3-KSTEP-CACHE final W10,final_W10,999,1000,995,1000,999,1000,995,1000,1706,2000,1041,2000,754,1000,339,1000,8433,10000,0.8433,1000,0.06232532885675755,0.016336794011294842,0.06379946321249008,11.388569831848145,7.855583680793643e-05,1000,11.10129435825348,10.71320915222168,16.08474349975586,22.967220306396484,2.1599831581115723,2000,2.393892542697649,1.2248889803886414,6.631929397583008,17.78328514099121,0.00038699767901562154,2000,7.279231703103753,6.8872785568237305,12.318639755249023,23.155109405517578,0.004873777274042368,3,c3,FINAL_W10,10
Phase1 C3 final W10 (one write/B100),PHASE1_FINAL_W10_ONE_WRITE_PER_BATCH,998,1000,994,1000,998,1000,994,1000,1668,2000,1026,2000,731,1000,335,1000,8508,10000,0.8508,1000,0.05917995972238714,0.018388100899755955,0.0722322091460228,6.017863750457764,0.00018070495571009815,1000,10.877237579822541,10.516838073730469,16.165775299072266,23.483861923217773,1.5496177673339844,2000,2.5117538353896816,1.2754479050636292,6.865307807922363,17.58971405029297,0.00100192881654948,2000,7.2620723374172815,6.902588129043579,12.606892585754395,23.327878952026367,0.001989886863157153,3,c3,REFERENCE,10
