cell,target_horizon,microsteps_per_outer,target_dt,target_field_evaluations,writer_calls,clamp_hits,request_microstep_denominator,clamp_fraction,primary_count,rescue_count,current_count,pre_clamp_energy_sum,post_clamp_energy_sum,clamp_removed_energy_sum,accepted_energy_sum,runtime_after_model_preflight_seconds,slurm_elapsed_seconds,peak_allocated_bytes,peak_reserved_bytes,W0_restored,full_fp32
Z1-REFINE,1.0,2,0.0625,16,8,13,1600,0.008125,1593,7,0,62086.11467116412,60360.24688596399,1725.8677498759675,58674.73220847764,1249.9552456913516,1297,38027805184,44010831872,True,FULL_FP32_PASS
Z15,1.5,3,0.0625,24,8,31,2400,0.012916666666666667,2393,7,0,67399.24969540817,64063.223349150474,3336.026347905608,61783.903431318504,1388.772106978111,1445,38027805184,44010831872,True,FULL_FP32_PASS
Z20,2.0,4,0.0625,32,8,127,3200,0.0396875,3197,3,0,73366.21478012053,69322.52713691075,4043.6876430164352,68408.05163698141,1584.8756779059768,1638,38027805184,44010831872,True,FULL_FP32_PASS
Z30,3.0,6,0.0625,48,8,58,4800,0.012083333333333333,4790,8,2,82426.25980714626,72438.16995856003,9988.089835701901,61475.20521731513,1842.7930748658255,1894,38027805184,44010831872,True,FULL_FP32_PASS
