alias,batch,node,eigenvalues,condition,lambda_over_min_eigenvalue,regularized_support,g,c,response_cosine,nonnegative_predicted_response_sq,unconstrained_explainable_fraction,normalized_model_error,model_error_over_linear_step,coefficient_reproduction_relative_error
llama3-8b-inst,1,0,"[1.1352514554712538, 1.8475505343392178, 3.0766885187878903, 7.5239741977144945, 27.60022668754026]",24.311994100094008,0.08808621166531695,"[5, 6, 7, 8]","[1.0137096594256676, 1.344947044824495, 1.6997010071215506, 1.8413951535020459, 2.1891285303344854]","[0.0, 0.00045667299591800603, 0.0010762219844058785, 0.013232348521632464, 0.43362354464256003]","[0.29511386933622646, 0.42683836719855645, 0.58201954797886, 0.7446548589535503, 0.9978609743077637]",0.9572465279940976,0.9957341951959721,0.002143282835327435,0.004381245423391153,1.6486868289223865e-16
llama3-8b-inst,1,1,"[1.1418789766681343, 1.8577711639168366, 3.1018142412675758, 7.256772813599001, 25.99355431202387]",22.763843492302435,0.08757495500248896,"[4, 5, 6, 7, 8]","[0.4897370981949267, 0.6353381434869859, 0.7930712959830812, 0.8926952147659185, 1.10345518705433]","[6.217383912404673e-05, 0.00025292908211228815, 0.0005002490064661552, 0.0063988061753743886, 0.22718056917088197]","[0.28180004784698653, 0.4009514032774228, 0.5474742979542268, 0.7248703448149518, 0.9978689788109267]",0.2518184111777227,0.9957472803314463,0.0005259157171082385,0.002096053704978836,1.792191665071585e-16
llama3-8b-inst,1,2,"[1.1580668790366264, 1.8627729213693272, 3.11044743627946, 7.057619966898854, 24.85806594723364]",21.465138496934294,0.08635079874073257,"[4, 5, 6, 7, 8]","[0.23769653134294236, 0.305013796856298, 0.3788535713825494, 0.4366730438741501, 0.55687587588207]","[5.7426568953015955e-05, 0.00010688716688934258, 0.0002581787749805081, 0.0031452366686409577, 0.11890365330265687]","[0.2693789221112382, 0.38025591035005857, 0.5211704283140716, 0.7061252228006488, 0.9978898354147092]",0.06631727498996906,0.9957880137978514,0.0001320309308923248,0.001025397713560037,5.178538089313887e-16
llama3-8b-inst,1,3,"[1.161426185840758, 1.849089145509402, 3.082935361990729, 6.848639868923782, 23.805835905000514]",20.497071785726476,0.08610103786114472,"[4, 5, 6, 7, 8]","[0.11591275328887608, 0.14820289075001292, 0.18393742769210777, 0.215087440361969, 0.2813992807209934]","[3.0981920701193474e-05, 4.42084770314842e-05, 0.0001423397884006694, 0.0015949447629251198, 0.06216646744141164]","[0.25938245841942664, 0.3651181284383601, 0.5029738946530672, 0.6916648606180743, 0.9979224594279116]",0.017486252778131112,0.9958528107938609,3.466374089373433e-05,0.0005242724654025615,1.7357853536387952e-16
llama3-8b-inst,2,0,"[1.169627786768725, 1.88639724510916, 3.240821138252089, 7.760742423989535, 29.26108855700686]",25.017436220325337,0.08549728480396764,"[5, 6, 7, 8]","[0.9996194528139027, 1.3542620191464576, 1.6570760603536776, 1.79279144830302, 2.14642622102824]","[0.0, 9.568398083535656e-05, 0.001275664354932149, 0.012809815437650862, 0.4425004394158813]","[0.2776549511966486, 0.40942793299554864, 0.5623692878628528, 0.7255456062349943, 0.9977245691235415]",0.9554060909214406,0.9954636688562518,0.0020447040790855927,0.004183757040551349,3.5839584855066873e-16
llama3-8b-inst,2,1,"[1.1915165678453201, 1.9191957281881369, 3.29679016874928, 7.589302700166849, 27.912022959633656]",23.42562723245081,0.08392665507021449,"[4, 6, 7, 8]","[0.48334958486145574, 0.6440969573759114, 0.783116585241447, 0.8832213838924207, 1.0884191804956471]","[6.968457355312208e-05, 0.0, 0.0004753079585581299, 0.006521254219453515, 0.23062421542367542]","[0.26421719647401193, 0.38537606180201495, 0.5307165930686611, 0.7083901394636516, 0.9976806795051164]",0.2518584056584531,0.9953751330131272,0.0005133914583860021,0.0020459754089600223,1.2089113603913294e-16
llama3-8b-inst,2,2,"[1.225122995471942, 1.9461081460308423, 3.3377633620038596, 7.472936132327621, 26.92717654955107]",21.979161805854588,0.08162445760107376,"[4, 6, 7, 8]","[0.2357210268906184, 0.31129315033744226, 0.3780539996075711, 0.4380896933562602, 0.5525169735777584]","[4.1423855323866055e-05, 0.0, 0.0002039861511678176, 0.003310444694001824, 0.12012885377522879]","[0.2528988192174363, 0.36677178378039793, 0.5067540918353395, 0.6919898755848711, 0.9976295418752968]",0.06646619029418008,0.9952738069514148,0.00013141869320388853,0.0010194988652173107,1.2147429049985488e-16
llama3-8b-inst,2,3,"[1.249332640733807, 1.9542648429406124, 3.3429305438938606, 7.338554930801185, 25.948257924451163]",20.7696950183021,0.0800427338080786,"[4, 6, 7, 8]","[0.11571147271420022, 0.15214534072410432, 0.18516699504869885, 0.21843474851764758, 0.28081145057278445]","[1.874403001993208e-05, 0.0, 0.00010384095812313726, 0.0016999201947124135, 0.06253907571088331]","[0.24430062421747456, 0.35353594251901216, 0.4901058918029768, 0.6790858561404971, 0.9975691427213892]",0.017563003340210936,0.9951548652915807,3.4491892227739755e-05,0.000520532228906059,5.556796261650433e-16
llama3-8b-inst,3,0,"[1.127374493008887, 1.8350490958456314, 3.2409163622075945, 7.6910929984632626, 28.146548280674743]",24.96645831107416,0.08870166978242226,"[5, 6, 7, 8]","[1.0063280716096596, 1.3426844955710522, 1.6458151435919641, 1.7584988231950436, 2.104373798717808]","[0.0, 0.00021338564273279403, 0.0016212265610333343, 0.013360268917398554, 0.4502115065217781]","[0.27975043966121993, 0.41306219103999636, 0.5726459584204158, 0.7286542205091618, 0.9975371503369234]",0.9535749070640182,0.995089153956362,0.002012635188136509,0.004122091710716533,3.8613385658525703e-16
llama3-8b-inst,3,1,"[1.1278371137366956, 1.8309553030248462, 3.209912974447761, 7.456527119868981, 26.413817337903435]",23.419886627414172,0.08866528577755774,"[5, 6, 7, 8]","[0.4727430441051464, 0.632687635445953, 0.7801737616527868, 0.8520315863397715, 1.0604366241858534]","[0.0, 1.3277353281999915e-05, 0.0009154577972457639, 0.006541377086481809, 0.2368901301022643]","[0.2597550769497189, 0.3878265978896163, 0.5449012217656178, 0.7086657632114977, 0.9974421553755242]",0.2518869901756669,0.9948962183515139,0.0005022506096349196,0.0020014631557241347,3.323643689951899e-17
llama3-8b-inst,3,2,"[1.1289049066876926, 1.8131769845651482, 3.15600659562587, 7.216180002532709, 25.022275951530393]",22.165087425253535,0.08858142028402453,"[6, 7, 8]","[0.22576380962365555, 0.30275972222887426, 0.37489755503205513, 0.41569994631659646, 0.5340440046161192]","[0.0, 0.0, 0.0004544032844053941, 0.0033106548876911668, 0.12482710268016563]","[0.24462238202526365, 0.3684286835107248, 0.5223723134412868, 0.6899518330526718, 0.997310702926089]",0.06665046229118578,0.9946327241179534,0.0001293418260319409,0.0010019992595720576,3.180790159776288e-16
llama3-8b-inst,3,3,"[1.113624354641088, 1.7668106896083646, 3.057855486495211, 6.906428955979681, 23.563030939035905]",21.158868195397968,0.08979688669994038,"[6, 7, 8]","[0.10880619782101156, 0.14597030355968732, 0.18159500421405717, 0.20345727945864847, 0.2687610993083951]","[0.0, 0.0, 0.00022967691593457282, 0.0017218347454697816, 0.06592681689076235]","[0.23364199264606758, 0.3539228205176633, 0.5052805716515676, 0.6743767634038497, 0.9971403821358186]",0.017675655509799767,0.9942929586390031,3.456258408612571e-05,0.0005199342614199617,5.918340713984618e-17
llama3-8b-inst,4,0,"[1.2472171674312431, 2.0968896639748063, 3.583114182101044, 7.9624011686523755, 29.18250019512023]",23.398090530796843,0.08017849866993017,"[4, 5, 6, 7, 8]","[0.9783060235015354, 1.3217911284671857, 1.6230384525817596, 1.7587374287947701, 2.0765626945250237]","[1.0406611252442022e-05, 0.00016081700973454016, 0.0012406995840832102, 0.012552363572430142, 0.4572444478322724]","[0.2694644490425577, 0.38839615560435237, 0.5466064704076091, 0.7085138653349202, 0.9978306339439266]",0.9528863635411224,0.9956739458628753,0.0019224842165575986,0.00393887521716905,3.7942972921097623e-16
llama3-8b-inst,4,1,"[1.2574711091896622, 2.1021975771433383, 3.5209304120593097, 7.619353570075831, 27.6226337785167]",21.966813850949816,0.07952468988686497,"[5, 6, 7, 8]","[0.4740499081098095, 0.6380333536514959, 0.7723479168806607, 0.8476304472338952, 1.0485429202573378]","[0.0, 0.00015802435509283674, 0.0004986796056014736, 0.006593654384526276, 0.23975679760495716]","[0.2581463241944914, 0.3712303797087217, 0.52119684962195, 0.6871801539052043, 0.9977637378279892]",0.2517175466980294,0.99554395058465,0.0005039578092850838,0.0020089421453276714,2.598596472059953e-16
