arm,batch,after_sha256,before_sha256,compute_ks,compute_ks_seconds,history_append,layer,weight_sha256,selected_layer_changed
N4,1,fa7d22b6e67cda36232c747d31b81cb9bf2b2196082bcad61664926284f6811e,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,1,4.214762268587947,1,4,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,True
N4,1,2090429967efe7aca966d1ea16f78977c5f5ae959b6770af682b8a2e171b651b,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,1,4.20725841447711,1,5,499390edc8a328f15c3aa76229c244c205322f4e360e255529b7764c35f98ef5,False
N4,1,e0eb2f5dd38a9cab08bd0bc3f7fcf4df31038e6482a32cdbe0f96bfdd7ecc8d6,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,1,4.211182191036642,1,6,0897876dda2b8c8adaf4f59d610b4f3f410c9d3c254565c45c13466eba6211fb,False
N4,1,7d68d5d4ddf7d0c3a07907fab02a1de7031cf6e47ab2056476f3d04b3acdd2a0,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,1,4.206750952638686,1,7,4fffb5e77728ea2bc3cf6b5394a3c8e3ac363eca20096b7ce85985ef091dec42,False
N4,1,211b572e1e268359001125f96f23264a65ba39b75904ff517d46d2fd055eac5f,1acbc6ad9de5fde58c6faa370d25575a69e6d5fa78a5333762e896801edd812a,1,4.210252760909498,1,8,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,False
N4,2,1b459da0b64e048bf72751e25add7708ed811e108869dbd3b1e2b768a716ce0c,fa7d22b6e67cda36232c747d31b81cb9bf2b2196082bcad61664926284f6811e,1,3.589109185151756,1,4,af3e9975e74a015888cb633d03f300f36693f3ea0b5afc71e61666905933ec24,True
N4,2,5c4d05d885b88268a88bf6d6a144819f419a1adb98c32ad9363af4545b459a9c,2090429967efe7aca966d1ea16f78977c5f5ae959b6770af682b8a2e171b651b,1,3.587902292609215,1,5,499390edc8a328f15c3aa76229c244c205322f4e360e255529b7764c35f98ef5,False
N4,2,e0c06d62523ac2fe69050b55f30a45fb2288ac4efd3f6c38e078fd5b507eb10f,e0eb2f5dd38a9cab08bd0bc3f7fcf4df31038e6482a32cdbe0f96bfdd7ecc8d6,1,3.593425658531487,1,6,0897876dda2b8c8adaf4f59d610b4f3f410c9d3c254565c45c13466eba6211fb,False
N4,2,460a353d36cd179735c9c076c355201dbfe4f41160145d2bf8e1d02c868af92d,7d68d5d4ddf7d0c3a07907fab02a1de7031cf6e47ab2056476f3d04b3acdd2a0,1,3.599218719638884,1,7,4fffb5e77728ea2bc3cf6b5394a3c8e3ac363eca20096b7ce85985ef091dec42,False
N4,2,757ba73c0ca5699b83dd8a85df994e1a66a059944acde246d6ba295e4da4942e,211b572e1e268359001125f96f23264a65ba39b75904ff517d46d2fd055eac5f,1,3.5917477943003178,1,8,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,False
N4,3,0ada458fda6cb8216b65a2c5ef14948badac9e1cc9679ad08390b29b866f4fbf,1b459da0b64e048bf72751e25add7708ed811e108869dbd3b1e2b768a716ce0c,1,3.6497790291905403,1,4,0ed824558d37d6894138834dc7a9a380e2e02fcb3be305abb327ac7abafce255,True
N4,3,8a0feba091cbc1e1e3a0b0215f40b60d7115602baa186ed9f78668b9b408ae06,5c4d05d885b88268a88bf6d6a144819f419a1adb98c32ad9363af4545b459a9c,1,3.6474075904116035,1,5,499390edc8a328f15c3aa76229c244c205322f4e360e255529b7764c35f98ef5,False
N4,3,758e9ec3b8e56f9284ce5214a639f9c47494270efd772392988fc2badebd20f1,e0c06d62523ac2fe69050b55f30a45fb2288ac4efd3f6c38e078fd5b507eb10f,1,3.6461751628667116,1,6,0897876dda2b8c8adaf4f59d610b4f3f410c9d3c254565c45c13466eba6211fb,False
N4,3,8150bf617f246f6945aefc03582f236eac037a62a89d7df5d7cd1907bb21a6df,460a353d36cd179735c9c076c355201dbfe4f41160145d2bf8e1d02c868af92d,1,3.642005651257932,1,7,4fffb5e77728ea2bc3cf6b5394a3c8e3ac363eca20096b7ce85985ef091dec42,False
N4,3,9b3facacb3deac805b977fd4a448932a5cb9335bf7bc30902831e894fab3c586,757ba73c0ca5699b83dd8a85df994e1a66a059944acde246d6ba295e4da4942e,1,3.650207926519215,1,8,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,False
N4,4,e63345787b7767392ad1fa85531cdec80935765736dd30430475638a8399567b,0ada458fda6cb8216b65a2c5ef14948badac9e1cc9679ad08390b29b866f4fbf,1,3.650717376731336,1,4,084270597dad22018690f1d811b13c0b0754f1cbbeade4f625e1509263daf1c6,True
N4,4,30ce5e059d812172c6b3aeb073c91733cd454905425594eb8ef734cf126ccbc2,8a0feba091cbc1e1e3a0b0215f40b60d7115602baa186ed9f78668b9b408ae06,1,3.653863249346614,1,5,499390edc8a328f15c3aa76229c244c205322f4e360e255529b7764c35f98ef5,False
N4,4,d4cdcf99023683490d5f70bc7e2eeadd41690268626ad4c8a60eb406675e0996,758e9ec3b8e56f9284ce5214a639f9c47494270efd772392988fc2badebd20f1,1,3.6624768199399114,1,6,0897876dda2b8c8adaf4f59d610b4f3f410c9d3c254565c45c13466eba6211fb,False
N4,4,dbf8c55c5c1ee218e388d1b7e00018e36557b551c4907e1e18b643352f088d30,8150bf617f246f6945aefc03582f236eac037a62a89d7df5d7cd1907bb21a6df,1,3.6557521959766746,1,7,4fffb5e77728ea2bc3cf6b5394a3c8e3ac363eca20096b7ce85985ef091dec42,False
N4,4,72eeaa80f5486648a61fdb4a546b32bb2199c8b4b43878f2aa5f589dd4383a64,9b3facacb3deac805b977fd4a448932a5cb9335bf7bc30902831e894fab3c586,1,3.665780721232295,1,8,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,False
N4,5,85652ee2cef8a9271e5ba5db7f765c89c2af1137f92daed20ebbf78cc88ed34b,e63345787b7767392ad1fa85531cdec80935765736dd30430475638a8399567b,1,3.7248731711879373,1,4,a9e896b8f71f4c15373daa22ec18c44e212e5c1ce13cc4e0b654299d2c81bbb7,True
N4,5,2d102370e78623efa1e666caa42132cb98800f568d439b8b5dbc8f9a4d4e9f8e,30ce5e059d812172c6b3aeb073c91733cd454905425594eb8ef734cf126ccbc2,1,3.7249704487621784,1,5,499390edc8a328f15c3aa76229c244c205322f4e360e255529b7764c35f98ef5,False
N4,5,d50ce4b1e77c189b0b9e6bab18008ee8da561631b75d54b172030a2732cbc1d8,d4cdcf99023683490d5f70bc7e2eeadd41690268626ad4c8a60eb406675e0996,1,3.7187181040644646,1,6,0897876dda2b8c8adaf4f59d610b4f3f410c9d3c254565c45c13466eba6211fb,False
N4,5,d6e19afc84a21b546fc02f7d3e2a6f885563f2f0002256d72d751e24ae445a9f,dbf8c55c5c1ee218e388d1b7e00018e36557b551c4907e1e18b643352f088d30,1,3.7160084126517177,1,7,4fffb5e77728ea2bc3cf6b5394a3c8e3ac363eca20096b7ce85985ef091dec42,False
N4,5,bc103e19a5beedcbfd22c119c507716fe3071fe2cbc7de4939f07ba7fd706353,72eeaa80f5486648a61fdb4a546b32bb2199c8b4b43878f2aa5f589dd4383a64,1,3.7230184879153967,1,8,6b460ccfec10ba9e477dda71ee2ba634d374e3150103516f543a0d199f98d5b2,False
N4,6,c9356c214bd02a9c4e389416ab6d33861097173466b03f59163a7f59641f3d1d,85652ee2cef8a9271e5ba5db7f765c89c2af1137f92daed20ebbf78cc88ed34b,1,3.7902211444452405,1,4,f85b66a4596bc26ffc2d2ef4be2f3a5c6c06acf13a3ff75131af6c79eedc16e7,True
N4,6,0c935c580749ee32e703813d00749f176dbed35d4d71eb81794cad0c3877f65d,2d102370e78623efa1e666caa42132cb98800f568d439b8b5dbc8f9a4d4e9f8e,1,3.787618048489094,1,5,499390edc8a328f15c3aa76229c244c205322f4e360e255529b7764c35f98ef5,False
N4,6,427c9ba41e3c269be89da005c4a509b4d2793d14f454453b0629d158ecb9b4e8,d50ce4b1e77c189b0b9e6bab18008ee8da561631b75d54b172030a2732cbc1d8,1,3.7880150554701686,1,6,0897876dda2b8c8adaf4f59d610b4f3f410c9d3c254565c45c13466eba6211fb,False
